"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YOR294W",2054.90363061008,1973.09314086493,1980.55314828698,1959.06273061069,1916.39067682255,1900.09485810526,1958.89511193077,2022.06541634271,1900.80341270168,2017.68534591708,1980.24741389981,2049.80020659671,2016.04800374323,2040.79154357443,1999.23713465257,1929.71854188907,1958.60944353095,1957.56851363702,2002.87729828544,1930.29088393394,1977.42466962914,2015.95227766583
"YGL111W",2131.56027553168,2160.62978832751,2060.84751823593,2066.34357753175,2222.24297331018,2171.08717533861,2222.36019552632,2170.02745965823,2217.00446919056,2097.72120851974,2089.11600190177,2248.12222341726,2137.04038634254,2113.56044311923,2165.73889830673,2189.05010165739,2147.65613850072,2096.57119155153,2076.06690099501,2122.24477361057,2099.01407226997,2199.93968541091
"YNR053C",2016.45629682675,1963.98276251858,1959.38566489668,2012.9482608327,1923.22019453441,1972.86919719232,1912.90371427054,1961.50604291117,2004.55429845603,1934.0265128251,1976.20315072004,2035.41643663155,1991.1161806313,1951.46689317233,1953.39792206523,1983.27966198424,2071.5550527423,2063.42747345553,1980.74509946267,1953.05479954732,1992.33850195864,1989.07069365351
"YOR285W",1535.09802161426,1558.9171029208,1550.78068941442,1531.11008077121,1584.57777654773,1736.78267183278,1555.42523782691,1625.02376133809,1724.41458288636,1720.07139752456,1748.79142825403,1649.16085833059,1696.32752651016,1562.50684027351,1591.29704194676,1611.08209745776,1623.04858217992,1638.17822381576,1721.60584588086,1739.39893978874,1658.36496623364,1507.70238282479
"YDL135C",1904.05214809659,1979.1560374978,1851.19877966211,1894.04258657728,1858.48324537585,1881.70732610177,1908.58699820969,1919.3727206007,1845.32381705748,1840.3333797537,1897.97986724999,1934.11455413678,1923.90023321172,1943.32369959446,1908.83224889112,1874.72408046366,1892.73471528994,1849.48938069807,1976.25096421775,1907.89798661154,1934.90652899822,1913.69985222016
"YOR085W",1912.332294283,1893.16500320288,1885.14200708823,1850.97628201496,1922.91325832267,1903.28109715381,1842.49787909834,1925.37581319402,1814.44705909819,1897.73770890332,1863.10532057018,1873.1173906241,1893.11633591497,1917.56668080915,1903.21750185627,1897.14937562818,1870.85887458347,1851.83741811739,1873.58758902067,1897.21848693891,1898.88815013473,1915.46189252243
"YGL082W",1965.75972134822,1936.39333765169,1890.24302838004,1938.08896638144,1900.00308362609,1941.79987047615,1983.04798106352,1889.50155873924,1859.31245943829,2004.87398014271,1937.76139908065,2007.59065416627,1976.56253045885,1942.0379216199,1935.42173688457,2023.86048316089,2133.51391027359,2010.06028991596,1979.57665929161,1856.74567054363,1951.96606554844,1995.72312733031
"YCR088W",1818.89172483746,1922.31439191271,1824.15384184866,1877.42874727744,1857.29896916569,1892.22916449818,1909.15306781475,1925.60612068725,1887.6621529009,1904.54943933414,1839.29812288291,1875.33337534208,1840.95181762512,1869.74888036788,1892.19020994878,1831.84186837108,1878.45336630303,1867.53044435245,1907.99827640004,1849.55237796295,1834.07580262529,1879.59347108798
"YDR353W",1695.57672639096,1654.54630510055,1776.52065440043,1681.629538009,1744.15184573963,1766.02522497156,1760.47957650199,1657.81184431519,1789.36337161277,1746.17401603881,1746.48790308958,1704.78282969995,1748.22838044033,1753.51712133096,1759.67646402988,1667.25373835982,1741.82280383184,1752.80304383174,1699.09767315475,1665.11856146926,1683.79969588812,1729.84101515233
"YER007C-A",1938.63330179285,2035.91486909498,1911.26528928576,1940.19434899844,1977.57492838148,1897.28822035589,1908.20261755196,1926.61091541908,1907.89717593026,1928.66579938379,2025.73776003454,1967.49568594139,2016.86938821238,1988.64973459512,1963.31950022758,1957.75016795069,1969.29090289089,1974.92182405903,1997.83021951064,1943.02874220578,2005.55266446961,1896.40618917471
"YER177W",1467.58398130863,1535.48192096959,1537.19177502232,1476.77784805704,1503.63560306931,1478.57686796996,1523.10586608493,1486.08251229592,1570.07081291762,1499.99835288318,1376.39262503124,1362.45252635084,1476.84783198074,1453.19230761037,1548.02595372338,1445.4782160431,1461.57931011586,1443.78552657895,1430.85903507911,1457.798349797,1452.77947769594,1368.0346773079
"YBR154C",1845.82506896532,1747.35501384779,1810.20666918987,1792.55088729581,1766.44276005143,1828.51249505285,1739.50002921409,1806.20380073104,1761.2604838077,1752.28932062833,1815.64093440123,1814.43998667538,1849.58768004123,1823.69600478924,1801.67075385981,1822.20580394899,1823.39258264175,1834.55372383588,1796.60116156593,1804.05171912021,1816.15909985054,1824.98428863335
"YKL094W",1856.55545351223,1806.40580344817,1843.0089261557,1856.04187035677,1881.7684634388,1895.98404821563,1867.21646863711,1892.5734939653,1869.07075759134,1826.58903442634,1840.09209654359,1839.87737390178,1881.49645249202,1914.41023119889,1915.57526296076,1967.62261591005,1920.94694560495,1879.91779497413,1877.17459272931,1855.96970148525,1905.81723786842,1810.48604487264
"YOR210W",1763.15003726797,1697.80326219604,1787.34297764923,1797.90769686778,1667.4127263341,1750.04736332222,1735.81527344866,1731.89433280053,1685.31697615608,1757.32243121252,1813.60105425105,1746.15111915317,1778.22902014842,1812.18370807931,1709.11236838788,1735.04971578244,1764.59958477561,1867.38248064494,1769.55179560606,1699.12771538047,1815.97389324642,1784.08301428268
"YMR246W",2041.00495778396,2186.33519634114,1937.18622025307,2064.30021757434,2158.42698685623,2028.99591144029,1981.91595618847,2171.096588899,2050.04727323542,2030.59912998564,2008.7576069949,1880.68007265324,1912.86241045768,2058.77970963803,2026.21696689158,2087.27030792364,2211.01363083325,2083.15710023825,1964.56926773895,1997.81438575258,2103.43655851627,2047.60472435416
"YDR280W",2116.67475409272,1984.15062590107,2024.59881288493,2108.54552927535,2043.76927545492,2002.95926095598,2117.67311999524,2029.67956340435,2131.39901563604,2118.56641659304,2122.93470271567,2077.57369787184,2058.03446189827,1920.95665604141,2034.21187441217,2082.81427608459,2119.10166540003,2009.34774141683,2072.31879766977,2027.04421576485,2058.21760585474,2039.12908680526
"YBL026W",1817.85234728753,1916.30379028499,1814.93143366188,1855.99699381295,1824.15071169645,1815.34794119524,1817.36606130864,1944.98441120798,1751.26779237991,1812.51207103354,1928.33189087106,1910.81679713095,1882.56304529043,1951.20202987864,1874.38485518984,1868.24129465807,1873.60317978215,1902.96434884333,1908.24489970236,1922.67330891684,1911.60827364991,1882.06216333941
"YNL185C",1993.33425911749,1872.51963525123,1977.4087813931,1886.95346809556,1689.09522934183,1907.1043632893,1862.19918104404,1804.48498392994,1913.43006272081,2002.11419533931,1987.91230309497,1900.08411156357,2002.98566550395,1928.83200255898,1956.60869075915,1708.11952449806,1902.4299069869,1955.39028704259,1935.76352290435,1947.87416082309,1886.23113013844,1912.61929426335
"YGR020C",1521.96308707908,1710.57104546157,1598.96746042168,1646.92054477138,1641.35684855841,1690.78673673004,1673.34493250344,1692.53085671325,1657.42380657355,1592.25158154452,1645.32980136061,1699.57302728356,1702.94271243984,1680.64922957068,1650.40944573103,1663.02052988774,1620.08154365598,1737.79459759844,1735.29786719877,1707.97915685651,1679.7043208931,1698.34374273464
"YNL005C",1936.99748145201,1829.04114354937,1965.87271603636,1906.68819891628,1772.70533053738,1920.52608287716,1893.20723705527,1888.42225339711,1959.41226638334,1886.13556842884,1912.91413803595,1958.97877216697,1938.61756365873,1931.35219761265,1914.74417719217,1836.96394789063,1923.49975415554,1939.60076733998,1961.70272863712,1931.15755631889,1945.78213188145,1908.24258791137
"YBR082C",1648.21669044578,1701.83649417056,1692.35836597427,1713.38317331288,1713.49577453038,1706.51849944156,1684.07924113117,1717.12600915479,1659.10434550586,1683.59212052596,1655.94536675157,1685.60044562547,1701.7811347844,1734.72157926607,1657.17126859973,1675.67464082376,1638.94700662847,1657.79555210274,1714.52214324317,1696.86465491775,1724.46855070241,1728.1747838107
"YBR086C",2058.31087043862,1851.45423340524,2022.1797098296,2023.44029230944,2034.21534772266,2045.89000784164,1990.08253002281,2062.57902250983,1796.00346461832,1896.25127644485,1900.49311555794,1879.91644803176,1948.02408486714,1907.16338865386,1932.92200295653,2021.96045526691,2005.51903074998,1976.37338832907,1902.23539765484,1893.068100018,2051.99410317134,1993.34433727341
"YCR008W",2107.51652121577,1951.47731598232,2121.42835834356,1875.13442018355,2208.95245580015,2134.57950046154,2187.06589715845,1877.12694792023,2212.22631988881,2230.5751951085,1930.84588008199,1998.19533445774,2065.77634990249,1906.38241005345,2166.79499404835,2058.28706265237,2095.75137860843,2026.46954930631,2011.99619614363,1961.25844093827,2023.9833576298,2017.82800060144
"YCL057C-A",1776.3943201727,1842.47935549927,1720.37824155047,1815.68796414174,1862.01136947139,1785.17591572987,1817.52486041735,1834.14571251429,1760.39230628138,1760.29108644186,1778.07213142458,1845.24590299137,1750.94990787765,1828.29876368095,1828.39686048735,1769.39218919497,1760.86971597848,1818.46055304009,1797.09613483067,1780.37231197527,1781.25977319593,1833.22050213531
"YDL229W",1808.6937042804,1676.22032717177,1716.87273674071,1618.93792429736,1731.53383636341,1716.6473145107,1681.72062310343,1729.99180712411,1737.36693523564,1794.82540316919,1699.92938983476,1642.89465887435,1716.38028508458,1707.4663106774,1727.23714615186,1702.6214000313,1679.3286480603,1678.17133456866,1659.28625483915,1687.77163503148,1702.71312480864,1685.68211775684
"YOR158W",2017.67756418846,1933.63005637961,1963.48434316307,1930.66293359256,1692.47952340997,1932.34433204344,1923.62195467923,1818.74568539767,1981.368815231,1727.19143834104,1846.46625535336,1988.38985160113,1985.42472038861,1776.92740602847,1901.61659035114,1771.45733070931,1923.53878161355,1908.44930740308,1959.00698698522,1932.80237980003,1853.17960197226,1943.13201662644
"YBL022C",2034.50436682858,2091.69804132015,1891.71961083101,2045.13962129744,1842.54806382984,2106.70175586153,1859.55198012265,1961.70274393131,2121.01695502988,2041.07389396535,2138.67398546639,2146.43143342611,2020.76509102488,1962.17234667032,1942.3352561513,1928.50613062213,1967.20436155706,1957.96269928593,2069.72755336549,2019.90871810294,1945.55110437323,2143.53578284014
"YOR327C",1872.14668075495,1833.10331427586,1820.91645833464,1823.08900121153,1897.57704133507,1847.65792651277,1879.77265000669,1861.61620472295,1830.4968704269,1826.13780600913,1817.15857570918,1827.99001259155,1948.27859854368,1870.2349837048,1898.27923468142,1781.83946004162,1780.50788070688,1878.36150182804,1856.53123444655,1866.8654213205,1868.90871698045,1839.88427647809
"YIL070C",1910.5325667937,1732.2965170337,1816.6294547261,1817.07353276597,1824.65050076472,1883.618761047,1821.21314785057,1967.33210813877,1863.80739000509,1784.59728416592,1893.27715228432,1890.68157842312,1896.96342998655,1932.09220648819,1781.32452358331,1833.74580537692,1978.53043968006,1858.26421851917,1871.68071955914,1837.31054785503,1885.77384401735,1992.22926832629
"YOR116C",2320.77765984614,2175.36805928479,2300.80851638225,2211.35191331116,2372.43792114052,2296.32021923057,2306.23419252296,2271.63438223963,2321.77385837341,2354.85042269184,2216.01845649181,2304.07047063465,2357.19441004771,2225.17640750211,2321.29309858397,2202.78912751509,2224.77015540766,2194.93859746232,2209.42158824609,2208.23520582426,2239.64316994713,2271.02928970696
"YOR131C",1867.28434333596,1884.64375131058,1887.56642358412,1966.69638567995,1827.00990971524,1888.74511987604,1914.11409130109,1886.66431366774,1951.41551865215,1825.64297966633,1929.41400845166,1907.59876292922,1830.49901672101,1910.46900696748,1867.46204269581,1893.44059242372,1851.687324608,1887.26214556995,1849.88773237774,1836.85887829332,1959.51676383582,1893.3723129778
"YIL041W",1850.93441361374,1805.20663011776,1702.05047280623,1778.06941724262,1782.67635958988,1772.67953116209,1779.59290141225,1908.5956578292,1788.55223161292,1755.04015566912,1849.80818995787,1824.90244610916,1846.45663168046,1748.65614071223,1808.16918965952,1821.21865993332,1833.64911375939,1822.82477834912,1774.87393071537,1807.6105763891,1841.24524948772,1831.16116563081
"YKR081C",1973.23092396587,1987.0882046693,2003.58515228467,1998.09819518821,1965.93088080718,1934.52805867747,1976.53040952687,2026.42040753444,1921.961905297,1969.67433172821,2037.98917974494,2065.22235712353,2058.14284557915,2058.68103477118,2001.20996680628,1987.77840731736,2018.45004678409,2067.5386039005,2020.20836963393,1990.28203247918,2044.63186357618,1983.68665253855
"YGR175C",1772.8644332458,1624.22779127604,1641.26040224957,1680.43716350848,1618.28396946839,1692.86044909783,1650.2274075692,1666.31602394219,1600.37949218038,1662.65535151647,1660.23708724392,1697.81656105991,1703.9850157115,1742.25783667939,1689.81853869599,1633.9325879487,1678.84362009001,1706.70631354721,1707.11126705114,1725.9174783553,1701.34831381458,1709.4188086971
"YDL131W",1743.65616212196,1805.64125030783,1776.4890942893,1766.21579027413,1776.47070184269,1774.19203380218,1691.79448251878,1789.85144216499,1750.76981823805,1785.46670575874,1782.04311969096,1752.44424288878,1664.19456198804,1758.43782195167,1790.98315866188,1747.90338962291,1729.71935313113,1771.85840256859,1793.45045695005,1798.79046048453,1785.64544670054,1756.67668826929
"YKL196C",1883.87280148416,1939.98988067368,1866.13262904045,1889.89227590796,1884.51880452798,1876.18754107825,1864.02855918267,1921.28507971818,1875.95015764292,1903.52811545816,1881.39768883391,1899.57294899927,1861.76186004133,1954.57116305609,1864.88303710299,1881.42129498016,1861.7985780975,1882.73383739905,1898.84347362647,1889.68099278946,1894.12721038557,1924.32246618581
"YNL088W",2188.66950785973,2177.71069677272,2156.06089498621,2153.75511104417,2168.8489045749,2237.03178793245,2223.68112771618,2184.62729216962,2221.29335423251,2170.26719590349,2154.88343108969,2200.44581657481,2153.98887014802,2195.78731836005,2171.68027844964,2270.83368975971,2254.93610681912,2250.97975063017,2238.90947675933,2164.54317205705,2279.3205885042,2201.08070165063
"YLR192C",1778.91531676286,1734.81348111164,1781.03132677892,1818.46444378486,1729.26721499955,1708.80665078429,1751.99698812962,1834.625277436,1671.22129670961,1680.50087871282,1749.45321973872,1827.30012196866,1829.92725921833,1896.27532132641,1730.86860110977,1790.1575097775,1817.06414367007,1887.69655627736,1833.87701670511,1778.53883050796,1870.38892734791,1804.18765683862
"YBR029C",1892.27289265977,1905.42849126471,1926.21494375572,1981.08430989689,1886.17889557127,1970.63845633344,1849.73891411963,1944.68981192529,1948.15232887194,1910.44655262591,1912.11478637623,1972.13125513371,1899.46657568329,1974.86370685233,1912.22651636985,1944.70120727593,1971.32190898817,1915.18299403711,2004.69322965466,2049.14872350571,1927.43769781474,2009.2112711261
"YHR197W",2206.31660951148,2258.96462300151,2300.6818637943,2201.74308932236,2196.65941007842,2204.96431796598,2205.83493898141,2283.55218342847,2380.48889209221,2388.34575669806,2361.49889992487,2480.87792977898,2370.83250545938,2272.99611141825,2241.88633863708,2319.31675706625,2103.52953455009,2197.43540736871,2361.86921573877,2201.67361963173,2301.16477000693,2291.31591015812
"YEL032W",2196.72020768544,2078.52667987541,2110.36063078583,2168.14250285315,2122.68370453762,2246.02881356303,2190.2935050308,2109.74460702741,2122.86783636726,2239.79440071404,2127.93503145459,2198.83446600845,2139.44508439145,2152.66996034896,2181.25146453065,2133.10349524038,2107.66449525072,2107.48084218182,2097.90917920546,2076.66415583958,2105.41706891599,2212.42243535076
"YLR120C",1985.66303328704,2124.14713891632,1982.06228299204,2075.03422960932,2103.37377463702,1990.33347141585,2020.97104333497,2101.37915168753,2040.80332791984,2118.15391552057,2137.63446047108,2062.38783073309,1992.08688954647,1725.34413140906,1976.98344262216,2094.49519501276,2092.50939528196,2050.71051724927,2100.29665905504,2184.47069818092,2121.98778648575,1978.67534214241
"YDL130W",1514.34790035559,1670.61611521962,1632.4733687378,1803.05792798028,1747.12874750764,1688.62990315628,1628.51887902093,1705.13653156781,1705.43816068873,1755.85967881775,1767.86998868921,1741.60168439937,1630.6599852069,1780.1750085248,1730.06170034302,1665.81312337529,1684.84921978807,1692.2090198502,1725.34134692502,1667.70809663755,1513.49930314103,1644.88379062336
"YOL077W-A",1722.69847212217,1727.31332447087,1673.66780998319,1731.15720390791,1679.85080050446,1762.83109239546,1755.54176071122,1709.28271467091,1707.66479684596,1721.0676630371,1701.09299746729,1772.4396841157,1746.51014886327,1662.94130193329,1721.70490858165,1625.0877461349,1701.44361657264,1689.91859279752,1790.63569972517,1757.35973545499,1739.96832690063,1771.38265966096
"YKL065C",1896.84838186232,1887.87246632732,1840.12213441921,1854.95337127569,1892.9028266153,1866.62433111883,1856.41287952061,1921.78932216306,1807.10753473668,1892.24827581834,1854.33787332047,1893.14967367612,1915.40048718609,1855.92882578862,1879.35889569184,1899.8413636126,1847.51787603285,1840.40406242622,1875.93394030133,1883.37134727299,1941.969652755,1897.56138370356
"YDR404C",2145.772026634,2177.82185863893,2118.8939347258,2093.88546369898,2067.01965671971,2023.01713415046,2084.58613909312,2106.35566141042,1974.55758595883,2087.71560277019,2146.27443979779,2049.167238089,2032.08314543318,2099.43805873315,2088.27148552354,2085.56433731433,2086.48580402466,2059.49436137463,2108.18450652292,2120.90785362063,2117.21513741193,2051.89599740833
"YMR256C",1700.34924253198,1636.89524835465,1609.40770095363,1573.26836335371,1696.12762162388,1635.11343476535,1620.47375124585,1630.22546527698,1634.28297239968,1618.7611277695,1590.71129676821,1661.6939653343,1652.03939708231,1663.23744883309,1686.29205652101,1646.82127227633,1671.11452952883,1584.81231421633,1618.43432089989,1647.71496449918,1662.07517999982,1649.69116191866
"YIL157C",2052.84374715963,1967.63482773668,2019.80605678704,1950.44773715866,2029.52678480439,1933.87413995776,2072.07813292853,1985.03216188208,2069.87013060373,2162.38473992126,1972.72021498282,2040.30104342573,2026.81042472499,1996.77461573945,2083.31360323355,1968.39765645595,2018.71217963043,2027.83804894216,1927.78666205435,1992.26335941719,1995.36451204591,2049.1165808457
"YDL208W",1848.23279933682,1834.5107773858,1750.63421451063,1881.49522400895,1730.18338917377,1756.12126079416,1821.2712714384,1806.59117227649,1746.51843824664,1774.08302187879,1803.96116026721,1854.64318180725,1806.41178802865,1874.84152241356,1806.94955638821,1782.56837135673,1794.49267674828,1855.1870404628,1837.9080099996,1776.75873992122,1836.00442999286,1843.22223717533
"YMR011W",1699.60068578046,1730.90900785047,1678.06633199415,1684.44589841615,1684.11929768899,1773.81496748731,1681.7325848239,1723.83561220701,1745.32138395096,1738.17399205769,1674.31252027413,1703.15668914324,1679.09670987099,1663.40820907736,1774.07779245617,1697.55144426046,1727.51849581297,1714.98786441713,1649.31874874405,1780.33644833651,1713.60268689954,1692.80166344541
"YGR082W",1864.83968501742,1945.97397261106,1868.49777911899,1889.4720259278,1874.28024424563,1910.02205268125,1864.11614554543,1928.4942142483,1832.96467189877,1907.74214162255,1905.01240652578,1814.78871826812,1872.94430181259,1912.40750734687,1905.20273668216,1948.19889895795,1872.52654962575,1923.47099973622,1860.85935834142,1894.11200656533,1948.8078143489,1859.61930594422
"YLR454W",2463.08046466394,2183.28783972978,2487.92434135529,2476.29191083021,2457.97967384088,2542.06864599682,2483.34357824237,2530.32171499114,2498.64189536407,2371.81475530339,2287.32447470519,2456.51719870188,2417.94302835224,2455.79368331388,2485.07727754342,2499.71950080584,2546.286242572,2459.66232990813,2441.68837682079,2334.53687442459,2500.75508002901,2229.38506858782
"YNL002C",1967.66255676073,1982.02663505493,1998.74467728806,1993.93140031906,1947.40654609826,1951.77638252811,1947.19514657994,1985.81815644549,2051.24946061498,1974.37549106994,1976.16941667952,2081.04907405043,1946.91964927571,1998.45864678853,1974.59025595626,1966.80080864908,2001.27857709377,1959.59635439602,1976.45443506773,1898.07017157462,1976.89066937324,2001.58421408698
"YDL147W",2058.02639670374,1878.95388528897,2033.07082813022,2007.58091848629,1990.60763660656,1975.08397163719,2061.91577288223,1950.54546240301,2095.90060118409,2003.76532668055,1888.94062439092,2020.2527395363,1913.89109426417,1953.67803539571,1990.18646616776,1865.03212349685,1935.52368791886,1908.84276985903,1982.08507444766,1958.42215481644,1930.96809642312,1959.08962588751
"YLR388W",1988.38074807627,1839.9769794686,1947.0863419113,1909.70582834835,1868.72286694963,1843.41382589477,1858.54576711964,1923.56368682399,1908.00822198293,1839.86159253535,1955.62858660162,1964.16384078795,1990.24475098384,1885.74767314178,1896.3798471435,1872.25223487276,1891.04369965342,1933.75908578771,1937.39238245119,1867.19823288001,1938.53151883112,1882.58505421469
"YOR298C-A",1891.11154095082,1671.57160549364,1819.78875588221,1773.47260905499,1762.45441309746,1717.80157139819,1877.71431227396,1730.43919854244,1925.32363248079,1838.9211165951,1698.89854496114,1801.38469405927,1849.95533633599,1814.4220467263,1837.8635458265,1711.67597075499,1740.11845274132,1732.41917783752,1792.48178887593,1731.63792399299,1762.00541520491,1671.92547741158
"YLR295C",1809.85172847257,1822.43015281194,1773.04629217934,1793.79271730256,1739.98029338874,1820.72344192856,1826.70981387121,1766.65934299241,1728.68815095355,1844.59710759186,1738.43157259589,1791.32116163781,1834.89030032339,1833.01520098158,1791.62902659736,1770.27997755769,1746.97195669481,1836.44095430234,1811.5319193393,1776.80846982273,1784.52004762501,1862.95590238716
"YNL111C",1809.62678255723,1870.29816731466,1777.31123288671,1822.85591247365,1849.5514141385,1862.33554364052,1803.33028642855,1847.61115850366,1843.2612839734,1814.18780668643,1818.32003792406,1794.40328573692,1846.67470763787,1969.23712401956,1881.24525971106,1794.22372885528,1799.21224104991,1821.25394489008,1832.46377246634,1807.37022042897,1819.86564627756,1822.37763058098
"YHR089C",1935.173044144,1912.28218388823,1925.57907282465,1954.92316511481,1875.17830273179,1861.09110716665,1926.56908534741,1954.9927224245,1791.83597503872,1938.48988084194,1920.47154039184,1982.41018515445,1995.46157154718,2009.5416592126,1911.49075846711,1908.8178473268,1956.67396348142,2002.48321635392,1994.5556487948,1898.6547029244,1982.65717355974,1943.25250883191
"YLR048W",1838.68101161206,1782.134528054,1794.76581574855,1891.97723054163,1829.62211702781,1804.2388502306,1818.6821269701,1861.23422045419,1835.89797086127,1749.11155694115,1840.50477162356,1872.66780241931,1867.35388218267,1854.74522267181,1843.01857946135,1816.84036065551,1819.70321219078,1861.02385341764,1855.89382442592,1847.27816005286,1831.70573670924,1875.73952567928
"YJL136C",1923.88292454786,1679.44244117486,1853.42931397285,1920.15536476061,1832.00522814669,1818.02435063048,1837.29450307481,1856.88919603961,1802.1384658891,1846.57147525072,1880.72686287751,1949.83593699734,1896.36257063079,1803.061808249,1859.7253464113,1811.6290192992,1886.47298241855,1899.97342149013,1841.80722196842,1843.67605321103,1884.20527669594,1923.8520329476
"YLR167W",1617.47197396492,1543.8586716718,1577.64256597729,1548.84665255869,1575.13645610246,1593.91956306289,1499.28601960985,1542.05482831973,1629.31728478548,1571.09089111686,1603.43226230628,1598.72174507707,1575.07718465267,1604.13974939701,1624.88205095666,1505.53989852568,1557.41962718568,1576.4531456867,1589.6749592028,1601.78638018226,1634.5289775681,1567.65157244302
