"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YBR019C",790.029917062798,973.199990231532,1028.0059684748,765.44615036051,815.327890031009,933.767094232151,812.031589486194,665.500700666962,1022.25928984933,961.163445800527,852.094253396056,725.704735562984,912.321737123371,887.79261554243,805.050254489784,716.428674088983,941.443282889686,832.841574833247,746.865211458444,1033.62083414274,813.842583098582,797.873057680869
"YBR230C",366.368440832063,512.056629625545,378.310910027378,515.698289966806,449.419696174263,455.173228075702,467.199850991328,547.78474465277,391.641464590747,321.156686120247,586.611168180296,608.83919645779,401.750753617116,603.065075476459,343.882806203299,459.192216035862,555.141068638137,461.908210278911,563.561559231703,558.990894600367,551.449402067898,497.879340644033
"YGR043C",626.487704161525,942.704255224824,776.845726985451,680.522550397957,702.49221828318,808.891054035381,750.523290343724,622.388913284618,731.641501102655,722.420474737809,679.290246565974,616.733531311526,692.579582343205,688.913397720023,712.692863640078,672.039282092603,746.4879821929,761.693639366415,685.207559989732,744.007093513312,707.565357292302,691.398123198993
"YGR248W",526.456016422379,892.587910576584,694.051400232905,840.531754886307,714.563724074421,707.124119099127,692.592157362991,688.274018685938,643.475314595234,755.727993708211,735.048248682835,655.485718344515,618.707031066561,581.585324483885,806.929172362167,633.490211980394,580.664185363756,613.674114352852,650.116473136843,669.737030351816,697.691450232166,642.151212345541
"YNL278W",730.868154580624,858.508239232195,674.363864663346,682.543342924126,692.798290824855,694.83743240791,692.54728583865,693.727462077434,686.429882210832,715.768082771479,700.360883045553,718.240593543369,715.375372813711,703.242066827843,675.689518187867,678.282443088821,695.959152100545,718.159590054783,648.28696792983,656.65865421708,639.350877355684,681.437789479053
"YKL215C",671.225489935444,560.842632470081,1147.85068187812,664.681676676024,692.889174194607,568.791864574452,1003.28755372273,610.24210731727,709.455351291245,743.270229353601,693.442497210378,827.486917558163,643.905532436478,681.652350687177,678.829430423947,635.039167123142,665.610545090482,616.661026714177,611.162822295725,780.816822518619,659.961791334518,1165.41038976975
"YJL212C",535.029472142945,773.801787751322,586.41636375155,642.631785414168,699.815571547587,786.087502378432,704.473712614053,793.050467156344,741.964038998762,668.562238717606,630.27996623223,626.768588999662,599.345399326486,710.819167256702,630.095150236444,784.922718006827,764.428013778678,778.251717412279,645.560350275873,608.209111533657,709.478597776909,663.842043271829
"YKL178C",648.694936814274,726.274050764189,815.113477756651,948.202845790126,887.422992486672,833.238855287666,910.319719780232,918.756444953554,1077.44423564424,1084.08909714186,607.812539486369,1076.31956640339,985.674847947656,1024.81355664112,862.913637040704,970.682694387381,898.675984239516,820.636053805535,1059.99434204045,999.665626782711,945.241807632744,1119.58713861304
"YER100W",610.001680159698,546.769817971802,536.910711428388,577.017140090447,568.351205906198,635.735038598632,622.56397770782,613.965188724258,630.606534074048,615.519702859302,620.490985308641,593.341250736598,610.81129997796,622.336710762571,528.40287797264,613.096732555499,598.67690865841,642.385841890465,628.356726908176,605.554148410307,662.909678304244,594.274661161001
"YJR095W",836.352462556447,758.079596995968,749.22322798162,757.801905770778,926.512345723736,772.209772167545,875.173299030666,923.694699156606,887.096704821852,756.538724567666,904.378185770898,927.420506877937,925.722447932581,930.255844783437,859.214592500727,847.30631326965,848.4644625083,790.065014130641,879.827832317866,820.996320380889,918.110222903784,920.805383156738
"YDL215C",677.169988427371,804.446233423996,751.164180466119,603.659382473155,647.577495429864,681.723577087725,560.754805302666,675.688625313068,556.172666028541,660.701351289926,722.153411400808,678.434126072203,557.713340981416,665.989587554612,679.797690696451,605.200326513968,841.228498824526,665.006797611406,655.214784662052,657.328422719058,597.094066562544,660.498859754606
"YNR001W-A",1269.22794449751,1362.53242625314,1330.73593119441,1018.45809249155,1094.08141421593,1813.12048029804,1112.35458359532,1298.93944688373,1432.33116559548,1247.50849210464,1466.29412025447,1623.13377900581,1186.38205913715,1232.23225829948,1542.45519055911,1045.04673359234,889.847811979017,1128.38000757558,968.238664076442,1363.40516421911,965.182997246634,1256.58663999515
"YDL049C",862.765973107999,510.353829674945,662.819128033854,674.808512825525,677.580429241868,695.198891615984,701.007983368332,501.082076877087,882.441934346792,833.74643221873,467.811078751906,695.814119837558,616.908870258109,542.734463615232,576.014463064378,467.823528471308,540.564413954619,527.219418034013,624.672690044283,513.23853376894,704.323721239388,711.077737715101
"YEL047C",583.385338064959,672.536085997953,674.063456674707,722.855244677306,663.060288544695,618.953329452606,695.484750894698,702.279789170418,702.287662543119,671.33674429654,651.452810278212,654.266725681742,617.259069220572,640.104526811238,577.209640017091,675.328731507571,648.389740916779,624.024107550342,623.222792593023,626.262338961485,678.572655661526,581.827812948387
"YPR180W",747.310003281764,681.49619394054,503.576281856799,603.976754444065,582.725659663574,583.179671369413,610.629368631318,731.634836027837,583.409982512164,712.04323253103,697.01502755588,783.070816434519,759.402708848138,705.184784101442,596.767240480823,710.277645901968,767.090453919242,801.037131490639,657.917666802744,661.599813476701,709.208680222502,640.757252182038
"YPR190C",770.964690512799,812.887719323398,517.422568798015,1060.57374228012,619.338288972941,713.828447149669,819.153123754664,624.362977677302,946.248185680378,673.528036414059,657.031625456115,672.942803875901,681.67305986597,636.141352134573,709.649329274773,755.881975289172,693.590287492872,693.319104073156,840.053439158576,910.094900628386,716.447280072021,852.190213105664
"YPR174C",798.762177075278,843.037419016699,597.80371310392,701.222368967142,771.762739993705,759.450397993728,710.792150956723,848.39627193905,817.509606099168,711.449622151798,873.069995838119,716.546893294243,668.111241418197,716.557411244696,761.603141564652,848.913960257919,698.031099792869,711.137404589018,714.393108379391,650.590157216118,963.029353364461,582.228519967845
"YDL238C",724.380276501405,738.878056089364,742.34114644926,802.079995824971,781.535603847647,848.786200045344,781.889755069689,836.019619110456,765.442823529458,794.575348140785,801.249036956262,743.48403606869,721.933882229697,754.541814245788,770.728407405003,835.337148908309,793.697540175083,848.694531823098,794.976493881627,740.761483384176,742.853083996347,788.826155856427
"YMR267W",633.13534719383,722.600089755214,670.264927112187,717.462545963844,778.817942299572,800.17646751414,645.755596863065,741.305817165089,600.323853756031,568.753192326675,483.948585799238,622.865498025415,514.941372769124,564.180367256899,656.645080176495,764.454275823573,780.107099814399,775.878653365594,653.875315493214,661.874951402045,735.868938682295,635.692412549839
"YCL039W",775.623165541181,939.600073812536,614.969753505738,817.036347881162,873.19359879774,822.071168480605,692.114893576486,954.074635948545,758.81631559596,533.67393135879,530.582646485058,704.128655560259,630.974576764613,776.312182214371,947.415747365141,1092.29347863627,861.325775870676,813.493660867464,616.830859917507,727.733532861417,1050.06248718607,554.563784041369
"YBR072W",1068.40483659841,909.567119407411,1013.63873671232,599.8767790701,721.623080061146,733.546831376986,688.634685045875,681.149073580214,1037.35545512529,818.936169269047,726.731172507325,567.343336548545,1024.2651794604,914.309126225028,862.693873265931,701.086448600713,969.306898824797,981.566261797154,769.555989270135,745.116430882159,744.060972855481,1059.05585433539
"YPL270W",768.465599718874,787.440172130268,798.083467002496,768.109837463027,735.914062686976,710.3962656966,713.825400549325,752.623248014093,803.394711829188,875.428209428381,772.653231489338,729.985317543132,696.581225392322,701.064773896901,707.93995393958,657.727782676027,669.984993841973,687.50100068002,804.729573697243,715.107190409293,707.831725282816,669.722575319179
