gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL003W,6395.660410604975,6159.117780809226,6207.581133391684,6249.580351133142,6242.339316049416,6011.281506364324,6198.530243567207,6271.7832279249305,6144.638636501451,6313.76860238013,6219.851900358864,6157.250569055737,6319.888377768489,6435.583982424222,6289.157420253345,6262.985022917924,6024.9606486366665,6462.488575262342,6140.1867777483885,6177.02980158106,6371.621954005033,6216.586530379772
YAL005C,5971.474017756366,6245.33544718604,5916.703356680307,5586.309799644456,5853.0017418909265,5527.113595444268,5701.698464506429,5629.461645327112,5839.451880243733,5749.844425086839,5714.267395428017,5551.738298968466,5755.96662891418,5770.324061320697,5766.778450516133,5566.500295474376,5770.102920177221,5512.183498164404,5734.61150140042,5666.1278538922525,5693.64369979061,5584.352464078706
YAL007C,919.6564721214819,904.2306158473787,929.8312781449292,905.3442583910333,868.0759912520151,914.616910351526,884.6153969865123,907.595419921248,882.7369585907737,904.6637597848219,924.3968791555448,867.2478853971367,929.5412436391812,921.146741910106,902.5595447175053,910.2254327445884,890.1139900054164,895.3927291112901,911.8575320726812,915.7105369081207,921.2806790507753,875.2372618723399
YAL012W,6149.474055056861,6351.6896851935035,6432.998479222546,6314.482060011196,6375.943059563206,6538.587126765472,6393.8162338612065,6529.212056446377,6448.74578944743,6364.955140508854,6410.7008244296985,6347.713497652964,6282.9948296183975,6576.276610431022,6418.521264586489,6242.615864773534,6554.479409304718,6579.2065266083,6284.199915722104,6326.8281190576345,5997.166156902627,6302.213992345498
YAL021C,4167.81807519564,4187.426004563941,4121.422304708222,4067.8143371825518,4102.317819834029,4148.7090163533785,3954.0874048268574,4067.1171353389036,4122.287312761914,4281.327825522007,4066.3693337140503,4151.169732314067,3999.9877005036137,4126.267135982725,4106.6897810843875,3998.318548746686,3922.539604907003,4054.35713599443,4027.488319373186,4169.823893152262,3885.553443077349,3947.5091532175625
YAL023C,2767.301577816032,2820.962465918301,2749.337754562757,2794.108715558437,2751.286109610838,2759.362938986272,2685.1084685074843,2756.237258908783,2652.790333025357,2797.4794189104045,2719.825860083462,2777.973718717292,2818.3854966537897,2816.406011917503,2759.243877293764,2750.551336609574,2736.00380134401,2721.3427802687456,2729.295191111567,2780.147964899232,2773.289974209941,2736.481809444487
YAL029C,1187.0372734213465,1123.0409250276848,1148.4994627866956,1168.9205249285878,1158.5195622939884,1170.7757756922292,1158.7257809505031,1159.5309472205665,1193.3286003590415,1185.506704081712,1128.9593049008365,1196.523322016429,1164.0686269170085,1141.7089748945145,1155.572671635689,1142.0083778614458,1149.523531965925,1152.709231493449,1157.3906242965006,1180.3185590176113,1185.527690866391,1122.3690946773122
YAL034C,1167.6882174566979,1056.7536214050906,1039.9085651747,1203.2239648513532,1139.1247363869875,1294.5949306632674,1251.98122452805,1202.9248385675098,1188.3069469464422,1116.7190587951063,1158.9863139147976,1140.892492447896,1188.0776784649327,1169.199067601346,1155.631793220678,1152.1035925870426,1171.1446502381011,1276.610011246985,1159.8329855092652,1158.7047034689538,1203.5900894446327,1110.4306512811952
YAL035W,10737.039995158586,10926.756517901624,10495.917539948829,10746.84158207759,10577.139375305811,10611.93297640372,10606.798674346905,10802.574501522413,10489.736403407378,10525.525509415329,10560.553755939523,10834.953388807158,10937.433377757588,11115.192351286452,10671.507254497144,10771.45214925695,10674.182069585891,11293.354590233503,10955.777541535888,10764.18976864509,10996.118319089406,10816.357046266403
YAL036C,3738.336752058903,3716.3488763337987,3781.3606961473606,3716.3229979670373,3798.194623203539,3793.962923299977,3705.0939170507813,3806.728121578949,3736.3904859895465,3838.704994668211,3910.217739692546,3874.025041799032,3877.3559577847263,3929.3077695872166,3872.6552596693327,3800.8491021282102,3786.979959218206,3870.0165610155104,3819.764179242216,3818.9392212524895,3794.515822963341,3778.399639976489
