"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YAL038W","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488"
"YBL002W","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144"
"YBL026W"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"
"YBL040C"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"
"YBL050W"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"
"YBL078C","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400"
"YBL091C"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"
"YBL102W","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180"
"YBR025C","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528"
"YBR029C"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"," 16244.268"
"YBR039W"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"
"YBR052C"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"
"YBR082C"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"
"YBR109C"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"," 30722.774"
"YBR143C","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091","112295.091"
"YBR154C"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"," 15824.727"
"YBR160W"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"," 12946.840"
"YBR164C"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"," 22376.185"
"YBR191W"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"," 10013.185"
