"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YAL001C","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096"
"YAL005C"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"
"YAL021C"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"
"YAL023C"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"
"YAL029C","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728"
"YAL035W"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"
"YAL038W","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488"
"YAL053W"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"
"YAL060W","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228"
"YAR007C"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"
"YAR042W","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628"
"YBL004W"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"," 10000.603"
"YBL015W"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"," 68287.810"
