"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YAL001C","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096","  7037.096"
"YAL021C"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"," 30772.055"
"YAL029C","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728","  8298.728"
"YAL034C","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277"
"YAL036C"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"
"YAL039C"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"
"YAL053W"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"," 22101.356"
"YAR008W","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135"
"YAR018C","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517"
"YAR042W","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628","  6545.628"
