"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YAL003W"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"
"YAL007C","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797"
"YAL012W"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"
"YAL034C","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277","  7774.277"
"YAL036C"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"," 30765.192"
"YAL039C"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"," 15575.522"
"YAL049C"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"
"YAR002C-A","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809"
"YAR008W","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135","  9289.135"
"YAR015W"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"
"YAR018C","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517","  8340.517"
"YBL002W","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144","  7416.144"
"YBL016W","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014","  5724.014"
"YBL026W"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"," 15898.669"
"YBL030C","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801","110991.801"
"YBL032W","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939","  7638.939"
"YBL040C"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"," 12983.253"
"YBL041W"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"," 21802.580"
"YBL050W"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"," 54718.641"
"YBL057C","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189","  7569.189"
"YBL064C"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"," 50066.149"
"YBL078C","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400","  6605.400"
"YBL091C"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"," 23462.731"
"YBL102W","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180","  7737.180"
"YBR011C"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"," 41629.478"
"YBR024W","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940","  7407.940"
"YBR025C","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528","106923.528"
"YBR037C","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219","  7736.219"
"YBR039W"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"," 97679.323"
"YBR046C","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368","  6952.368"
"YBR052C"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"," 53487.409"
"YBR072W","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945","  5368.945"
"YBR078W"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"," 40676.879"
"YBR082C"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"," 15952.501"
"YBR085C-A","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149","  6902.149"
"YBR087W","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586","  7136.586"
