"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YAL003W"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"," 66698.425"
"YAL005C"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"," 55538.025"
"YAL007C","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797","  7691.797"
"YAL012W"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"," 57180.874"
"YAL023C"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"," 23858.662"
"YAL035W"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"," 94328.384"
"YAL038W","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488","414954.488"
"YAL049C"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"," 22084.932"
"YAL060W","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228","  7646.228"
"YAR002C-A","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809","  8208.809"
"YAR007C"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"," 41941.167"
"YAR015W"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"," 28917.050"
