"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YOR294W"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"," 15679.287"
"YGL111W"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"," 15701.573"
"YNR053C"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"," 15703.932"
"YOR285W"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"," 15704.223"
"YDL135C"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"," 15716.757"
"YOR085W"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"," 15725.127"
"YGL082W"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"," 15727.269"
"YCR088W"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"," 15738.755"
"YDR353W"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"," 15739.384"
"YER007C-A"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"," 15740.051"
