"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YBR230C","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386","  4041.386"
"YGR043C","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060","  4304.060"
"YGR248W","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856","  4347.856"
"YKL215C","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686","  4506.686"
"YJL212C","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161","  4811.161"
"YER100W","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353","  4922.353"
"YDL215C","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875","  4955.875"
"YDL049C","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285","  5006.285"
"YEL047C","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260","  5023.260"
"YPR180W","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537","  5120.537"
"YPR190C","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822","  5143.822"
