,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,11.437769,10.8802127,10.68934258,10.79406188,9.957128694,10.96723796,10.73000636,10.02430405,11.09142842,12.02661792,11.02099342,11.1932993,10.66881399,10.48229622,10.91280143,8.601929105,9.306317755,10.44943558,11.094219099999998,10.70757156,9.300362335,10.6435582
YAL003W,12.79788805,12.15828308,12.76005251,12.50097663,12.7815464,12.3363955,12.61774396,12.602709599999999,12.64933847,12.74265113,12.45313975,12.59472633,12.74297458,12.94531027,12.84603504,12.76910696,12.29670271,13.06281228,12.48390417,12.53318987,12.80274271,12.907789999999999
YAL005C,12.72209722,13.39188713,12.474822099999999,11.97515147,12.11191158,10.67503503,11.71109224,11.85315278,12.12619765,12.3709477,12.11355928,11.71689181,12.56065373,12.01281326,12.09767993,11.93246881,12.44026335,11.76496499,12.23609586,11.92564543,11.73903191,12.27294647
YAL007C,11.725308300000002,11.57739092,11.90879239,11.792390699999999,11.15779533,11.80450629,11.54477398,11.69309532,11.4551629,11.58301278,11.81914974,11.32020689,11.9829008,11.7179231,11.78867924,11.86039755,11.46405949,11.90853038,11.73784326,11.77983136,11.72271911,11.90488952
YAL012W,10.46343872,10.56885334,11.04996831,10.55710306,10.8844218,11.16273225,10.93717488,11.10312219,11.25727597,10.623776600000001,10.80349248,10.81579415,10.68240191,11.17586813,10.97609977,10.89934389,11.40462786,11.16473126,10.74014308,10.8944243,10.72929392,11.44664496
YAL016W,11.07289303,11.39201165,9.574938562,11.29998652,11.41271539,11.04608182,11.13378416,11.21244986,11.38565448,10.09028595,11.76587008,11.22313142,11.1020966,11.59866773,10.54569799,11.46984707,11.06219243,11.27200596,11.5530551,11.70277938,11.21979084,12.13054304
YAL021C,11.82649986,11.82143153,11.71350655,11.592540800000002,11.66584287,11.84372096,11.36231577,11.69000318,11.72258199,11.98988751,11.71366609,12.13834857,11.46618123,11.92603874,11.81990341,11.454154199999998,11.21703045,11.68606124,11.84754415,11.97081982,11.47228679,11.98606854
YAL023C,11.98380212,12.28716657,12.02071811,12.13654665,11.97193183,12.0070115,11.82997315,12.13003634,11.83976828,12.35578736,12.16821683,12.35264233,12.32687282,12.20967271,12.14554414,12.04450792,11.88486685,11.86378158,12.1221578,12.19171416,12.14614457,12.65536743
YAL029C,12.90965379,12.12252404,12.37114712,12.62086221,12.63240386,12.69533107,12.86581449,12.66415729,12.84052288,12.91895696,12.28962983,12.989517300000001,12.48336455,12.39593558,12.52516754,12.53974006,12.72550108,12.74365958,12.4679561,12.5350992,12.76296814,12.73128098
YAL034C,11.96547716,11.44917602,10.67106238,12.04238101,11.44931339,12.16107795,11.83482139,11.85064665,12.15945621,11.53005977,12.006169400000001,11.76533005,11.86018428,11.64955336,11.69761187,11.75523704,11.89884945,12.28395116,11.86623624,11.88492393,12.28158054,12.01601065
YAL035W,11.86261171,11.86951038,11.58763548,12.01993202,12.04036868,11.90033042,11.87911236,12.07912041,11.51245572,11.75519169,11.82199821,11.99469914,12.05108131,12.39115115,11.73097155,12.06038058,11.78291171,12.49868028,12.09555758,11.96066087,12.27985033,12.37123568
YAL036C,11.67983438,11.12582494,11.61221134,11.43962672,11.65830502,11.86841571,11.72751882,11.64774195,11.42522753,11.68879042,11.80891351,11.75798267,11.77231794,12.03279375,11.93338922,11.79979492,11.63286848,12.09680578,11.50629847,11.52373672,11.80652096,12.11986785
YAL038W,13.11537157,12.72153983,13.26398723,12.90227099,13.15846121,12.71161369,12.91251633,12.70885547,12.664501300000001,13.29001425,13.065465300000001,12.96035628,12.52720241,12.78633042,13.14407434,12.98781177,13.14968565,12.74419233,12.62485137,12.842132000000001,12.81310617,13.445414999999999
YAL039C,11.48489588,11.47706036,12.03729641,12.222029699999998,12.38720299,11.00289897,11.53925872,12.27982318,12.04943125,11.00091459,10.808880699999998,11.60171821,12.006813900000001,11.73522528,11.89336539,12.2690186,11.50428427,12.13014053,11.78690218,11.92462069,11.92329372,11.78636894
YAL042W,11.73347585,11.38236135,11.55664716,11.44393462,11.60124463,11.83204607,11.60815588,11.70106167,11.66409953,11.92071132,11.49663818,11.86092642,11.82598994,11.78412384,11.81556554,11.67586714,11.38970546,11.63875447,11.59188127,11.676959199999999,11.76812202,12.29756942
YAL049C,9.493159742000001,11.66351404,11.70525796,11.14033637,11.25893526,11.31817178,11.96874367,11.23413408,10.89471685,10.511289999999999,10.827765300000001,9.560457423999999,10.64598103,10.64617022,10.62573331,11.41731236,11.69786721,11.40948263,9.828330025,9.759784145,11.40064513,11.79842583
YAL053W,11.02908321,11.0141137,11.10039964,11.23535232,11.21278017,11.63263259,11.22457118,11.17740066,11.23056484,11.22489683,10.96036373,11.60729742,11.39279231,11.22546142,11.53981948,11.24996516,11.18665847,11.52084585,11.28515547,11.30661331,11.28044645,11.30341714
YAL059W,12.36241309,13.68503498,11.77749192,11.76048796,12.8138029,11.72899466,11.8013115,11.67200987,12.99164654,12.82208775,11.76013616,11.76899754,11.79435079,12.354101199999999,12.12022842,11.70348121,11.94710363,12.2009308,11.70267413,12.16639796,11.90881887,12.17350339
YAL060W,10.05980592,11.02227618,11.25559855,12.49019293,12.38332304,12.19024903,11.75506396,12.45976083,11.561955900000001,11.08564486,11.65619314,11.3856237,10.16384252,10.38971421,11.25055168,12.46845117,12.62823062,11.67003068,11.94265878,11.66646018,12.04594253,11.50151828
YAR002C-A,12.42543539,12.26353752,12.63552203,12.51898589,12.3645546,12.65653506,12.27023729,12.13672561,12.279519,12.67062699,12.23790834,12.7400095,12.63150504,12.48747977,12.59877777,12.45196812,12.51981749,12.57217407,12.41387054,12.44457715,12.62646973,13.02095777
YAR007C,10.5861784,11.10278044,10.5628742,10.72861868,10.23156507,10.37358214,10.38487139,10.59039628,10.52810548,10.68374352,11.02143362,10.66121169,10.83688813,11.34144423,10.66760039,10.81501603,11.00833549,10.92611605,10.72037383,10.62822071,10.53573058,11.36592385
YAR008W,14.555462799999999,14.89324963,14.31220925,14.42675605,14.03311909,13.89614535,14.14132614,14.12268156,13.90567279,15.01618471,14.52636602,14.05160523,14.27602831,13.55946924,14.18624401,13.74618068,13.575707399999999,13.78150836,14.34544571,14.43288967,14.10839132,14.15843581
YAR015W,10.23485729,10.89181651,11.181491000000001,10.51966278,11.01332452,11.71028997,11.15867063,11.03211477,11.80894932,10.6307556,10.86742354,10.86738985,11.50216302,11.07959994,11.19209479,10.80215044,11.30825465,10.99739856,10.84309192,10.930042599999998,11.04693825,11.21648846
YAR018C,10.52261922,12.34740898,10.59881883,13.26537944,13.06532548,12.77953464,12.86668146,12.53537251,12.74749846,14.40674542,7.5491508089999995,10.7725308,14.47448417,12.91147491,14.53448384,10.92947746,10.50206212,12.77085464,11.27962766,9.738805227,12.89816863,6.877344306
