gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,7503.171711992383,7136.688304051757,7020.379238643753,7077.760807449544,6533.907268578214,7197.55613740037,7037.09609436164,6568.851571337111,7256.972343788939,7868.814642305387,7218.4069928225,7335.503084525095,6993.341195948712,6870.353519594321,7145.688811101858,5641.002658701589,6103.182419861595,6855.439715117687,7265.065464042115,7017.769779744714,6097.94323466971,6988.837825190145
YAL003W,67163.2739900464,63800.132640186304,67042.78173886493,65575.99794303528,67098.41078231508,64768.832062484486,66201.09903255296,66067.69178523208,66210.33539890281,66698.42538732491,65251.34537699571,66031.40062920508,66823.52447103075,67877.38569724093,67292.54223502368,66990.15111759683,64514.470110061986,68559.73908523303,65400.821991422235,65714.27754723356,67154.7154574274,67804.7316509421
YAL005C,58419.833438302296,61489.24553924579,57351.129852084814,54965.481069501664,55635.19028994138,49040.528662756355,53763.6745764287,54370.97740643271,55538.05549802356,56658.726933634316,55538.02489257119,53750.46765949086,57634.01262564568,55114.44294176587,55450.820467214115,54775.80809703846,57109.20149299187,54029.52659828283,56089.775808168124,54712.689606293585,53878.29351251162,56411.15651739169
YAL007C,7691.7973773969825,7593.990362223138,7821.2704122805535,7732.373748931041,7321.789468087461,7747.036861261936,7571.447871878921,7662.39802862569,7494.95892113258,7578.571230742518,7741.174485915016,7418.671678683753,7854.716921279818,7680.213620376692,7719.212513557058,7777.852307611664,7518.25245775763,7812.691075563568,7686.543677932784,7720.531594794782,7686.203303389624,7817.060851970068
YAL012W,54912.0916448152,55459.65991281965,58057.8029088964,55379.07868943925,57139.20540306334,58606.837815901476,57383.71295623911,58206.34435315448,58923.8733414774,55607.67249154434,56607.60526282208,56704.84753869474,56017.98394052722,58599.50022802226,57497.0918930652,57180.87384113262,59834.212518020286,58597.723507329145,56265.586160667925,57121.868369154654,56278.77529507781,60129.3242396531
YAL016W,7263.813230184432,7472.3940203486445,6288.478397056295,7409.500021040027,7489.069023504679,7249.299624158334,7301.907041489373,7347.434645611378,7449.480497755166,6601.905065705172,7706.277975305203,7355.053495563854,7277.355251194639,7602.050733757782,6905.309936921016,7521.735768558135,7254.703757808205,7395.093902580026,7565.534886740905,7670.031535173589,7356.449695343376,7965.230837380085
YAL021C,31032.71599730951,31016.258417622517,30772.054534351104,30405.32169023537,30620.689107439975,31091.090322896893,29807.142777083307,30641.487089106853,30679.71051322002,31379.130191508535,30688.343951815375,31819.355825421193,30064.041833277264,31266.470830415874,30958.632252210653,30045.778572941716,29424.992707360456,30666.953333292997,31033.525853940377,31382.82367919429,30088.012104934853,31481.460459667247
YAL023C,23584.107637020472,24178.666470988705,23684.337702311353,23874.119440885148,23568.08719346553,23639.809681183277,23275.473020152167,23846.166645437494,23239.803135553226,24252.5540748851,23909.40764872122,24285.827644921377,24240.56531891599,24007.555055721165,23858.661609542174,23695.76651845465,23382.667243696123,23349.99974696116,23814.637843619945,23971.441918276738,23891.488550031743,24929.53265254131
YAL029C,8468.72752566059,7951.561053887047,8124.928522244567,8275.609763192811,8289.433426517453,8331.665496081327,8437.83030843591,8298.727685724629,8401.381311397492,8452.657128338458,8049.324275463484,8512.650436767892,8182.767795601938,8124.599592745422,8201.464140030164,8223.353873275431,8345.519304404932,8360.584578600708,8164.6591307354565,8215.536074651456,8368.260549844963,8359.691031629694
YAL034C,7849.348046941716,7509.890004155411,7008.37345666169,7896.2945802223685,7513.084772237009,7981.046965782975,7761.670639366839,7765.640233793721,7955.768555056555,7543.9249617573505,7863.6665317868255,7710.382126384726,7774.277003877489,7635.402417607977,7659.581715386589,7708.889783612583,7803.392347254121,8058.989021362368,7770.622008423134,7789.409538532972,8052.63045534704,7890.025884412475
YAL035W,93382.42024126886,93427.21313763893,91324.15202522765,94578.89494131187,94811.251131357,93719.089432988,93488.61763852833,94984.28859920445,90389.33812131455,92294.70004815365,92916.4818016949,94328.3835837228,94792.90589269996,97457.5651812449,92177.10708840689,94907.97437042517,92728.3097528661,98398.36628573097,95049.52101079858,94068.57262389154,96617.95212174454,97479.3108010175
YAL036C,30647.865999281024,29191.1737295346,30505.946191950312,30004.253285763687,30600.903630250887,31155.916794247267,30765.192151714396,30530.713206998338,29901.490437846172,30591.119058480104,30937.88031107927,30822.268133613255,30866.724676103902,31546.350197720552,31255.87370620677,30952.440409967385,30515.836765306867,31744.8429226497,30139.66495852251,30210.746076767642,30964.59773184206,31832.884933029978
YAL038W,421580.2368683148,408879.28264622693,426854.39001648367,414546.46611738356,423097.08258593525,408775.2195013309,414954.48753096646,408072.88525999006,406024.42529374204,426076.2509821543,419316.14345971704,416183.45166898787,402363.6589726495,410643.22239171603,421729.45344978734,417342.4019961713,422561.4994620387,409685.77085677115,405102.7090068279,412421.5415137859,411655.5863626316,432601.8924978689
YAL039C,15068.17385814555,15056.360515678092,15811.334548328727,16028.183590516232,16257.063286595681,14441.91935058993,15135.661561529752,16093.752820244543,15767.56140421972,14395.428267372201,14158.959547922943,15206.318964355256,15740.783615746092,15383.107780766939,15575.521746507695,16091.638450348953,15089.264589777273,15916.16053659633,15437.339960344476,15630.853791569325,15635.42701590419,15478.474302029357
YAL042W,7697.155282804244,7466.06407470327,7589.993978955771,7503.888050504744,7612.782656027948,7765.110608007144,7613.015837775286,7667.618317393067,7631.663345861366,7799.521722680641,7529.939475800161,7773.030983907941,7751.862831120334,7723.603202900358,7736.817629100494,7656.840318327935,7469.490289554101,7635.702331088858,7590.960258742789,7653.108922750249,7715.9725030094805,8074.904717267215
YAL049C,18682.526544593704,22951.444024375374,23062.788761775326,21914.44806263076,22164.473668134593,22283.59876314496,23548.504029235548,22084.932467487466,21384.799836850267,20632.082898978013,21275.545803372395,18796.271684935615,20935.122990177253,20933.281657184958,20873.150899803855,22461.85311723107,23014.758158042103,22455.859865733306,19308.288503454263,19189.762462168495,22425.08979367622,23241.46205797887
YAL053W,21705.22202327708,21673.55508548583,21871.04059977839,22101.35643068522,22073.612204816276,22902.71983231388,22084.344588011772,21973.401500131367,22044.022301851164,22032.785883783235,21536.089302146676,22820.447409442408,22403.71344181178,22072.32653999612,22668.778352821075,22132.622552389475,22008.989727149034,22675.042189637523,22170.301275839392,22231.149831977673,22188.658774201816,22266.355225124604
YAL059W,8109.737850326798,8976.463221585487,7735.036945459512,7711.45484186467,8408.468189882853,7697.480246446998,7739.693736466544,7648.580887417015,8500.259488712069,8389.2772249852,7702.522432206136,7712.785608216233,7731.123561128631,8097.18032168832,7936.31050436367,7674.949167390052,7835.03795502547,8004.52282129599,7663.513119591092,7973.888334152893,7808.222823772165,7993.439724082805
YAL060W,6599.22850326171,7229.87240189031,7392.275981160824,8189.92877452949,8125.98560080911,8000.191302642549,7709.363061539398,8164.788206692142,7564.832140045268,7253.151727851847,7634.442995747646,7461.542435574238,6662.335533801973,6809.673006500165,7366.847253103423,8176.603802242867,8281.72829760657,7656.221349573885,7820.667416409271,7646.2278363988235,7898.130321835319,7552.196784837829
YAR002C-A,8151.0804575632865,8044.056417376783,8298.560541994717,8208.808570335483,8113.669676419433,8306.204531957317,8047.230913976285,7953.105641929413,8034.324022475174,8290.178988208298,8015.4483155570415,8349.136074821175,8279.87296785305,8184.599897558281,8249.664023344541,8165.794487241532,8210.629809512571,8248.080079655127,8129.241124061703,8156.207686474043,8278.763008954413,8549.900365240346
YAR007C,41667.17178488938,43696.06669898481,41623.91587989587,42209.0947577579,40283.96101908934,40847.717598629904,40864.47040329108,41638.84550720512,41330.38637641791,41941.16650837929,43312.17185452632,41920.80409564017,42621.07648923201,44600.7609386618,41910.788854002574,42553.85050637035,43316.30281445908,43009.0195903708,42121.514069801146,41794.5782016257,41447.60259593991,44778.971669169994
YAR008W,9548.377549901796,9768.97082914292,9399.748949147259,9459.750154505557,9208.588304743927,9119.733394007882,9274.353394334854,9254.487741785726,9098.294560303237,9824.83811362605,9514.316723209187,9208.687334405327,9357.84773877283,8887.208034701815,9289.134941724993,9014.517654880472,8903.0936768123,9041.473961877102,9394.135922521256,9459.352801954745,9250.410497436436,9296.798108752066
YAR015W,26856.2485165532,28577.198513288644,29374.41911704758,27591.339655046293,28907.94859377773,30740.81907002828,29272.913686081065,28917.049633193627,30905.74644984062,27822.101225807888,28471.29402159948,28487.676268417024,30158.385187798052,29047.36398452995,29314.279032406987,28335.485510226204,29664.295939063297,28859.741665358164,28402.457860335035,28654.311492053715,28972.463624302367,29460.155073160924
YAR018C,6902.833839570189,8099.070459347649,6960.9264635591335,8698.225347587833,8573.518305815427,8386.926437482432,8438.398893430041,8214.335976491828,8340.516683013126,9426.092189167068,4944.4583527629975,7059.753411181138,9487.934319527763,8462.496692433546,9517.161954531628,7167.370326025858,6887.364327179842,8378.426129603718,7386.480525303346,6382.837850840596,8456.907085958192,4515.843584023892
