gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-1083.56,-1083.2,-1087.25,-1087.63,-1086.65,-1087.63,-1087.63,-1086.65,-1080.55,-1087.69,-1087.69,-1085.78,-1086.93,-1082.23,-1089.89,-1086.65,-1086.65,-1086.65,-1086.77,-1086.77,-1086.65,-1084.17
YAL005C,-715.67,-711.22,-707.64,-709.76,-707.25,-709.76,-709.58,-707.1,-714.18,-714.6,-714.6,-707.57,-706.38,-712.21,-714.13,-707.51,-705.92,-706.28,-705.88,-705.88,-706.24,-709.34
YAL021C,-874.73,-870.94,-869.85,-869.85,-866.0,-869.87,-866.0,-866.0,-878.93,-869.88,-869.88,-877.33,-871.25,-865.68,-868.43,-866.0,-869.4,-866.0,-877.33,-877.38,-866.0,-869.48
YAL023C,-869.22,-866.06,-869.02,-869.02,-869.97,-869.02,-870.17,-869.97,-861.21,-864.23,-864.23,-864.71,-870.78,-867.48,-867.47,-869.97,-869.47,-869.97,-866.27,-866.27,-869.97,-869.52
YAL029C,-1330.67,-1331.08,-1330.75,-1330.12,-1332.3,-1330.67,-1330.67,-1332.3,-1330.91,-1324.98,-1324.98,-1330.68,-1330.18,-1333.12,-1334.43,-1332.3,-1330.75,-1332.3,-1327.5,-1327.5,-1332.3,-1332.71
YAL035W,-938.82,-942.25,-943.52,-943.27,-943.52,-942.36,-943.52,-943.52,-951.07,-950.66,-948.36,-943.28,-946.17,-945.08,-944.54,-943.52,-942.11,-943.52,-945.4,-946.3,-943.52,-945.28
YAL038W,-570.26,-570.26,-570.26,-570.39,-570.26,-570.26,-570.26,-570.26,-571.26,-570.57,-570.57,-573.77,-571.34,-568.6,-568.05,-570.26,-570.26,-570.26,-571.74,-571.74,-570.26,-570.26
YAL053W,-801.98,-805.6,-798.8,-798.01,-798.8,-800.2,-799.53,-798.8,-798.8,-805.12,-805.12,-806.7,-810.26,-803.94,-791.19,-798.8,-798.8,-798.8,-805.89,-805.89,-798.8,-800.41
YAL060W,-478.45,-475.89,-478.45,-474.19,-478.45,-478.45,-478.45,-478.45,-477.49,-482.02,-482.02,-480.53,-479.51,-484.77,-483.96,-478.45,-478.45,-478.45,-486.24,-485.98,-478.34,-483.18
YAR007C,-596.57,-598.16,-594.33,-591.85,-593.11,-592.57,-593.11,-593.11,-597.96,-588.34,-588.34,-594.21,-592.57,-598.73,-595.02,-593.11,-593.11,-593.11,-591.89,-591.89,-593.11,-592.29
YAR042W,-1164.02,-1180.5,-1179.81,-1178.86,-1177.68,-1177.23,-1178.77,-1177.76,-1173.05,-1181.57,-1181.57,-1179.33,-1173.39,-1174.98,-1178.61,-1177.76,-1179.49,-1179.49,-1182.12,-1182.12,-1177.68,-1177.45
YBL004W,-2246.91,-2245.93,-2247.68,-2247.65,-2247.02,-2248.14,-2247.68,-2247.02,-2251.19,-2251.7,-2251.7,-2246.51,-2251.71,-2245.45,-2251.19,-2247.02,-2248.93,-2247.02,-2252.17,-2252.17,-2247.02,-2246.32
