gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL003W,-249.62,-248.61,-249.62,-249.62,-249.62,-249.62,-249.62,-249.62,-248.79,-251.41,-250.7,-249.62,-249.62,-249.62,-253.38,-249.62,-249.62,-249.62,-249.98,-249.98,-251.05,-249.62
YAL007C,-234.73,-234.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73,-234.21,-234.21,-234.79,-234.73,-236.42,-235.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73
YAL012W,-434.21,-436.32,-436.85,-436.85,-438.25,-440.36,-438.25,-438.25,-444.59,-443.03,-443.03,-442.21,-436.32,-443.17,-437.04,-438.25,-438.25,-438.25,-435.7,-435.7,-438.25,-436.85
YAL034C,-398.22,-399.25,-399.44,-399.44,-399.44,-399.48,-399.44,-399.44,-407.12,-399.3,-399.3,-403.41,-399.44,-408.43,-402.93,-399.44,-399.44,-399.44,-402.99,-402.99,-399.44,-399.44
YAL036C,-441.87,-441.87,-441.87,-441.53,-441.87,-444.58,-441.87,-441.87,-444.64,-444.91,-444.91,-447.7,-446.7,-444.39,-439.64,-441.87,-441.87,-441.87,-445.55,-445.55,-441.87,-441.87
YAL039C,-329.54,-322.21,-322.21,-322.21,-322.05,-322.21,-322.61,-322.05,-332.3,-323.07,-323.07,-326.09,-321.91,-330.38,-326.65,-322.05,-322.05,-322.05,-330.65,-330.65,-322.05,-322.21
YAL049C,-279.86,-276.85,-278.66,-278.71,-278.66,-278.55,-278.55,-278.66,-280.43,-272.28,-272.28,-275.67,-277.77,-275.0,-276.72,-278.66,-278.66,-278.66,-273.77,-273.77,-278.66,-275.05
YAR002C-A,-232.47,-236.69,-230.29,-230.89,-230.89,-230.89,-230.89,-230.89,-236.69,-232.47,-232.47,-236.69,-232.59,-237.64,-230.59,-230.89,-230.89,-230.89,-236.62,-236.62,-230.89,-232.59
YAR008W,-303.18,-297.65,-302.62,-302.62,-302.62,-302.62,-302.62,-302.62,-297.65,-295.68,-295.68,-305.11,-305.7,-296.91,-306.51,-302.62,-302.62,-302.62,-297.65,-297.65,-302.62,-297.65
YAR015W,-338.08,-334.59,-343.1,-343.1,-343.1,-343.31,-344.18,-343.1,-334.59,-335.52,-335.52,-338.7,-343.1,-335.69,-335.39,-343.1,-343.1,-343.1,-337.05,-337.05,-343.1,-343.1
