gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL003W,6395.660410604975,6159.117780809226,6207.581133391684,6249.580351133142,6242.339316049416,6011.281506364324,6198.530243567207,6271.7832279249305,6144.638636501451,6313.76860238013,6219.851900358864,6157.250569055737,6319.888377768489,6435.583982424222,6289.157420253345,6262.985022917924,6024.9606486366665,6462.488575262342,6140.1867777483885,6177.02980158106,6371.621954005033,6216.586530379772
YAL007C,919.6564721214819,904.2306158473787,929.8312781449292,905.3442583910333,868.0759912520151,914.616910351526,884.6153969865123,907.595419921248,882.7369585907737,904.6637597848219,924.3968791555448,867.2478853971367,929.5412436391812,921.146741910106,902.5595447175053,910.2254327445884,890.1139900054164,895.3927291112901,911.8575320726812,915.7105369081207,921.2806790507753,875.2372618723399
YAL012W,6149.474055056861,6351.6896851935035,6432.998479222546,6314.482060011196,6375.943059563206,6538.587126765472,6393.8162338612065,6529.212056446377,6448.74578944743,6364.955140508854,6410.7008244296985,6347.713497652964,6282.9948296183975,6576.276610431022,6418.521264586489,6242.615864773534,6554.479409304718,6579.2065266083,6284.199915722104,6326.8281190576345,5997.166156902627,6302.213992345498
YAL034C,1167.6882174566979,1056.7536214050906,1039.9085651747,1203.2239648513532,1139.1247363869875,1294.5949306632674,1251.98122452805,1202.9248385675098,1188.3069469464422,1116.7190587951063,1158.9863139147976,1140.892492447896,1188.0776784649327,1169.199067601346,1155.631793220678,1152.1035925870426,1171.1446502381011,1276.610011246985,1159.8329855092652,1158.7047034689538,1203.5900894446327,1110.4306512811952
YAL036C,3738.336752058903,3716.3488763337987,3781.3606961473606,3716.3229979670373,3798.194623203539,3793.962923299977,3705.0939170507813,3806.728121578949,3736.3904859895465,3838.704994668211,3910.217739692546,3874.025041799032,3877.3559577847263,3929.3077695872166,3872.6552596693327,3800.8491021282102,3786.979959218206,3870.0165610155104,3819.764179242216,3818.9392212524895,3794.515822963341,3778.399639976489
YAL039C,1845.1133164479568,1856.7856457421847,1888.8481507573572,1927.9367040781733,1964.4911835662851,1722.1430397747256,1854.8285826033307,1920.0685888968853,1873.8058480202174,1807.173629120188,1747.76294673728,1878.1368143925565,1996.7604629421369,1825.7945158635532,1828.7907848244345,1894.4496870236483,1768.5777667462455,1969.5145262142935,1809.8721921497431,1835.752054789417,1818.6803503956733,1813.933879109834
YAL049C,2172.2529039133715,2483.6797775247437,2546.639077878684,2410.250166244591,2438.092861650051,2517.731440744411,2624.633425033896,2457.9623506993908,2507.591897881201,2408.142878795801,2483.2366723667674,2200.040361139228,2382.831935457506,2395.289665921593,2414.991265252564,2492.7128875892113,2565.029042876794,2513.6367201707144,2251.3861716766246,2230.649431896709,2581.462416079025,2482.5225367979765
YAR002C-A,898.8450592571129,890.799291895734,898.2875982280747,889.158102383381,874.1124088998114,898.8518050420489,869.7119188023528,852.8313165182982,880.2159010812748,914.3835304415594,881.7187316804111,911.3549358366896,895.722332528302,903.7105645838783,897.2269630081078,893.2618823911042,886.8806934579001,891.9217533408611,887.3078804963197,896.2057392737047,922.0069933809108,897.4859938328736
YAR008W,1319.0197664355098,1393.9768811137694,1330.9405086267725,1316.4048916754548,1251.6277999695544,1235.8149367338071,1269.6682845247205,1274.9266958630544,1292.5287999796815,1382.8609348484656,1322.9282138660285,1308.133842995084,1291.1434956873234,1234.8726350251864,1272.9519722842772,1255.1582672918225,1211.253949651805,1257.5269809900306,1311.4261807731016,1320.1957864402402,1272.5248539460072,1208.185713387764
YAR015W,2989.6644410700624,3122.1309971995056,3168.359557988925,3091.033775048686,3105.480126188121,3310.644071132505,3188.729284146432,3142.70516844615,3384.6801957147136,3065.192468276632,3155.788269711153,3182.0314131059545,3249.196262741801,3185.622912990809,3219.901039516641,3002.5019756735496,3222.6907165103194,3167.146188418679,3159.3517608965612,3137.62597572206,3128.7483867938085,3134.496074219809
YAR018C,1010.3367095611636,1188.8047545570387,1029.4585760354828,1239.092133707521,1296.3329165861505,1219.1981643182955,1276.457534249118,1253.1379509547635,1210.4725460920465,1389.445044821474,708.1005631017807,1029.3701297663363,1365.8355367175313,1260.5123917183992,1401.0770904338005,1027.438763180901,1014.867934791861,1208.689448056924,1092.63498663967,937.0223114306931,1237.5542587062766,619.9939704236465
YBL002W,728.2838659494403,707.4231738231673,677.4664917849024,669.4479101978951,723.1850446353792,714.3826036829253,682.4054485710134,686.1480827041322,737.1336269717425,735.6182400780599,734.3232189460833,692.9720246134539,737.7112595714749,678.6962701681847,720.3139425552142,666.1017581842882,766.8256816510433,717.4129263143276,678.8303849535947,686.2962326606262,714.2206514770662,673.0796387936148
YBL016W,822.0156305252001,756.1783756871138,710.0301275651389,701.219380517154,799.5960093996623,648.1174207283323,779.9489177734092,717.2345439506188,594.5053284619934,712.7903540177591,652.0143948144403,739.9918354702095,497.8359267620157,692.4472452477668,720.0396645202103,771.4574899114757,701.0692889793311,739.5870903862577,733.1202747392211,810.6932259364547,727.7637927962178,832.3480283850337
YBL026W,1817.8523472875286,1916.3037902849865,1814.9314336618768,1855.9969938129514,1824.1507116964528,1815.347941195241,1817.3660613086374,1944.9844112079754,1751.2677923799106,1812.5120710335434,1928.3318908710608,1910.816797130954,1882.5630452904309,1951.2020298786372,1874.384855189842,1868.241294658069,1873.6031797821454,1902.9643488433346,1908.244899702357,1922.6733089168438,1911.6082736499066,1882.0621633394144
YBL030C,10684.374063526588,11129.248430442778,10689.362501887974,10912.06744438796,10844.995985264284,11197.522182222234,10753.118936728772,10959.091081823572,10879.886001785386,10870.417872057344,10539.289342838525,10992.502264988412,10661.731655261898,11264.209331830725,11095.62978682745,10447.039697582994,10719.947206097511,10582.719856121259,10876.616035502935,10904.957649984859,10651.574929772014,10934.944235606374
YBL032W,976.5387912829403,937.7140812428427,916.1216422752368,962.6236591961494,949.2399336080517,952.4003564941287,933.4441054546968,960.229144345193,911.6863656469316,950.1263258755156,961.4083072942317,959.1407624145512,970.1802297371128,992.7454807622046,951.4633665265017,951.3970982453943,953.8426873148093,994.9921364902929,948.5061238818324,958.7620152712724,974.2686499586498,962.2794307183473
YBL040C,1491.0564240644414,1597.09637290203,1492.1148218144504,1513.8189708887255,1535.354764320314,1566.461342109834,1471.2410047132928,1514.854557623785,1580.7708968279644,1579.4532099047187,1548.803736469363,1544.0477841154782,1557.7318921515357,1526.707351699767,1555.648406641262,1612.2745770338593,1486.4959267119482,1600.5835742045429,1561.3639270741894,1614.9045392873354,1539.8093994204996,1559.8565959013572
YBL041W,2528.8700168068963,2497.3216955623643,2299.883589105707,2493.7431876759256,2405.479583730522,2449.011603894807,2355.409886847296,2567.4834813785146,2403.5501394969565,2504.867917858505,2615.410825811882,2556.0533060502,2453.4585125819435,2506.984638613195,2328.920897440685,2483.7515489095804,2692.5149566555656,2567.576125442578,2604.2013717171017,2437.7712690977332,2552.9539562228383,2518.652874022843
YBL050W,6603.123417007126,6562.637069991306,6597.057976784664,6623.877888054131,6601.671414649361,6680.187523956742,6510.187701991183,6633.1543430739175,6352.5291979980775,6688.238492399871,6636.8228352145825,6720.591821861706,6769.343262913084,6821.810295874699,6669.853904483853,6548.405892963437,6503.3373579786585,6670.259235500874,6655.732922905415,6672.55851214336,6786.882841997726,6535.311760529193
YBL057C,966.304775163654,968.7416589458968,978.0219735783563,952.7360991907449,977.3033985600572,963.272549457421,954.5861622447267,962.123480825457,944.7671336814943,985.9505770054463,965.5967931028742,975.092382053294,986.5495775798801,957.7754892716098,982.7835773925101,975.5442931621783,937.9864981060967,962.4176513318016,975.934177362986,972.0589028137416,975.9662140455868,935.7377860649074
YBL064C,5659.760947320943,5768.825575009778,5433.681809109646,5740.607551570839,5482.020153135437,5693.629948421376,5835.95698845051,5513.228196554396,5726.962140181524,5642.512013664781,5666.507324635064,5951.463812063351,5637.30141483753,5623.364246213117,5512.6982974096645,5722.025647314398,5786.3211254459375,5416.487854563262,6067.132488597546,5753.0625123182335,5545.828186719961,5654.518982528993
YBL078C,830.8946428757016,795.5371603871063,694.4995157769825,781.2877565504243,806.6727227587296,788.3516364923827,779.7401946473785,797.469077522473,748.2855908629978,813.4061163998813,800.4917418177703,806.8202640675843,830.5384762989409,767.0017242690674,793.3566644776503,791.4881842224471,793.6569738645528,794.0854675410942,795.6506342957338,780.2312615564317,787.5354909267555,823.7704639330777
YBL091C,2889.992260419934,2724.485007172583,2855.2958584680823,2830.8982542103618,2871.5814436310966,2871.1242707716783,2809.2381332204177,2898.4269809751245,2832.9937328190144,2890.108155741983,2824.009088300977,2986.72412456374,2941.268576038041,2897.9304735981664,2867.843202166327,2803.6699799392713,2874.5716326593347,2946.0412477575233,2911.2428546785136,2841.066440998915,2890.700815440384,2929.1522240399363
YBL102W,952.753376440332,930.6500105861336,922.245770520636,934.8777005408647,925.4995004563872,927.4855419775037,911.0311253141507,940.7268084827408,899.0917958779767,956.6288500041859,915.8789989319567,933.7376380011459,957.7340194095599,943.3698932086032,929.8768295841836,924.5524121440812,925.8674872453993,945.4873225663464,929.0570312446107,947.7566339864636,953.4130029931508,899.4946611247565
YBR011C,4056.379827103054,3967.3663647946655,4186.044875436889,3998.767789267361,4145.006138059226,4154.120570557448,4076.691779175805,4026.637506333925,4258.457105085067,4168.2196143482315,4150.656530843983,4086.844129260121,4153.936118828272,4152.052087361581,4217.316536121144,3977.4310321468843,4071.467255333909,4127.707367923645,4043.8607967275148,4078.723502992239,4016.2117873617494,4102.5824194325705
YBR024W,1046.7103689209644,993.090525978454,977.3952431167734,970.8443166679167,983.6300053928908,1032.9185509208523,1015.5579735286842,1024.6921358886304,960.1995788399953,976.122930762682,981.7025115489704,925.6199967465824,985.0546793863797,998.5767963882187,967.9408936145288,1002.17720637365,964.6774922779256,997.6314628241032,981.823182801444,959.2669965472844,996.6777997698983,984.1799116492116
YBR025C,11503.820923011772,11602.1317765533,11152.390848758329,11510.644064815344,11260.221054297872,11401.86823535482,11152.504025994293,11461.441808336118,11576.811382282693,11426.903754298935,11372.584423315042,11516.377265207964,11349.872315285093,11469.798870510534,11540.985258135202,11342.054982446982,11246.714428910327,11241.972676745389,11520.296933202007,11451.14173173132,11630.921734467978,11605.15579162675
