gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,1071.455791067921,1005.1574911768233,985.71710283638,990.8949815190159,902.0374591531396,1033.4762125986138,1015.4598789700577,912.211294053584,1045.5195700172362,1106.050023723281,998.2646457201663,1045.6103420260904,986.2664133153226,965.8942587807286,1015.5956246198906,795.0561824022012,865.9555186121061,970.0299263173237,1012.8605401864708,977.2626664489807,870.5937210964992,940.4952762664408
YAL021C,4167.81807519564,4187.426004563941,4121.422304708222,4067.8143371825518,4102.317819834029,4148.7090163533785,3954.0874048268574,4067.1171353389036,4122.287312761914,4281.327825522007,4066.3693337140503,4151.169732314067,3999.9877005036137,4126.267135982725,4106.6897810843875,3998.318548746686,3922.539604907003,4054.35713599443,4027.488319373186,4169.823893152262,3885.553443077349,3947.5091532175625
YAL029C,1187.0372734213465,1123.0409250276848,1148.4994627866956,1168.9205249285878,1158.5195622939884,1170.7757756922292,1158.7257809505031,1159.5309472205665,1193.3286003590415,1185.506704081712,1128.9593049008365,1196.523322016429,1164.0686269170085,1141.7089748945145,1155.572671635689,1142.0083778614458,1149.523531965925,1152.709231493449,1157.3906242965006,1180.3185590176113,1185.527690866391,1122.3690946773122
YAL034C,1167.6882174566979,1056.7536214050906,1039.9085651747,1203.2239648513532,1139.1247363869875,1294.5949306632674,1251.98122452805,1202.9248385675098,1188.3069469464422,1116.7190587951063,1158.9863139147976,1140.892492447896,1188.0776784649327,1169.199067601346,1155.631793220678,1152.1035925870426,1171.1446502381011,1276.610011246985,1159.8329855092652,1158.7047034689538,1203.5900894446327,1110.4306512811952
YAL036C,3738.336752058903,3716.3488763337987,3781.3606961473606,3716.3229979670373,3798.194623203539,3793.962923299977,3705.0939170507813,3806.728121578949,3736.3904859895465,3838.704994668211,3910.217739692546,3874.025041799032,3877.3559577847263,3929.3077695872166,3872.6552596693327,3800.8491021282102,3786.979959218206,3870.0165610155104,3819.764179242216,3818.9392212524895,3794.515822963341,3778.399639976489
YAL039C,1845.1133164479568,1856.7856457421847,1888.8481507573572,1927.9367040781733,1964.4911835662851,1722.1430397747256,1854.8285826033307,1920.0685888968853,1873.8058480202174,1807.173629120188,1747.76294673728,1878.1368143925565,1996.7604629421369,1825.7945158635532,1828.7907848244345,1894.4496870236483,1768.5777667462455,1969.5145262142935,1809.8721921497431,1835.752054789417,1818.6803503956733,1813.933879109834
YAL053W,2723.422115338161,2715.765710956478,2638.827014852745,2826.7942110525014,2819.228857328005,2851.5818670120752,2773.0176636868987,2810.386783684567,2678.3462707544877,2754.4971969674907,2715.1911347589376,2813.855974647973,2818.2517921043736,2761.3946474261256,2751.602739062221,2841.820162356964,2767.048385201572,2830.4561211151226,2820.434126857155,2839.7387431752063,2819.046738305737,2683.0658783006147
YAR008W,1319.0197664355098,1393.9768811137694,1330.9405086267725,1316.4048916754548,1251.6277999695544,1235.8149367338071,1269.6682845247205,1274.9266958630544,1292.5287999796815,1382.8609348484656,1322.9282138660285,1308.133842995084,1291.1434956873234,1234.8726350251864,1272.9519722842772,1255.1582672918225,1211.253949651805,1257.5269809900306,1311.4261807731016,1320.1957864402402,1272.5248539460072,1208.185713387764
YAR018C,1010.3367095611636,1188.8047545570387,1029.4585760354828,1239.092133707521,1296.3329165861505,1219.1981643182955,1276.457534249118,1253.1379509547635,1210.4725460920465,1389.445044821474,708.1005631017807,1029.3701297663363,1365.8355367175313,1260.5123917183992,1401.0770904338005,1027.438763180901,1014.867934791861,1208.689448056924,1092.63498663967,937.0223114306931,1237.5542587062766,619.9939704236465
YAR042W,913.1152575584483,927.8357041938764,925.4482952732394,918.5130840351758,926.1499760189764,906.8762908399588,873.0858221612928,921.7191741267412,836.5221642623953,890.7175402847687,872.8958648755982,908.6287372718224,897.403513830647,956.0726078777057,903.521102147712,920.222148389944,913.3993993842073,921.4570295657248,934.7769528443363,900.3470973252151,900.2608375438632,925.9629348195956
YBL004W,1474.9096727430515,1625.578149770996,1535.6677217438648,1447.3042472078423,1565.9142847129401,1466.8278468486965,1438.3963124000102,1495.1020584738917,1430.323600529528,1489.3979883954169,1528.7812680935572,1353.2908265628664,1476.6519779703422,1466.8395208500851,1419.5725260583154,1456.2347078970183,1485.4082730039843,1437.0597431491035,1517.8823202577246,1486.1918947326515,1399.1772599848575,1442.0626227373614
YBL016W,822.0156305252001,756.1783756871138,710.0301275651389,701.219380517154,799.5960093996623,648.1174207283323,779.9489177734092,717.2345439506188,594.5053284619934,712.7903540177591,652.0143948144403,739.9918354702095,497.8359267620157,692.4472452477668,720.0396645202103,771.4574899114757,701.0692889793311,739.5870903862577,733.1202747392211,810.6932259364547,727.7637927962178,832.3480283850337
YBL017C,5683.639930405483,5599.315506580289,5595.430005891645,5628.167601084306,5490.424462368511,5693.873871888011,5479.652899692621,5652.7423288266245,5470.520565959804,5784.103501981346,5710.410833906926,5743.064408632268,5672.433224363023,5673.209249253487,5611.720868884535,5613.030619141215,5566.91650976276,5811.633647864433,5542.337040424835,5812.5237974092715,5733.805193458807,5689.531710110306
YBL020W,1917.8526094525616,1701.8779849655814,1846.04221941014,1838.894270944687,1829.2447006408381,1913.354715799338,1858.597776122357,1842.0579256702733,1860.127515690056,1836.0848549740988,1784.1319427841377,1904.5187224270605,1832.7191516771952,1809.276422593004,1787.2614835261998,1865.3422351151507,1877.0760465879807,1921.617794871925,1762.6251040529196,1739.3810281281849,1920.4595012793445,1984.78131996371
YBL022C,2034.504366828581,2091.6980413201486,1891.719610831013,2045.1396212974407,1842.5480638298388,2106.701755861533,1859.5519801226487,1961.702743931308,2121.0169550298783,2041.0738939653547,2138.673985466391,2146.4314334261126,2020.7650910248803,1962.1723466703174,1942.335256151296,1928.506130622126,1967.2043615570612,1957.9626992859264,2069.7275533654906,2019.9087181029395,1945.55110437323,2143.5357828401443
