gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL003W,6395.660410604975,6159.117780809226,6207.581133391684,6249.580351133142,6242.339316049416,6011.281506364324,6198.530243567207,6271.7832279249305,6144.638636501451,6313.76860238013,6219.851900358864,6157.250569055737,6319.888377768489,6435.583982424222,6289.157420253345,6262.985022917924,6024.9606486366665,6462.488575262342,6140.1867777483885,6177.02980158106,6371.621954005033,6216.586530379772
YAL005C,5971.474017756366,6245.33544718604,5916.703356680307,5586.309799644456,5853.0017418909265,5527.113595444268,5701.698464506429,5629.461645327112,5839.451880243733,5749.844425086839,5714.267395428017,5551.738298968466,5755.96662891418,5770.324061320697,5766.778450516133,5566.500295474376,5770.102920177221,5512.183498164404,5734.61150140042,5666.1278538922525,5693.64369979061,5584.352464078706
YAL007C,919.6564721214819,904.2306158473787,929.8312781449292,905.3442583910333,868.0759912520151,914.616910351526,884.6153969865123,907.595419921248,882.7369585907737,904.6637597848219,924.3968791555448,867.2478853971367,929.5412436391812,921.146741910106,902.5595447175053,910.2254327445884,890.1139900054164,895.3927291112901,911.8575320726812,915.7105369081207,921.2806790507753,875.2372618723399
YAL012W,6149.474055056861,6351.6896851935035,6432.998479222546,6314.482060011196,6375.943059563206,6538.587126765472,6393.8162338612065,6529.212056446377,6448.74578944743,6364.955140508854,6410.7008244296985,6347.713497652964,6282.9948296183975,6576.276610431022,6418.521264586489,6242.615864773534,6554.479409304718,6579.2065266083,6284.199915722104,6326.8281190576345,5997.166156902627,6302.213992345498
YAL023C,2767.301577816032,2820.962465918301,2749.337754562757,2794.108715558437,2751.286109610838,2759.362938986272,2685.1084685074843,2756.237258908783,2652.790333025357,2797.4794189104045,2719.825860083462,2777.973718717292,2818.3854966537897,2816.406011917503,2759.243877293764,2750.551336609574,2736.00380134401,2721.3427802687456,2729.295191111567,2780.147964899232,2773.289974209941,2736.481809444487
YAL035W,10737.039995158586,10926.756517901624,10495.917539948829,10746.84158207759,10577.139375305811,10611.93297640372,10606.798674346905,10802.574501522413,10489.736403407378,10525.525509415329,10560.553755939523,10834.953388807158,10937.433377757588,11115.192351286452,10671.507254497144,10771.45214925695,10674.182069585891,11293.354590233503,10955.777541535888,10764.18976864509,10996.118319089406,10816.357046266403
YAL038W,35810.12428502097,34895.96489114031,35507.573011139226,34957.170712113264,35396.390338460384,35227.61976818088,34526.02839669752,34854.575973949635,34563.84167756438,36171.1285769663,35754.42252926942,35136.298479337886,34467.36652754477,35139.425542738245,36007.92765390897,34326.66675699822,35296.71949541178,34352.812325604646,34384.269061628416,35295.93267574064,34637.79820518792,35360.808661506184
YAL049C,2172.2529039133715,2483.6797775247437,2546.639077878684,2410.250166244591,2438.092861650051,2517.731440744411,2624.633425033896,2457.9623506993908,2507.591897881201,2408.142878795801,2483.2366723667674,2200.040361139228,2382.831935457506,2395.289665921593,2414.991265252564,2492.7128875892113,2565.029042876794,2513.6367201707144,2251.3861716766246,2230.649431896709,2581.462416079025,2482.5225367979765
YAL060W,710.8036215115483,806.4438789579025,785.3873805558422,836.8347705343875,834.1064858940234,842.6932978286387,810.6877166079997,842.379641799775,839.7792910134316,736.7405160406528,773.4702208215058,781.1320103677929,714.5227049299621,721.3348676686142,767.8134946629536,822.5913527694588,853.9585667435083,791.5172176583886,823.5228944453668,806.21930320759,816.9592499656744,755.3885514867294
YAR002C-A,898.8450592571129,890.799291895734,898.2875982280747,889.158102383381,874.1124088998114,898.8518050420489,869.7119188023528,852.8313165182982,880.2159010812748,914.3835304415594,881.7187316804111,911.3549358366896,895.722332528302,903.7105645838783,897.2269630081078,893.2618823911042,886.8806934579001,891.9217533408611,887.3078804963197,896.2057392737047,922.0069933809108,897.4859938328736
