gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL003W,-249.62,-248.61,-249.62,-249.62,-249.62,-249.62,-249.62,-249.62,-248.79,-251.41,-250.7,-249.62,-249.62,-249.62,-253.38,-249.62,-249.62,-249.62,-249.98,-249.98,-251.05,-249.62
YAL005C,-715.67,-711.22,-707.64,-709.76,-707.25,-709.76,-709.58,-707.1,-714.18,-714.6,-714.6,-707.57,-706.38,-712.21,-714.13,-707.51,-705.92,-706.28,-705.88,-705.88,-706.24,-709.34
YAL007C,-234.73,-234.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73,-234.21,-234.21,-234.79,-234.73,-236.42,-235.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73
YAL012W,-434.21,-436.32,-436.85,-436.85,-438.25,-440.36,-438.25,-438.25,-444.59,-443.03,-443.03,-442.21,-436.32,-443.17,-437.04,-438.25,-438.25,-438.25,-435.7,-435.7,-438.25,-436.85
YAL023C,-869.22,-866.06,-869.02,-869.02,-869.97,-869.02,-870.17,-869.97,-861.21,-864.23,-864.23,-864.71,-870.78,-867.48,-867.47,-869.97,-869.47,-869.97,-866.27,-866.27,-869.97,-869.52
YAL035W,-938.82,-942.25,-943.52,-943.27,-943.52,-942.36,-943.52,-943.52,-951.07,-950.66,-948.36,-943.28,-946.17,-945.08,-944.54,-943.52,-942.11,-943.52,-945.4,-946.3,-943.52,-945.28
YAL038W,-570.26,-570.26,-570.26,-570.39,-570.26,-570.26,-570.26,-570.26,-571.26,-570.57,-570.57,-573.77,-571.34,-568.6,-568.05,-570.26,-570.26,-570.26,-571.74,-571.74,-570.26,-570.26
YAL049C,-279.86,-276.85,-278.66,-278.71,-278.66,-278.55,-278.55,-278.66,-280.43,-272.28,-272.28,-275.67,-277.77,-275.0,-276.72,-278.66,-278.66,-278.66,-273.77,-273.77,-278.66,-275.05
YAL060W,-478.45,-475.89,-478.45,-474.19,-478.45,-478.45,-478.45,-478.45,-477.49,-482.02,-482.02,-480.53,-479.51,-484.77,-483.96,-478.45,-478.45,-478.45,-486.24,-485.98,-478.34,-483.18
YAR002C-A,-232.47,-236.69,-230.29,-230.89,-230.89,-230.89,-230.89,-230.89,-236.69,-232.47,-232.47,-236.69,-232.59,-237.64,-230.59,-230.89,-230.89,-230.89,-236.62,-236.62,-230.89,-232.59
YAR007C,-596.57,-598.16,-594.33,-591.85,-593.11,-592.57,-593.11,-593.11,-597.96,-588.34,-588.34,-594.21,-592.57,-598.73,-595.02,-593.11,-593.11,-593.11,-591.89,-591.89,-593.11,-592.29
YAR015W,-338.08,-334.59,-343.1,-343.1,-343.1,-343.31,-344.18,-343.1,-334.59,-335.52,-335.52,-338.7,-343.1,-335.69,-335.39,-343.1,-343.1,-343.1,-337.05,-337.05,-343.1,-343.1
YBL002W,-172.85,-170.45,-172.85,-172.85,-172.85,-172.85,-172.85,-172.85,-170.46,-170.45,-170.45,-170.45,-170.45,-170.45,-170.46,-172.85,-172.85,-172.85,-170.45,-170.45,-172.85,-172.85
YBL015W,-681.25,-684.03,-680.75,-680.75,-680.04,-680.75,-680.75,-680.04,-680.8,-678.98,-678.98,-679.48,-680.75,-684.34,-680.8,-680.04,-680.75,-680.04,-682.46,-682.46,-680.04,-682.12
YBL024W,-684.67,-685.82,-679.28,-686.04,-684.86,-689.58,-685.74,-684.86,-687.92,-689.81,-689.81,-692.33,-688.16,-684.13,-687.92,-684.86,-687.62,-684.86,-687.67,-687.67,-684.86,-685.89
YBL026W,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-115.5,-117.67,-117.67,-117.0,-117.67,-117.18,-115.5,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18
YBL030C,-398.02,-402.38,-398.02,-397.34,-398.02,-398.29,-398.02,-397.98,-398.66,-400.75,-400.75,-401.47,-400.74,-398.61,-398.66,-398.02,-398.02,-398.02,-400.75,-400.75,-398.02,-393.24
YBL032W,-449.56,-450.3,-447.63,-447.63,-447.63,-447.63,-447.63,-447.63,-451.3,-450.13,-450.13,-450.68,-452.09,-454.4,-451.3,-447.63,-447.63,-447.63,-450.68,-450.68,-447.63,-449.12
