gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,516.0,516.0,516.0,516.0,-390.65909090909093,516.0,516.0,-390.65909090909093,516.0,-363.65909090909093,-363.65909090909093,516.0,516.0,516.0,516.0,-390.65909090909093,-390.65909090909093,-390.65909090909093,516.0,516.0,-390.65909090909093,516.0
YAL005C,-75.0,-75.0,-443.7916666666667,-443.7916666666667,-75.0,-443.7916666666667,-443.7916666666667,-443.7916666666667,-75.0,-75.0,-75.0,-75.0,-75.0,41.44444444444444,-75.0,-443.7916666666667,-443.7916666666667,-443.7916666666667,-443.7916666666667,-443.7916666666667,-75.0,-443.7916666666667
YAL007C,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,344.0,344.0,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143,293.2857142857143
YAL012W,-126.27272727272727,-126.27272727272727,-126.27272727272727,-126.27272727272727,-126.27272727272727,122.77272727272728,-126.27272727272727,-126.27272727272727,-126.27272727272727,10.09574468085107,10.09574468085107,-186.03333333333333,-126.27272727272727,10.09574468085107,-186.03333333333333,-126.27272727272727,-126.27272727272727,-126.27272727272727,-186.03333333333333,-186.03333333333333,-126.27272727272727,-126.27272727272727
YAL021C,-87.89333333333335,116.47435897435895,-87.89333333333335,-87.89333333333335,188.33333333333334,-87.89333333333335,188.33333333333334,188.33333333333334,116.47435897435895,82.33333333333331,82.33333333333331,-87.89333333333335,-87.89333333333335,-87.89333333333335,-87.89333333333335,188.33333333333334,-87.89333333333335,188.33333333333334,-87.89333333333335,-87.89333333333335,188.33333333333334,116.47435897435895
YAL023C,-221.7,-666.05,-422.62857142857143,-422.62857142857143,-422.62857142857143,-422.62857142857143,-422.62857142857143,-422.62857142857143,-422.62857142857143,-666.05,-666.05,-422.62857142857143,-422.62857142857143,-221.7,-422.62857142857143,-422.62857142857143,-221.7,-422.62857142857143,-422.62857142857143,-422.62857142857143,-422.62857142857143,-221.7
YAL029C,415.33333333333337,-687.5846153846154,415.33333333333337,415.33333333333337,415.33333333333337,415.33333333333337,415.33333333333337,415.33333333333337,-278.6428571428571,-833.9629629629629,-833.9629629629629,-833.9629629629629,-568.9619047619049,-568.9619047619049,-833.9629629629629,415.33333333333337,415.33333333333337,415.33333333333337,-568.9619047619049,-568.9619047619049,415.33333333333337,415.33333333333337
YAL034C,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334,-498.4761904761904,-529.7708333333334,-529.7708333333334,-529.7708333333334,-477.92105263157896,-477.92105263157896,-529.7708333333334,-529.7708333333334,-694.6041666666667,-694.6041666666667,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334,-529.7708333333334
YAL035W,-738.0,-738.0,-738.0,-738.0,-738.0,-140.07142857142858,-738.0,-738.0,-140.07142857142858,-694.0,-694.0,-694.0,-738.0,-140.07142857142858,-617.6904761904761,-738.0,-738.0,-738.0,-140.07142857142858,-140.07142857142858,-738.0,-257.94444444444446
YAL036C,122.375,122.375,122.375,-196.1818181818182,122.375,122.375,122.375,122.375,-196.1818181818182,-196.1818181818182,-196.1818181818182,-196.1818181818182,-332.94444444444446,-196.1818181818182,-97.5,122.375,122.375,122.375,-196.1818181818182,-196.1818181818182,122.375,122.375
YAL038W,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-153.66666666666669,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667,-264.6666666666667
YAL039C,321.89473684210526,321.89473684210526,321.89473684210526,321.89473684210526,-335.9054054054054,321.89473684210526,321.89473684210526,-335.9054054054054,-335.9054054054054,321.89473684210526,321.89473684210526,-335.9054054054054,321.89473684210526,321.89473684210526,345.5454545454545,-335.9054054054054,-335.9054054054054,-335.9054054054054,321.89473684210526,321.89473684210526,-335.9054054054054,321.89473684210526
YAL049C,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,-142.7,278.0,278.0,-166.92105263157896,429.0,-195.26923076923077,-166.92105263157896,-166.92105263157896,-166.92105263157896,-166.92105263157896,278.0,278.0,-166.92105263157896,-166.92105263157896
YAL053W,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
YAL060W,486.0,486.0,486.0,-9.945945945945951,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,189.75,162.38888888888889,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0
YAR002C-A,270.1666666666667,270.1666666666667,-565.85,270.20588235294116,270.20588235294116,270.20588235294116,270.20588235294116,270.20588235294116,270.1666666666667,270.1666666666667,270.1666666666667,270.1666666666667,270.1666666666667,270.1666666666667,270.1666666666667,270.20588235294116,270.20588235294116,270.20588235294116,270.1666666666667,270.1666666666667,270.20588235294116,270.1666666666667
YAR007C,161.83333333333331,161.83333333333331,-284.6578947368421,-284.6578947368421,-284.6578947368421,-284.6578947368421,-284.6578947368421,-284.6578947368421,161.83333333333331,-557.5277777777778,-557.5277777777778,161.83333333333331,-284.6578947368421,161.83333333333331,161.83333333333331,-284.6578947368421,-284.6578947368421,-284.6578947368421,161.83333333333331,161.83333333333331,-284.6578947368421,161.83333333333331
YAR008W,-116.33333333333334,175.0,103.5,103.5,103.5,103.5,103.5,103.5,175.0,175.0,175.0,175.0,103.5,175.0,-116.33333333333334,103.5,103.5,103.5,175.0,175.0,103.5,175.0
YAR015W,-137.05897435897435,-137.05897435897435,-144.75128205128206,-144.75128205128206,-144.75128205128206,-144.75128205128206,-144.75128205128206,-144.75128205128206,-137.05897435897435,-110.03333333333335,-110.03333333333335,-137.05897435897435,-144.75128205128206,-137.05897435897435,-480.9736842105263,-144.75128205128206,-144.75128205128206,-144.75128205128206,-137.05897435897435,-137.05897435897435,-144.75128205128206,-144.75128205128206
YAR018C,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5
YAR042W,-781.0,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-781.0,-620.5,-620.5,-620.5,-620.5,-620.5,-620.5,-781.0,-781.0,-620.5,-620.5
