gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-654.6161290322582,-654.6161290322582,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-654.6161290322582,-872.2068965517243,-872.2068965517243,-654.6161290322582,-63.36666666666669,-654.6161290322582,-535.6666666666666,-63.36666666666669,-63.36666666666669,-63.36666666666669,-654.6161290322582,-654.6161290322582,-63.36666666666669,-63.36666666666669
YAL005C,-198.16,-198.16,-699.6333333333334,-699.6333333333334,-198.16,-699.6333333333334,-834.0514705882354,-699.6333333333334,-198.16,-198.16,-198.16,-198.16,-198.16,-198.16,-198.16,-699.6333333333334,-699.6333333333334,-699.6333333333334,-782.5,-782.5,-198.16,-699.6333333333334
YAL021C,-29.679487179487186,24.5,-29.679487179487186,-29.679487179487186,51.0,-29.19230769230769,51.0,51.0,585.6,585.6,585.6,585.6,585.6,585.6,585.6,51.0,-29.679487179487186,51.0,585.6,585.6,51.0,585.6
YAL023C,14.083333333333313,-25.57777777777774,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,-25.57777777777774,-25.57777777777774,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313,14.083333333333313
YAL029C,-547.3525252525253,-668.2692307692307,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-811.6666666666665,-683.9814814814815,-683.9814814814815,-683.9814814814815,-678.8809523809524,-678.8809523809524,-683.9814814814815,-547.3525252525253,-547.3525252525253,-547.3525252525253,-678.8809523809524,-678.8809523809524,-547.3525252525253,-547.3525252525253
YAL034C,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,89.07142857142857,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904
YAL035W,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-747.4803921568626,-867.8333333333333,-867.8333333333333,-867.8333333333333,-605.5980392156863,-747.4803921568626,-834.9761904761904,-605.5980392156863,-605.5980392156863,-605.5980392156863,-747.4803921568626,-747.4803921568626,-605.5980392156863,-605.5980392156863
YAL036C,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664578,-601.9821428571429,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664578,-873.1112852664578,-873.1112852664578,-873.1112852664578,-824.0299455535388,-873.1112852664578,-298.5,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664578,-873.1112852664578,-601.9821428571429,-601.9821428571429
YAL039C,-70.06060606060606,-124.64516129032259,-124.64516129032259,-124.64516129032259,-491.125,-124.64516129032259,-124.64516129032259,-491.125,-508.0,10.700483091787447,10.700483091787447,-512.875,-70.06060606060606,10.700483091787447,29.472222222222232,-491.125,-491.125,-491.125,162.83333333333334,162.83333333333334,-491.125,-124.64516129032259
YAL060W,-66.07142857142857,-278.23076923076917,-66.07142857142857,-66.07142857142857,-66.07142857142857,-66.07142857142857,-66.07142857142857,-66.07142857142857,272.3181818181818,-654.875,-654.875,-278.23076923076917,-140.22222222222226,-140.22222222222226,-66.07142857142857,-66.07142857142857,-66.07142857142857,-66.07142857142857,272.3181818181818,272.3181818181818,-66.07142857142857,-66.07142857142857
