gene,273614N_0.25CDS40,378604X_0.25CDS40,BC187_0.25CDS40,DBVPG1106_0.25CDS40,DBVPG1373_0.25CDS40,DBVPG6765_0.25CDS40,L_1374_0.25CDS40,NCYC361_0.25CDS40,SK1_0.25CDS40,UWOPS05_217_3_0.25CDS40,UWOPS05_227_2_0.25CDS40,UWOPS83_787_3_0.25CDS40,UWOPS87_2421_0.25CDS40,Y12_0.25CDS40,Y55_0.25CDS40,YJM975_0.25CDS40,YJM978_0.25CDS40,YJM981_0.25CDS40,YPS128_0.25CDS40,YPS606_0.25CDS40,YS2_0.25CDS40,YS9_0.25CDS40
YAL003W,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-866.8333333333335,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719,-908.2948717948719
YAL005C,-1079.2222222222224,-1079.2222222222224,-1058.388888888889,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1079.2222222222224,-1058.388888888889,-1058.388888888889,-1079.2222222222224,-1079.2222222222224
YAL007C,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1831.5166666666669,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75,-1623.75
YAL012W,-1433.5714285714284,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1433.5714285714284,-1433.5714285714284,-1433.5714285714284,-1526.1538461538462,-1596.388888888889,-1433.5714285714284,-1433.5714285714284,-1596.388888888889,-1596.388888888889,-1596.388888888889,-1433.5714285714284,-1433.5714285714284,-1596.388888888889,-1596.388888888889
YAL021C,-1831.666666666667,-1802.952380952381,-1831.666666666667,-1831.666666666667,-1802.952380952381,-1831.666666666667,-1802.952380952381,-1802.952380952381,-1802.952380952381,-1802.952380952381,-1802.952380952381,-1801.897435897436,-1802.952380952381,-1802.952380952381,-1728.1794871794873,-1802.952380952381,-2156.916666666667,-1802.952380952381,-1801.897435897436,-1801.897435897436,-1802.952380952381,-1802.952380952381
YAL023C,-1176.0784313725492,-946.372549019608,-1860.4028985507248,-1860.4028985507248,-1179.6666666666667,-1860.4028985507248,-1860.4028985507248,-1179.6666666666667,-1127.5555555555557,-1176.0784313725492,-1176.0784313725492,-1111.4901960784314,-1179.6666666666667,-1176.0784313725492,-1179.6666666666667,-1179.6666666666667,-1176.0784313725492,-1179.6666666666667,-1176.6666666666667,-1176.6666666666667,-1179.6666666666667,-1176.0784313725492
YAL029C,-261.57142857142856,-261.57142857142856,-261.57142857142856,-261.57142857142856,-261.57142857142856,-261.57142857142856,-261.57142857142856,-261.57142857142856,-1144.9181818181821,-1145.9589743589745,-1145.9589743589745,-1115.5166666666667,-1842.0357142857144,-1145.9589743589745,-1145.9589743589745,-261.57142857142856,-261.57142857142856,-261.57142857142856,-381.75,-381.75,-261.57142857142856,-261.57142857142856
YAL034C,-1812.5,-1812.5,-1812.5,-1812.5,-1812.5,-1812.5,-1812.5,-1812.5,-1423.1907894736844,-1832.392156862745,-1832.392156862745,-1460.6907894736844,-1812.5,-1433.4956896551723,-1470.9956896551723,-1812.5,-1812.5,-1812.5,-1460.6907894736844,-1460.6907894736844,-1812.5,-1812.5
YAL035W,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-2251.239285714286,-2074.895833333333,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9,-1319.9
YAL036C,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1794.9871794871797,-1794.9871794871797,-1795.333333333333,-1795.333333333333,-1795.333333333333,-2286.9604863221884,-1795.333333333333,-1795.333333333333,-1795.333333333333,-1660.611111111111,-1660.611111111111,-1795.333333333333,-1795.333333333333
YAL038W,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-683.9,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-325.0115288220552,-325.0115288220552,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482,-1086.1518796992482
YAL039C,-1499.1190476190475,-2076.166666666667,-2076.166666666667,-2076.166666666667,-2076.166666666667,-2076.166666666667,-2076.166666666667,-2076.166666666667,-1026.060606060606,-2373.5714285714284,-2373.5714285714284,-1654.3,-2076.166666666667,-1499.1190476190475,-1585.1428571428573,-2076.166666666667,-2076.166666666667,-2076.166666666667,-1499.1190476190475,-1499.1190476190475,-2076.166666666667,-2076.166666666667
YAL049C,-2059.719623655914,-2059.719623655914,-2120.5422043010753,-2120.5422043010753,-2120.5422043010753,-2120.5422043010753,-2120.5422043010753,-2120.5422043010753,-2059.719623655914,-2691.507933533233,-2691.507933533233,-2059.719623655914,-1534.1666666666665,-2059.719623655914,-2059.719623655914,-2120.5422043010753,-2120.5422043010753,-2120.5422043010753,-2691.507933533233,-2691.507933533233,-2120.5422043010753,-2776.144230769231
