gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-99794.25806451614,-99659.25806451614,-100182.04047619046,-100342.04047619046,-99250.3813852814,-100342.04047619046,-100342.04047619046,-99250.3813852814,-99357.25806451614,-98207.54675763723,-98207.54675763723,-100002.25806451614,-100270.04047619046,-99598.25806451614,-100422.38888888886,-99250.3813852814,-99250.3813852814,-99250.3813852814,-100015.25806451614,-100015.25806451614,-99250.3813852814,-99700.04047619046
YAL005C,-63772.9523931624,-63287.9523931624,-63046.33452380952,-63264.33452380952,-62681.9523931624,-63264.33452380952,-63619.44355742298,-62931.33452380952,-63664.9523931624,-63667.4523931624,-63667.4523931624,-62966.9523931624,-62611.401111111125,-63396.901111111125,-63484.9523931624,-63029.33452380952,-62441.477380952376,-62866.33452380952,-62987.60119047619,-62987.60119047619,-62632.9523931624,-63166.33452380952
YAL021C,-77905.4606804932,-75493.90281124799,-77347.4606804932,-77347.4606804932,-74426.4202548888,-77388.94785998037,-74426.4202548888,-74426.4202548888,-74975.39569139673,-75845.93681607165,-75845.93681607165,-76609.47149517052,-77857.35098203561,-75746.529370314,-75699.68386076191,-74426.4202548888,-77322.4606804932,-74426.4202548888,-76609.47149517052,-76609.47149517052,-74426.4202548888,-75249.95421582379
YAL023C,-76968.59348370928,-77326.40833333334,-77395.1761904762,-77395.1761904762,-77285.1761904762,-77395.1761904762,-77449.1761904762,-77285.1761904762,-76381.1761904762,-77058.40833333334,-77058.40833333334,-76850.1761904762,-77290.1761904762,-76598.59348370928,-76907.1761904762,-77285.1761904762,-76950.59348370928,-77285.1761904762,-76923.1761904762,-76923.1761904762,-77285.1761904762,-76947.59348370928
YAL029C,-123315.72222222223,-123124.51538461537,-123371.72222222223,-123224.72222222223,-123468.72222222223,-123315.72222222223,-123315.72222222223,-123468.72222222223,-122877.42200328408,-122756.53703703705,-122756.53703703705,-123151.53703703705,-123125.13809523807,-123508.13809523807,-123648.53703703705,-123468.72222222223,-123371.72222222223,-123468.72222222223,-122734.13809523807,-122734.13809523807,-123468.72222222223,-123643.72222222223
YAL034C,-32540.539285714287,-32571.67261904762,-32540.539285714287,-32540.539285714287,-32540.539285714287,-33004.352547452545,-32540.539285714287,-32540.539285714287,-32255.195488721813,-31626.273477812167,-31626.273477812167,-31928.76215538848,-32540.539285714287,-31497.2743226601,-31019.174322660107,-32540.539285714287,-32540.539285714287,-32540.539285714287,-31837.862155388477,-31837.862155388477,-32540.539285714287,-32540.539285714287
YAL035W,-83816.17066563468,-83836.17066563468,-84232.17066563468,-84232.17066563468,-84232.17066563468,-86136.80196078433,-84232.17066563468,-84232.17066563468,-86481.38243819265,-85588.5,-85332.5,-84895.5,-84460.17066563468,-85829.38243819265,-85276.11904761905,-84232.17066563468,-84220.17066563468,-84232.17066563468,-85784.38243819265,-85913.38243819265,-84232.17066563468,-85586.8366013072
YAL036C,-37567.8125,-37567.8125,-37567.8125,-37613.09090909091,-37567.8125,-37840.8125,-37567.8125,-37567.8125,-37911.09090909091,-38014.09090909091,-38014.09090909091,-38453.09090909091,-37671.35511856565,-38099.09090909091,-37390.50937183385,-37567.8125,-37567.8125,-37567.8125,-38008.09090909091,-38008.09090909091,-37567.8125,-37567.8125
YAL039C,-30108.523125996813,-29448.140916808148,-29448.140916808148,-29448.140916808148,-28867.327702702703,-29448.140916808148,-29390.140916808148,-28867.327702702703,-30016.202702702703,-29275.232392575643,-29275.232392575643,-29204.327702702703,-29321.523125996813,-30043.232392575643,-29683.383838383837,-28867.327702702703,-28867.327702702703,-28867.327702702703,-30515.94736842105,-30515.94736842105,-28867.327702702703,-29448.140916808148
YAL060W,-38938.91434398934,-38840.73097627012,-38938.91434398934,-38735.091611091615,-38938.91434398934,-38938.91434398934,-38938.91434398934,-38938.91434398934,-39485.24837662338,-39950.33101936428,-39950.33101936428,-40031.02474916389,-41026.376190476185,-41087.4,-40131.18828192742,-38938.91434398934,-38938.91434398934,-38938.91434398934,-40469.24837662338,-40452.24837662338,-38929.27982017981,-39547.91434398934
