gene,273614N_0.50CDS40,378604X_0.50CDS40,BC187_0.50CDS40,DBVPG1106_0.50CDS40,DBVPG1373_0.50CDS40,DBVPG6765_0.50CDS40,L_1374_0.50CDS40,NCYC361_0.50CDS40,SK1_0.50CDS40,UWOPS05_217_3_0.50CDS40,UWOPS05_227_2_0.50CDS40,UWOPS83_787_3_0.50CDS40,UWOPS87_2421_0.50CDS40,Y12_0.50CDS40,Y55_0.50CDS40,YJM975_0.50CDS40,YJM978_0.50CDS40,YJM981_0.50CDS40,YPS128_0.50CDS40,YPS606_0.50CDS40,YS2_0.50CDS40,YS9_0.50CDS40
YAL003W,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-1184.2666666666667,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-1184.2666666666667,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-958.7894736842104,-1184.2666666666667,-958.7894736842104
YAL005C,-1535.5,-1535.5,-1928.232142857143,-2000.2623015873016,-1535.5,-2000.2623015873016,-1817.208333333333,-2000.2623015873016,-1535.5,-1535.5,-1535.5,-1535.5,-1436.0,-1535.5,-1535.5,-2000.2623015873016,-1392.7672413793102,-2000.2623015873016,-1928.232142857143,-1928.232142857143,-1535.5,-2000.2623015873016
YAL007C,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1250.942028478058,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761,-1450.9404761904761
YAL012W,-1199.8168408826946,-1900.05,-1900.05,-1900.05,-1900.05,-1900.05,-1900.05,-1900.05,-1206.8295238095234,-1199.8168408826946,-1199.8168408826946,-1199.8168408826946,-1900.05,-1206.8295238095234,-1199.8168408826946,-1900.05,-1900.05,-1900.05,-1199.8168408826946,-1199.8168408826946,-1900.05,-1900.05
YAL021C,-1576.083333333333,-1612.416666666667,-1576.083333333333,-1576.083333333333,-1590.3935897435895,-1606.083333333333,-1590.3935897435895,-1590.3935897435895,-1554.1944444444446,-1575.8984848484852,-1575.8984848484852,-2055.8690476190477,-1653.916666666667,-1619.416666666667,-1955.705860805861,-1590.3935897435895,-1658.797619047619,-1590.3935897435895,-2055.8690476190477,-2055.8690476190477,-1590.3935897435895,-1653.916666666667
YAL023C,-1049.8428571428572,-915.72,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-915.72,-915.72,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572,-1049.8428571428572
YAL029C,-763.0330687830689,-763.0330687830689,-763.0330687830689,-763.0330687830689,-763.0330687830689,-763.0330687830689,-763.0330687830689,-763.0330687830689,-714.9497354497356,-763.6330687830689,-763.6330687830689,-1601.285347985348,-714.9497354497356,-1605.485347985348,-1601.285347985348,-763.0330687830689,-763.0330687830689,-763.0330687830689,-1203.6666666666667,-1203.6666666666667,-763.0330687830689,-763.0330687830689
YAL034C,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,162.34444444444455,104.2954545454545,104.2954545454545,-1509.0623814438056,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,-1400.278947368421,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545,104.2954545454545
YAL035W,-2000.75,-2000.75,-2000.75,-2000.75,-2000.75,-1769.7962962962963,-2000.75,-2000.75,-1717.4047619047624,-2071.6428571428573,-2071.6428571428573,-2071.6428571428573,-2000.75,-1811.0666666666666,-1769.7962962962963,-2000.75,-2000.75,-2000.75,-1717.4047619047624,-1717.4047619047624,-2000.75,-1769.7962962962963
YAL036C,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1061.5,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646,-1038.8235294117646
YAL038W,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1777.017857142857,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1797.5105042016805,-1777.017857142857,-1777.017857142857,-1797.5105042016805,-1797.5105042016805
YAL039C,-1656.9333333333332,-2314.5877192982457,-2314.5877192982457,-2314.5877192982457,-1366.8529411764705,-2314.5877192982457,-2850.046052631579,-1366.8529411764705,-1656.9333333333332,-2704.7115288220552,-2704.7115288220552,-2241.722222222222,-2314.5877192982457,-1656.9333333333332,-1229.2619047619044,-1366.8529411764705,-1366.8529411764705,-1366.8529411764705,-1656.9333333333332,-1656.9333333333332,-1366.8529411764705,-2314.5877192982457
YAL049C,-2054.839439324117,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2047.6440476190478,-2047.6440476190478,-2027.1654466501245,-1973.2832417582415,-2054.839439324117,-2047.6440476190478,-2027.1654466501245,-2027.1654466501245,-2027.1654466501245,-2054.839439324117,-2054.839439324117,-2027.1654466501245,-2027.1654466501245
YAL053W,-1371.0873015873015,-1637.888888888889,-1569.8076923076926,-1569.8076923076926,-1569.8076923076926,-1371.0873015873015,-1569.8076923076926,-1569.8076923076926,-1569.8076923076926,-1967.9983388704322,-1967.9983388704322,-1637.888888888889,-1793.4545454545455,-2184.4114064230344,-1068.353302611367,-1569.8076923076926,-1569.8076923076926,-1569.8076923076926,-1637.888888888889,-1637.888888888889,-1569.8076923076926,-1569.8076923076926
YAL060W,-3032.021031746032,-2560.8325051759834,-3032.021031746032,-1972.979166666667,-3032.021031746032,-3032.021031746032,-3032.021031746032,-3032.021031746032,-3032.021031746032,-2543.8325051759834,-2543.8325051759834,-2542.365838509317,-2639.572649572649,-2277.690476190476,-2560.8325051759834,-3032.021031746032,-3032.021031746032,-3032.021031746032,-3032.021031746032,-3015.021031746032,-2571.946031746032,-3032.021031746032
YAR007C,-907.7055555555555,-918.9880952380953,-1072.198245614035,-896.3848484848486,-896.3848484848486,-931.198245614035,-896.3848484848486,-896.3848484848486,-918.9880952380953,-918.9880952380953,-918.9880952380953,-1503.0193939393937,-931.198245614035,-918.9880952380953,-965.7055555555554,-896.3848484848486,-896.3848484848486,-896.3848484848486,-910.0666666666667,-910.0666666666667,-896.3848484848486,-918.9880952380953
YAR008W,-2014.226666666667,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-283.94166666666666,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333,-2054.893333333333
YAR042W,-1683.452380952381,-1723.8184523809525,-1706.047619047619,-1275.5641025641025,-1870.630012531328,-1275.5641025641025,-1275.5641025641025,-1870.630012531328,-1265.0641025641025,-1549.4920634920636,-1549.4920634920636,-1943.5897435897439,-1683.452380952381,-1943.5897435897439,-1275.5641025641025,-1870.630012531328,-1275.5641025641025,-1275.5641025641025,-1977.0384615384612,-1977.0384615384612,-1870.630012531328,-1726.9491341991338
YBL004W,-2179.4157706093188,-1102.0717171717172,-1102.0717171717172,-1165.389898989899,-1102.0717171717172,-1165.389898989899,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1112.2145743145745,-1102.0717171717172,-1102.0717171717172,-1102.6272727272726,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172,-1102.0717171717172
YBL015W,-1590.8487394957986,-1580.8037084398975,-1590.8487394957986,-1590.8487394957986,-1590.8487394957986,-1590.8487394957986,-1590.8487394957986,-1590.8487394957986,-683.6666666666665,-683.6666666666665,-683.6666666666665,-1580.8037084398975,-1590.8487394957986,-683.6666666666665,-683.6666666666665,-1590.8487394957986,-1590.8487394957986,-1590.8487394957986,-683.6666666666665,-683.6666666666665,-1590.8487394957986,-683.6666666666665
YBL016W,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-2071.428571428572,-1885.2142857142856,-1885.2142857142856,-2071.428571428572,-2011.4285714285716
YBL017C,-1248.092490842491,-2142.933333333333,-1248.092490842491,-1248.092490842491,-1248.092490842491,-1248.092490842491,-1248.092490842491,-1248.092490842491,-1997.4333333333332,-1926.842490842491,-1926.842490842491,-2088.6666666666665,-1248.092490842491,-2142.933333333333,-1997.4333333333332,-1248.092490842491,-1248.092490842491,-1248.092490842491,-1912.947368421053,-1912.947368421053,-1248.092490842491,-1248.092490842491
YBL020W,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-938.7777777777776,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065,-26.891304347826065
YBL022C,-1601.95,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1276.4,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1441.3,-1276.4,-1276.4,-1441.3,-1441.3
YBL024W,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-954.7015873015872,-214.66666666666669,-214.66666666666669,-214.66666666666669,-954.7015873015872,-214.66666666666669,-954.7015873015872,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-214.66666666666669,-954.7015873015872
YBL026W,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-1296.1,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-1296.1,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273,-875.7727272727273
YBL030C,-997.1,-721.6904761904763,-997.1,-997.1,-997.1,-1990.8666666666666,-997.1,-997.1,-721.6904761904763,-721.6904761904763,-721.6904761904763,-721.6904761904763,-721.6904761904763,-432.74242424242425,-721.6904761904763,-997.1,-997.1,-997.1,-721.6904761904763,-721.6904761904763,-997.1,-997.1
YBL032W,-1465.1166666666666,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1465.1166666666666,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1479.418888888889,-1261.342638204707,-1465.1166666666666,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184,-1922.5162493158184
YBL039C,-822.625,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-822.625,-1025.572222222222,-888.1602564102565,-1025.572222222222,-1025.572222222222,-1025.572222222222,-1025.572222222222,-822.625,-822.625,-1025.572222222222,-1025.572222222222
YBL040C,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-839.1666666666667,-839.1666666666667,-357.38571428571436,-357.38571428571436,-612.6249999999998,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-357.38571428571436,-612.6249999999998
YBL041W,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1803.3298701298706,-1140.0833333333333,-1140.0833333333333,-1803.3298701298706,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1140.0833333333333,-1803.3298701298706,-1140.0833333333333,-1803.3298701298706,-1140.0833333333333,-1140.0833333333333,-1803.3298701298706,-1140.0833333333333
YBL045C,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1676.0769230769229,-1676.0769230769229,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844,-1665.2153846153844
YBL047C,-1192.5688575899844,-1192.5688575899844,-1192.5688575899844,-1192.5688575899844,-1192.5688575899844,-946.9346405228758,-1192.5688575899844,-1192.5688575899844,-1179.3333333333333,-1179.3333333333333,-1179.3333333333333,-1179.3333333333333,-1179.3333333333333,-1179.3333333333333,-1179.3333333333333,-1192.5688575899844,-727.921052631579,-1192.5688575899844,-1179.3333333333333,-1179.3333333333333,-1192.5688575899844,-1186.7474747474748
YBL050W,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-830.8333333333335,-1211.7807486631016,-1211.7807486631016,-1442.5428571428574,-1224.4025974025974,-1224.4025974025974,-830.8333333333335,-1224.4025974025974,-1224.4025974025974,-1224.4025974025974,-1442.5428571428574,-1442.5428571428574,-1224.4025974025974,-1224.4025974025974
YBL057C,-1350.8333333333333,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855,-1408.0142857142855
YBL064C,-998.7121212121212,-998.7121212121212,-998.7121212121212,-1224.5179487179487,-998.7121212121212,-998.7121212121212,-998.7121212121212,-998.7121212121212,-998.7121212121212,-841.0,-841.0,-998.7121212121212,-1051.125,-1224.5179487179487,-998.7121212121212,-998.7121212121212,-998.7121212121212,-998.7121212121212,-1051.125,-1051.125,-998.7121212121212,-1353.547619047619
YBL075C,-1030.3461538461538,-735.547619047619,-1631.5303030303028,-1631.5303030303028,-1631.5303030303028,-1109.557142857143,-1631.5303030303028,-1631.5303030303028,-1030.3461538461538,-1030.3461538461538,-1030.3461538461538,-1030.3461538461538,-1030.3461538461538,-1030.3461538461538,-1030.3461538461538,-1631.5303030303028,-1631.5303030303028,-1631.5303030303028,-1030.3461538461538,-1030.3461538461538,-1631.5303030303028,-1291.7840579710146
YBL076C,-1650.4754578754585,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667,-983.9166666666667
YBL078C,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1655.783333333333,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1604.6333333333334,-1363.1333333333334,-1655.783333333333,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334,-1363.1333333333334
YBL079W,-1412.3690476190475,-1412.3690476190475,-1103.6019607843139,-1103.6019607843139,-1103.6019607843139,-1095.187675070028,-1103.6019607843139,-1103.6019607843139,-823.9473684210526,-811.9473684210526,-811.9473684210526,-823.9473684210526,-823.9473684210526,-1281.0952380952376,-823.9473684210526,-1103.6019607843139,-1103.6019607843139,-1103.6019607843139,-811.9473684210526,-811.9473684210526,-1103.6019607843139,-1412.3690476190475
YBL091C,-1455.7470588235299,-1772.877777777778,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1711.9214285714286,-1741.2666666666669,-1741.2666666666669,-1714.7666666666669,-1772.877777777778,-1772.877777777778,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1829.7666666666669,-1714.7666666666669,-1714.7666666666669,-1829.7666666666669,-1861.377777777778
YBL092W,-1108.372514619883,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-1108.372514619883,-1108.372514619883,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668,-731.5166666666668
YBL098W,-1031.3076923076924,-2227.833333333333,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-2303.352380952381,-2303.352380952381,-1726.5759420289855,-2303.352380952381,-2303.352380952381,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-1031.3076923076924,-2303.352380952381,-2303.352380952381,-1031.3076923076924,-2303.352380952381
YBL099W,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1089.344129554656,-1089.344129554656,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-1315.2564102564102,-269.33333333333337,-269.33333333333337,-1315.2564102564102,-1315.2564102564102
YBL102W,-1356.6060606060607,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-949.4242424242426,-1123.6666666666667,-1123.6666666666667,-1375.6296296296298,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-808.6666666666667,-1123.6666666666667,-1123.6666666666667,-808.6666666666667,-1356.6060606060607
YBL106C,-1218.0555555555557,-815.8333333333335,-1620.1306058221876,-1694.6229838709678,-1620.1306058221876,-1620.1306058221876,-1620.1306058221876,-1620.1306058221876,-1141.6724137931035,-1137.0263157894738,-1137.0263157894738,-1045.0,-982.6444444444444,-938.3421052631579,-1620.1306058221876,-1620.1306058221876,-928.0263157894735,-1620.1306058221876,-250.75,-250.75,-1620.1306058221876,-928.0263157894735
YBR003W,-895.8235294117646,-1785.0588235294117,-895.8235294117646,-895.8235294117646,-895.8235294117646,-895.8235294117646,-895.8235294117646,-895.8235294117646,-1302.0777777777778,-1291.25,-1291.25,-1291.25,-1302.0777777777778,-1785.0588235294117,-1302.0777777777778,-895.8235294117646,-895.8235294117646,-895.8235294117646,-1325.9666666666667,-1325.9666666666667,-895.8235294117646,-1042.3076923076924
YBR015C,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-1139.536866359447,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-894.2904761904763,-1139.536866359447,-894.2904761904763,-894.2904761904763,-894.2904761904763,-1139.536866359447,-1139.536866359447,-894.2904761904763,-894.2904761904763
YBR024W,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-931.0909090909092,-963.4444444444445,-963.4444444444445,-938.4642857142856,-963.4444444444445,-963.4444444444445,-931.0909090909092,-1172.1333333333334,-1172.1333333333334,-1172.1333333333334,-963.4444444444445,-963.4444444444445,-1172.1333333333334,-1172.1333333333334
YBR025C,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1063.5809523809523,-1057.6637681159418,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126,-1044.4988505747126
YBR029C,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1501.2769230769231,-1290.9818181818182
YBR037C,-789.8424908424907,-1426.327380952381,-834.4166666666665,-834.4166666666665,-834.4166666666665,-834.4166666666665,-834.4166666666665,-834.4166666666665,-1426.327380952381,-1171.327380952381,-1171.327380952381,-1426.327380952381,-1426.327380952381,-786.4139194139194,-1426.327380952381,-834.4166666666665,-834.4166666666665,-834.4166666666665,-1426.327380952381,-1426.327380952381,-834.4166666666665,-1426.327380952381
