gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-654.6161290322581,-654.6161290322581,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-63.36666666666669,-654.6161290322581,-872.2068965517242,-872.2068965517242,-654.6161290322581,-63.36666666666669,-654.6161290322581,-535.6666666666666,-63.36666666666669,-63.36666666666669,-63.36666666666669,-654.6161290322581,-654.6161290322581,-63.36666666666669,-63.36666666666669
YAL003W,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314,49.833333333333314
YAL005C,-198.16,-198.16,-699.6333333333334,-699.6333333333334,-198.16,-699.6333333333334,-834.0514705882352,-699.6333333333334,-198.16,-198.16,-198.16,-198.16,-198.16,-198.16,-198.16,-699.6333333333334,-699.6333333333334,-699.6333333333334,-782.5,-782.5,-198.16,-699.6333333333334
YAL007C,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667,-431.6666666666667
YAL012W,-853.2428571428571,-853.2428571428571,-871.2428571428571,-871.2428571428571,-1011.4421768707483,-536.6,-1011.4421768707483,-1011.4421768707483,-486.66666666666663,-536.6,-536.6,-486.66666666666663,-853.2428571428571,-536.6,-486.66666666666663,-1011.4421768707483,-1011.4421768707483,-1011.4421768707483,-486.66666666666663,-486.66666666666663,-1011.4421768707483,-871.2428571428571
YAL021C,-29.67948717948718,24.5,-29.67948717948718,-29.67948717948718,51.0,-29.192307692307693,51.0,51.0,585.6,585.6,585.6,585.6,585.6,585.6,585.6,51.0,-29.67948717948718,51.0,585.6,585.6,51.0,585.6
YAL023C,14.083333333333314,-25.57777777777774,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,-25.57777777777774,-25.57777777777774,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314,14.083333333333314
YAL029C,-547.3525252525253,-668.2692307692307,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-547.3525252525253,-811.6666666666666,-683.9814814814815,-683.9814814814815,-683.9814814814815,-678.8809523809524,-678.8809523809524,-683.9814814814815,-547.3525252525253,-547.3525252525253,-547.3525252525253,-678.8809523809524,-678.8809523809524,-547.3525252525253,-547.3525252525253
YAL034C,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,89.07142857142856,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904,278.29761904761904
YAL035W,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-605.5980392156863,-747.4803921568626,-867.8333333333333,-867.8333333333333,-867.8333333333333,-605.5980392156863,-747.4803921568626,-834.9761904761904,-605.5980392156863,-605.5980392156863,-605.5980392156863,-747.4803921568626,-747.4803921568626,-605.5980392156863,-605.5980392156863
YAL036C,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664577,-601.9821428571429,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664577,-873.1112852664577,-873.1112852664577,-873.1112852664577,-824.0299455535389,-873.1112852664577,-298.5,-601.9821428571429,-601.9821428571429,-601.9821428571429,-873.1112852664577,-873.1112852664577,-601.9821428571429,-601.9821428571429
YAL038W,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666,-578.6666666666666
YAL039C,-70.06060606060606,-124.64516129032259,-124.64516129032259,-124.64516129032259,-491.125,-124.64516129032259,-124.64516129032259,-491.125,-508.0,10.700483091787447,10.700483091787447,-512.875,-70.06060606060606,10.700483091787447,29.47222222222223,-491.125,-491.125,-491.125,162.83333333333334,162.83333333333334,-491.125,-124.64516129032259
YAL049C,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5,-345.5
