,median_tAI,median_deltaG,dlogPPR_dtAI,dlogPPR_ddeltaG
YAL001C,0.3677770085544052,-1.0866500000000001,2.944217297,-0.372267765519563
YAL003W,0.6469537859222929,-0.24962,1.0205716916,-1.0138662517308952
YAL005C,0.6335047916200269,-0.7084900000000001,2.0751375482,-0.9829580420053134
YAL007C,0.4464615193896762,-0.23473,0.9863517914,-0.553098934630966
YAL012W,0.5019901098207755,-0.43825,1.454077385,-0.6807136305879098
YAL021C,0.38347396711299453,-0.86985,2.445971873,-0.4083422017397418
YAL023C,0.4383137613378727,-0.86902,2.4440643836,-0.5343739200314723
YAL029C,0.3933851234075805,-1.33075,3.505203035,-0.43111982291283324
YAL034C,0.3716291613911378,-0.39944,1.3648850192,-0.381120706125885
YAL035W,0.5280510676261337,-0.94352,2.6152787936,-0.740606402597028
YAL036C,0.421684874759988,-0.44187,1.4623967966,-0.4961577454759092
YAL038W,0.6429924877911498,-0.57026,1.7574601268,-1.0047624755918647
YAL039C,0.3655935682214088,-0.32221,1.1873965778,-0.3672498266150773
YAL049C,0.42639133103218707,-0.27855,1.087058039,-0.5069740291515517
YAL053W,0.38796396670876804,-0.799865,2.2851337457,-0.4186610290107565
YAL060W,0.43322772895040135,-0.47845,1.546464221,-0.5226853021192334
YAR002C-A,0.4986333270508902,-0.23168,0.9793423424000001,-0.6729991395618149
YAR007C,0.4351838793848505,-0.59311,1.8099735398,-0.5271808879246755
YAR008W,0.3699627100879753,-0.30262,1.1423752316,-0.3772909010699831
YAR015W,0.45122240274509584,-0.3431,1.235405558,-0.5640403015407243
YAR018C,0.34464774375386353,-0.41026999999999997,1.3897743085999998,-0.3191125517402541
YAR042W,0.40687122816061977,-1.17869,3.1557417842,-0.4621133191341731
YBL002W,0.5923544254171047,-0.17285,0.8441404130000001,-0.8883870934050817
YBL004W,0.3751550213167279,-2.247665,5.6124387497,-0.38922376688967775
YBL015W,0.4304152289942864,-0.68075,2.0113860349999997,-0.5162216709700891
YBL016W,0.3363880005340009,-0.43039,1.4360136902,-0.30013017506723016
YBL017C,0.40581274702709264,-1.593475,4.1089923755,-0.45968073896272377
YBL020W,0.3873279760166949,-0.6009549999999999,1.8280027618999999,-0.4171994079220478
YBL022C,0.4223361550372143,-1.09741,2.9689457137999997,-0.4976545047834251
YBL024W,0.46636125797956324,-0.6859649999999999,2.0233710436999996,-0.5988321158634726
YBL026W,0.4246769027952104,-0.11718,0.7162007324,-0.5030339644658967
YBL030C,0.5455331967543745,-0.398155,1.3619318579,-0.7807834821169684
YBL032W,0.4420409521181437,-0.44934,1.4795642012,-0.5429396753388755
YBL039C,0.4785258333317303,-0.6253200000000001,1.8839979176000001,-0.626788499646316
YBL040C,0.37861764471898496,-0.21844,0.9489144392,-0.39718149874027686
YBL041W,0.4103108027515657,-0.24394,1.0075180291999999,-0.4700180806675932
YBL045C,0.4825529667748463,-0.5438099999999999,1.6966732657999999,-0.6360435771826163
YBL047C,0.43245375616427206,-1.3100749999999999,3.4576881634999994,-0.5209065733416067
YBL050W,0.4073094245767072,-0.32198000000000004,1.1868679964000002,-0.46312037337369694
YBL057C,0.39033511090565104,-0.21094,0.9316780892,-0.4241103451811491
YBL064C,0.4349682361876295,-0.27485000000000004,1.078554773,-0.5266853010416863
YBL075C,0.43633724864625567,-0.699105,2.0535691289,-0.5298315380938519
YBL076C,0.5006965648143075,-1.05417,2.8695724106,-0.6777408313249451
YBL078C,0.43049931632439203,-0.21058000000000002,0.9308507444,-0.5164149187903913
YBL079W,0.3876361363139381,-1.39392,3.6503790655999997,-0.4179076157539663
YBL091C,0.43958456763223736,-0.43836,1.4543301848,-0.5372944616410553
YBL098W,0.4076265673439651,-0.47979,1.5495437822,-0.4638492245385536
YBL099W,0.5385976176278476,-0.69767,2.0502712406,-0.7648442728799669
YBL102W,0.31786395615990065,-0.28991,1.1131653638,-0.2575585867675605
YBL106C,0.3618528316036307,-0.9678,2.671078604,-0.358652940534832
YBR003W,0.3759129526232329,-0.47646000000000005,1.5418908428000002,-0.3909656294596613
