gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-2858.8116743471583,-2658.8116743471587,-2524.2020833333336,-2524.2020833333336,-2128.8117715617714,-2524.2020833333336,-2524.2020833333336,-2128.8117715617714,-2658.8116743471587,-2769.1590007215004,-2769.1590007215004,-2658.8116743471587,-2524.2020833333336,-2658.8116743471587,-2781.876190476191,-2128.8117715617714,-2128.8117715617714,-2128.8117715617714,-2350.7561187916026,-2350.7561187916026,-2128.8117715617714,-2524.2020833333336
YAL003W,-2771.0565476190473,-2596.0756342179197,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2692.4791666666665,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473,-2771.0565476190473
YAL007C,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-558.1,-558.1,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0,-723.0
YAL021C,-12850.357791363564,-12808.075257996923,-12292.357791363564,-12292.357791363564,-14103.559575943184,-12292.357791363564,-14103.559575943184,-14103.559575943184,-13718.081888374785,-14280.697969454473,-14280.697969454473,-13332.021351532028,-14325.436111512478,-13464.73140136755,-13332.021351532028,-14103.559575943184,-13155.293688799464,-14103.559575943184,-13332.021351532028,-13332.021351532028,-14103.559575943184,-14706.668005474208
YAL023C,-3760.7452380952373,-2995.5840852130323,-3161.907142857143,-3161.907142857143,-3533.683333333333,-3161.907142857143,-3355.190476190476,-3533.683333333333,-3533.683333333333,-2957.241228070175,-2957.241228070175,-3533.683333333333,-3533.683333333333,-3760.7452380952373,-3533.683333333333,-3533.683333333333,-3760.7452380952373,-3533.683333333333,-3533.683333333333,-3533.683333333333,-3533.683333333333,-3760.7452380952373
YAL029C,-15486.550242291101,-16620.3420423079,-16541.977085042938,-15258.448098633397,-15486.550242291101,-15486.550242291101,-15486.550242291101,-15486.550242291101,-16721.697310532603,-16444.141612554115,-16444.141612554115,-16945.856683707738,-17193.986840234233,-15715.558181808181,-16724.291773830744,-15486.550242291101,-16541.977085042938,-15486.550242291101,-17038.614770637163,-17038.614770637163,-15486.550242291101,-15486.550242291101
YAL034C,-8265.040043290042,-8265.040043290042,-8265.040043290042,-8265.040043290042,-8265.040043290042,-8892.076218749808,-8265.040043290042,-8265.040043290042,-8243.319548872181,-7767.178239716941,-7767.178239716941,-7979.319548872181,-8265.040043290042,-7380.817015599342,-7116.817015599342,-8265.040043290042,-8265.040043290042,-8265.040043290042,-7979.319548872181,-7979.319548872181,-8265.040043290042,-8265.040043290042
YAL035W,-12497.982497583718,-12484.356123957345,-12452.849630450852,-12452.849630450852,-12452.849630450852,-11520.021047345768,-12452.849630450852,-12452.849630450852,-11131.527355956167,-12965.679738675957,-13183.216904761905,-12118.361242368348,-12484.356123957345,-11211.549549372505,-11266.197611304682,-12452.849630450852,-12452.849630450852,-12452.849630450852,-11421.867355956167,-11421.867355956167,-12452.849630450852,-10570.667452574527
YAL036C,-1716.2465909090909,-1716.2465909090909,-1716.2465909090909,-2352.7472727272725,-1716.2465909090909,-1716.2465909090909,-1716.2465909090909,-1716.2465909090909,-2348.433724340176,-2320.827272727273,-2320.827272727273,-2320.827272727273,-1773.7535353535354,-2320.827272727273,-3212.933721715637,-1716.2465909090909,-1716.2465909090909,-1716.2465909090909,-2335.7472727272725,-2335.7472727272725,-1716.2465909090909,-1716.2465909090909
YAL049C,-1458.2025089605734,-1458.2025089605734,-1510.7186379928314,-1510.7186379928314,-1510.7186379928314,-1510.7186379928314,-1510.7186379928314,-1510.7186379928314,-1458.2025089605734,-1039.0823754789274,-1039.0823754789274,-1458.2025089605734,-1697.3214285714284,-1458.2025089605734,-1458.2025089605734,-1510.7186379928314,-1510.7186379928314,-1510.7186379928314,-1039.0823754789274,-1039.0823754789274,-1510.7186379928314,-1437.9230769230771
YAL053W,-1141.3112128146456,-1206.5217391304348,-1126.5452245414294,-1132.861919504644,-1126.5452245414294,-1206.7181818181818,-1164.9503042596348,-1126.5452245414294,-1126.5452245414294,-1458.7493506493506,-1458.7493506493506,-1180.2017391304348,-1106.5882352941176,-1157.9391771019675,-1167.6717391304346,-1126.5452245414294,-1126.5452245414294,-1126.5452245414294,-1206.5217391304348,-1206.5217391304348,-1126.5452245414294,-1126.5452245414294
YAL060W,-2328.014285714286,-2197.523076923077,-2328.014285714286,-1200.19266994267,-2328.014285714286,-2328.014285714286,-2328.014285714286,-2328.014285714286,-2328.014285714286,-2320.7363636363634,-2320.7363636363634,-2679.383333333333,-1918.2777777777774,-2764.5513024986712,-2611.0,-2328.014285714286,-2328.014285714286,-2328.014285714286,-2545.2333333333336,-2545.2333333333336,-2491.153530377668,-2679.383333333333
YAR002C-A,-580.5333333333333,-580.5333333333333,191.5,-471.5555555555555,-471.5555555555555,-471.5555555555555,-471.5555555555555,-471.5555555555555,-580.5333333333333,-580.5333333333333,-580.5333333333333,-580.5333333333333,-580.5333333333333,-580.5333333333333,-579.7666666666668,-471.5555555555555,-471.5555555555555,-471.5555555555555,-580.5333333333333,-580.5333333333333,-471.5555555555555,-580.5333333333333
YAR007C,-6074.948221343874,-6026.862647209421,-5262.825101214576,-5262.825101214576,-5262.825101214576,-5262.825101214576,-5262.825101214576,-5262.825101214576,-6024.005504352279,-5912.682712215321,-5912.682712215321,-6230.871699604743,-5262.825101214576,-6024.005504352279,-6074.948221343874,-5262.825101214576,-5262.825101214576,-5262.825101214576,-6348.428221343875,-6348.428221343875,-5262.825101214576,-5880.848412698413
YAR008W,-6597.588021924313,-5052.264652014653,-4992.514652014653,-4992.514652014653,-4992.514652014653,-4992.514652014653,-4992.514652014653,-4992.514652014653,-5052.264652014653,-5052.264652014653,-5052.264652014653,-5052.264652014653,-5303.490842490843,-5052.264652014653,-6629.335496671788,-4992.514652014653,-4992.514652014653,-4992.514652014653,-5052.264652014653,-5052.264652014653,-4992.514652014653,-5052.264652014653
YAR018C,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-328.3479853479853,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-927.865467865468,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374,-202.68452380952374
YAR042W,-23038.84860213804,-21869.953082786782,-21941.52982850483,-22003.976798201802,-21832.062457786782,-21869.953082786782,-21898.0861732018,-21937.953082786782,-22412.01229853662,-21364.369372379537,-21364.369372379537,-22574.211169124992,-21899.7791724364,-21961.493732059982,-21610.58656086784,-21937.953082786782,-21937.953082786782,-21937.953082786782,-21474.678672178765,-21474.678672178765,-21832.062457786782,-21740.37102897103
YBL004W,-24536.377020329965,-22866.837710981832,-22972.285463100707,-22972.285463100707,-22972.285463100707,-22972.285463100707,-22972.285463100707,-22972.285463100707,-22536.042990016518,-22778.121032029547,-22778.121032029547,-22480.4675429146,-23129.611640062714,-22883.410294040328,-22536.042990016518,-22972.285463100707,-22972.285463100707,-22972.285463100707,-24023.129967130397,-24023.129967130397,-22972.285463100707,-22377.266492494433
YBL015W,-4311.021931570845,-4015.435425685426,-4311.021931570845,-4311.021931570845,-4311.021931570845,-4311.021931570845,-4311.021931570845,-4311.021931570845,-3348.583028083028,-3283.583028083028,-3283.583028083028,-4057.014263514263,-4311.021931570845,-3348.583028083028,-3348.583028083028,-4311.021931570845,-4311.021931570845,-4311.021931570845,-3352.940170940171,-3352.940170940171,-4311.021931570845,-3309.190170940171
YBL017C,-1227.3816849816847,-2981.118786605551,-1227.3816849816847,-1227.3816849816847,-2375.962637362637,-1147.7430295195,-1147.7430295195,-1227.3816849816847,-1464.8628815628815,-1221.029304029304,-1221.029304029304,-3065.401352679579,-1147.7430295195,-3334.0990896358544,-1464.8628815628815,-2375.962637362637,-1147.7430295195,-2375.962637362637,-2150.4085164835165,-2150.4085164835165,-1227.3816849816847,-3034.305952380952
YBL020W,14.044927536231883,15.011111111111104,14.044927536231883,14.044927536231883,14.044927536231883,14.044927536231883,14.044927536231883,14.044927536231883,251.36666666666667,251.36666666666667,251.36666666666667,251.36666666666667,251.36666666666667,251.36666666666667,251.36666666666667,14.044927536231883,14.044927536231883,14.044927536231883,251.36666666666667,251.36666666666667,14.044927536231883,251.36666666666667
YBL022C,-11112.994760354732,-11761.422160405664,-10862.236399108138,-10862.236399108138,-13117.331637203377,-10862.236399108138,-10862.236399108138,-13117.331637203377,-12458.95114591291,-13522.266483516485,-13522.266483516485,-11598.907495119258,-11281.391128279893,-11761.422160405664,-12458.95114591291,-13117.331637203377,-10862.236399108138,-13117.331637203377,-11598.907495119258,-11598.907495119258,-13117.331637203377,-13704.554028537532
YBL024W,-5228.643434343434,-4778.108225108225,-5228.643434343434,-5228.643434343434,-5228.643434343434,-5228.643434343434,-5228.643434343434,-5228.643434343434,-5242.764980633403,-4651.786612758311,-4651.786612758311,-4372.771276595746,-5242.764980633403,-4778.108225108225,-5242.764980633403,-5228.643434343434,-5228.643434343434,-5228.643434343434,-4708.060606060606,-4708.060606060606,-5228.643434343434,-5242.764980633403
YBL032W,-4857.9729271708675,-5305.577561210719,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-5751.97179197995,-3951.1641774891773,-3951.1641774891773,-2665.912937062937,-5305.577561210719,-2889.4835476614885,-5751.97179197995,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937,-2665.912937062937
YBL039C,-1152.2449494949492,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-1152.2449494949492,-868.4166666666667,-868.4166666666667,-868.4166666666667,-868.4166666666667,-1113.5833333333333,-868.4166666666667,-646.6666666666666,-646.6666666666666,-868.4166666666667,-868.4166666666667
YBL040C,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-654.6944444444442,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-654.6944444444442,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331,-170.33333333333331
YBL045C,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-622.0895065718595,-622.0895065718595,-830.3276018099547,-438.304399808704,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547,-830.3276018099547
YBL047C,-30819.737739521453,-30648.273453807167,-30819.737739521453,-30658.480782468847,-30944.737739521453,-29889.78854561576,-30961.380596664312,-30944.737739521453,-30006.326620749238,-31162.409998152038,-31162.409998152038,-30066.326620749238,-30398.06250584624,-32315.86367502393,-30006.326620749238,-30944.737739521453,-29405.206336549083,-30944.737739521453,-32315.188675023925,-32315.188675023925,-30944.737739521453,-31322.81485213065
YBL057C,-3232.383403361345,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2954.802777777778,-2699.052777777778,-2699.052777777778,-2800.052777777778,-2800.052777777778,-2800.052777777778,-2954.802777777778,-2720.052777777778,-2720.052777777778,-2720.052777777778,-2800.052777777778,-2800.052777777778,-2720.052777777778,-2720.052777777778
YBL064C,-2099.413095238096,-1756.8404761904765,-1756.8404761904765,-830.8333333333333,-1756.8404761904765,-1756.8404761904765,-1756.8404761904765,-1756.8404761904765,-2091.9464285714294,-1546.7530044275775,-1546.7530044275775,-2008.7416666666668,-1546.7530044275775,-1070.8250485147037,-2091.9464285714294,-1756.8404761904765,-1756.8404761904765,-1756.8404761904765,-1546.7530044275775,-1546.7530044275775,-1756.8404761904765,-2985.0000000000005
YBL076C,-2636.933333333333,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1765.1309523809525,-1606.095238095238,-1765.1309523809525,-1765.1309523809525,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1606.095238095238,-1765.1309523809525,-1765.1309523809525,-1765.1309523809525,-2071.7809523809524,-2071.7809523809524,-1765.1309523809525,-1606.095238095238
YBL079W,-8544.5488999889,-7708.7242246642245,-7944.51873015873,-10920.825328952093,-10920.825328952093,-10920.825328952093,-10920.825328952093,-10920.825328952093,-9238.582439129495,-11205.238841421737,-11205.238841421737,-9321.199595579856,-10041.401176607524,-9710.609077040426,-9238.582439129495,-10920.825328952093,-10920.825328952093,-10920.825328952093,-11255.622947999713,-11255.622947999713,-10920.825328952093,-8907.62734927686
YBL099W,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-5744.194581280789,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305,-4840.3960317460305
YBL102W,-3821.5927318295735,-3322.474747474748,-4000.791666666666,-3820.8320175438594,-4000.791666666666,-4000.791666666666,-4000.791666666666,-4000.791666666666,-3231.730769230769,-3322.474747474748,-3322.474747474748,-3765.2960784313723,-3826.3070175438593,-3322.474747474748,-4000.791666666666,-4000.791666666666,-3820.8320175438594,-4000.791666666666,-3322.474747474748,-3322.474747474748,-4000.791666666666,-4126.305714285714
YBL106C,-13839.757071586953,-15246.796805006587,-14506.742930547714,-14510.487930547715,-14513.155974025976,-14506.742930547714,-14506.742930547714,-14513.155974025976,-14768.820056754843,-14362.487930547715,-14362.487930547715,-14575.837554112557,-14381.013997113996,-14356.643717247669,-14506.742930547714,-14513.155974025976,-14510.487930547715,-14513.155974025976,-16557.073257202566,-16557.073257202566,-14513.155974025976,-14516.487930547715
YBR003W,-3004.435193334507,-2961.065610859729,-3004.435193334507,-3004.435193334507,-3004.435193334507,-3004.435193334507,-3004.435193334507,-3004.435193334507,-3608.452380952381,-3125.549064970118,-3125.549064970118,-3047.239541160594,-2801.357918552036,-2898.3830128205127,-3608.452380952381,-3004.435193334507,-3004.435193334507,-3004.435193334507,-3263.899633699634,-3263.899633699634,-3004.435193334507,-3019.935193334507
YBR011C,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1434.6923076923074,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1870.2927120669056,-1343.611111111111
YBR015C,-6235.3125081557055,-6235.3125081557055,-6228.442942938314,-6228.442942938314,-6228.442942938314,-6228.442942938314,-6228.442942938314,-6228.442942938314,-5924.888798530164,-4838.633333333333,-4838.633333333333,-4838.633333333333,-5647.233333333334,-5074.744887955183,-5924.888798530164,-6228.442942938314,-6228.442942938314,-6228.442942938314,-5640.222131863498,-5640.222131863498,-6228.442942938314,-6046.36111111111
YBR024W,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2281.937566137566,-2214.398395721925,-2214.398395721925,-2276.7321195144723,-2214.398395721925,-2174.083333333333,-2281.937566137566,-2518.1230158730164,-2518.1230158730164,-2518.1230158730164,-2214.398395721925,-2214.398395721925,-2518.1230158730164,-2518.1230158730164
YBR025C,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4266.021980676329,-4795.475396825396,-6670.667017231134,-6670.667017231134,-6632.678542016151,-6683.778454181281,-6683.778454181281,-4795.475396825396,-4266.021980676329,-4266.021980676329,-4266.021980676329,-6683.778454181281,-6683.778454181281,-4266.021980676329,-4266.021980676329
YBR029C,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-843.0774436090227,-2257.1216666666664
YBR037C,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2782.3686974789916,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706,-2788.404411764706
YBR039W,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1855.2476190476186,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1689.6666666666665,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1386.333333333333,-1689.6666666666665,-1855.2476190476186,-1386.333333333333,-1855.2476190476186,-1386.333333333333,-1386.333333333333,-1855.2476190476186,-1386.333333333333
YBR041W,-3157.2554819209277,-2750.353841124551,-3396.860033075015,-3396.860033075015,-3327.7307848100236,-3396.860033075015,-3396.860033075015,-3327.7307848100236,-3110.5304819209277,-2693.5218862373317,-2693.5218862373317,-2989.427956254272,-1732.367426690956,-3157.2554819209277,-3110.5304819209277,-3327.7307848100236,-3396.860033075015,-3327.7307848100236,-2654.599079219789,-2654.599079219789,-3327.7307848100236,-3146.7554819209277
YBR046C,-798.875,-1474.2060606060604,-1474.2060606060604,-1474.2060606060604,-1474.2060606060604,-1149.5,-1474.2060606060604,-1474.2060606060604,-1354.2241379310346,-756.3461538461537,-756.3461538461537,-1325.263725490196,-1246.5884353741499,-1216.5,-1354.2241379310346,-1474.2060606060604,-1671.6942959001778,-1474.2060606060604,-1216.5,-1216.5,-1474.2060606060604,-1204.2241379310346
YBR054W,-1242.5932835820895,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1239.6833333333334,-1237.4224137931035,-1237.4224137931035,-1242.5932835820895,-1237.4224137931035,-1242.5932835820895,-1239.6833333333334,-1237.4224137931035,-1237.4224137931035,-1237.4224137931035,-1242.5932835820895,-1242.5932835820895,-1237.4224137931035,-1237.4224137931035
YBR059C,-3230.5636363636363,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-3230.5636363636363,-2862.0064102564106,-3230.5636363636363,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-2862.0064102564106,-3230.5636363636363,-3230.5636363636363,-2862.0064102564106,-2862.0064102564106
