gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-1083.56,-1083.2,-1087.25,-1087.63,-1086.65,-1087.63,-1087.63,-1086.65,-1080.55,-1087.69,-1087.69,-1085.78,-1086.93,-1082.23,-1089.89,-1086.65,-1086.65,-1086.65,-1086.77,-1086.77,-1086.65,-1084.17
YAL003W,-249.62,-248.61,-249.62,-249.62,-249.62,-249.62,-249.62,-249.62,-248.79,-251.41,-250.7,-249.62,-249.62,-249.62,-253.38,-249.62,-249.62,-249.62,-249.98,-249.98,-251.05,-249.62
YAL007C,-234.73,-234.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73,-234.21,-234.21,-234.79,-234.73,-236.42,-235.73,-234.53,-234.53,-234.53,-234.73,-234.73,-234.53,-234.73
YAL021C,-874.73,-870.94,-869.85,-869.85,-866.0,-869.87,-866.0,-866.0,-878.93,-869.88,-869.88,-877.33,-871.25,-865.68,-868.43,-866.0,-869.4,-866.0,-877.33,-877.38,-866.0,-869.48
YAL023C,-869.22,-866.06,-869.02,-869.02,-869.97,-869.02,-870.17,-869.97,-861.21,-864.23,-864.23,-864.71,-870.78,-867.48,-867.47,-869.97,-869.47,-869.97,-866.27,-866.27,-869.97,-869.52
YAL029C,-1330.67,-1331.08,-1330.75,-1330.12,-1332.3,-1330.67,-1330.67,-1332.3,-1330.91,-1324.98,-1324.98,-1330.68,-1330.18,-1333.12,-1334.43,-1332.3,-1330.75,-1332.3,-1327.5,-1327.5,-1332.3,-1332.71
YAL034C,-398.22,-399.25,-399.44,-399.44,-399.44,-399.48,-399.44,-399.44,-407.12,-399.3,-399.3,-403.41,-399.44,-408.43,-402.93,-399.44,-399.44,-399.44,-402.99,-402.99,-399.44,-399.44
YAL035W,-938.82,-942.25,-943.52,-943.27,-943.52,-942.36,-943.52,-943.52,-951.07,-950.66,-948.36,-943.28,-946.17,-945.08,-944.54,-943.52,-942.11,-943.52,-945.4,-946.3,-943.52,-945.28
YAL036C,-441.87,-441.87,-441.87,-441.53,-441.87,-444.58,-441.87,-441.87,-444.64,-444.91,-444.91,-447.7,-446.7,-444.39,-439.64,-441.87,-441.87,-441.87,-445.55,-445.55,-441.87,-441.87
YAL049C,-279.86,-276.85,-278.66,-278.71,-278.66,-278.55,-278.55,-278.66,-280.43,-272.28,-272.28,-275.67,-277.77,-275.0,-276.72,-278.66,-278.66,-278.66,-273.77,-273.77,-278.66,-275.05
YAL053W,-801.98,-805.6,-798.8,-798.01,-798.8,-800.2,-799.53,-798.8,-798.8,-805.12,-805.12,-806.7,-810.26,-803.94,-791.19,-798.8,-798.8,-798.8,-805.89,-805.89,-798.8,-800.41
YAL060W,-478.45,-475.89,-478.45,-474.19,-478.45,-478.45,-478.45,-478.45,-477.49,-482.02,-482.02,-480.53,-479.51,-484.77,-483.96,-478.45,-478.45,-478.45,-486.24,-485.98,-478.34,-483.18
YAR002C-A,-232.47,-236.69,-230.29,-230.89,-230.89,-230.89,-230.89,-230.89,-236.69,-232.47,-232.47,-236.69,-232.59,-237.64,-230.59,-230.89,-230.89,-230.89,-236.62,-236.62,-230.89,-232.59
YAR007C,-596.57,-598.16,-594.33,-591.85,-593.11,-592.57,-593.11,-593.11,-597.96,-588.34,-588.34,-594.21,-592.57,-598.73,-595.02,-593.11,-593.11,-593.11,-591.89,-591.89,-593.11,-592.29
