gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-569.2903225806451,-569.2903225806451,-189.75,-189.75,-181.5,-189.75,-189.75,-181.5,-569.2903225806451,-427.0,-427.0,-569.2903225806451,-189.75,-569.2903225806451,-518.0,-181.5,-181.5,-181.5,-569.2903225806451,-569.2903225806451,-181.5,-189.75
YAL005C,1.2,1.2,-22.125,-22.125,1.2,-22.125,-22.125,-22.125,1.2,1.2,1.2,1.2,1.2,-40.371428571428574,1.2,-22.125,-22.125,-22.125,-22.125,-22.125,1.2,-22.125
YAL007C,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-436.875,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461,-115.61538461538461
YAL012W,-656.2428571428571,-656.2428571428571,-656.2428571428571,-656.2428571428571,-622.8265306122449,-616.25,-622.8265306122449,-622.8265306122449,-190.04545454545453,-667.1164021164021,-667.1164021164021,-299.1666666666667,-656.2428571428571,-661.3571428571429,-299.1666666666667,-622.8265306122449,-622.8265306122449,-622.8265306122449,-299.1666666666667,-299.1666666666667,-622.8265306122449,-656.2428571428571
YAL021C,-404.77777777777777,-393.42857142857144,-404.77777777777777,-404.77777777777777,-835.5833333333334,-404.77777777777777,-835.5833333333334,-835.5833333333334,-363.84000000000003,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-835.5833333333334,-404.77777777777777,-835.5833333333334,-404.77777777777777,-404.77777777777777,-835.5833333333334,-393.42857142857144
YAL023C,-459.0625,-457.8222222222222,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-450.8222222222222,-450.8222222222222,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625
YAL029C,-345.9666666666667,-40.5,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-21.25862068965517,-40.5,-40.5,-40.5,-40.5,-40.5,-40.5,-345.9666666666667,-345.9666666666667,-345.9666666666667,-40.5,-40.5,-345.9666666666667,-345.9666666666667
YAL034C,-456.75,-456.75,-456.75,-456.75,-456.75,-514.6538461538462,-456.75,-456.75,-550.3315789473685,-483.86666666666673,-483.86666666666673,-550.3315789473685,-456.75,-579.8206896551725,-579.8206896551725,-456.75,-456.75,-456.75,-550.3315789473685,-550.3315789473685,-456.75,-456.75
YAL035W,-652.0526315789474,-652.0526315789474,-652.0526315789474,-652.0526315789474,-652.0526315789474,-285.8571428571429,-652.0526315789474,-652.0526315789474,-285.8571428571429,-199.41666666666666,-199.41666666666666,-199.41666666666666,-652.0526315789474,-285.8571428571429,-199.41666666666666,-652.0526315789474,-652.0526315789474,-652.0526315789474,-285.8571428571429,-285.8571428571429,-652.0526315789474,-214.58333333333331
YAL036C,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-677.7857142857142,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144,-443.42857142857144
YAL038W,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7,-90.7
YAL039C,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-432.22222222222223,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5,-25.5
YAL049C,-168.53289473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-170.16666666666669,-55.35,-55.35,-168.53289473684208,-313.88235294117646,-215.05656108597282,-200.40789473684208,-168.53289473684208,-168.53289473684208,-168.53289473684208,-55.35,-55.35,-168.53289473684208,-168.53289473684208
YAL053W,-587.3333333333334,-592.8888888888889,-681.4142857142857,-681.4142857142857,-681.4142857142857,-662.0,-681.4142857142857,-681.4142857142857,-681.4142857142857,-592.8888888888889,-592.8888888888889,-592.8888888888889,-592.8888888888889,-67.68,-556.4782608695652,-681.4142857142857,-681.4142857142857,-681.4142857142857,-592.8888888888889,-592.8888888888889,-681.4142857142857,-592.8888888888889
YAL060W,-518.8,-615.0,-518.8,-5.6571428571428575,-518.8,-518.8,-518.8,-518.8,-518.8,-615.0,-615.0,-577.1923076923076,-551.4333333333334,-615.0,-577.1923076923076,-518.8,-518.8,-518.8,-518.8,-518.8,-518.8,-518.8
