gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-224.0,-224.0,-224.5,-224.5,458.0,-224.5,-224.5,458.0,-224.0,458.0,458.0,-224.0,-224.5,-224.0,46.0,458.0,458.0,458.0,-224.0,-224.0,458.0,-224.5
YAL003W,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,398.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0
YAL005C,546.0,546.0,142.66666666666666,142.66666666666666,546.0,142.66666666666666,142.66666666666666,142.66666666666666,546.0,546.0,546.0,546.0,546.0,113.0,546.0,142.66666666666666,142.66666666666666,142.66666666666666,142.66666666666666,142.66666666666666,546.0,142.66666666666666
YAL007C,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,688.0,688.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0
YAL012W,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334,175.33333333333334
YAL021C,418.66666666666663,-262.6666666666667,418.66666666666663,418.66666666666663,280.0,418.66666666666663,280.0,280.0,-556.6666666666666,418.66666666666663,418.66666666666663,418.66666666666663,418.66666666666663,418.66666666666663,418.66666666666663,280.0,418.66666666666663,280.0,418.66666666666663,418.66666666666663,280.0,-265.1666666666667
YAL023C,-193.0,-22.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,-22.0,-22.0,130.0,130.0,-193.0,130.0,130.0,-193.0,130.0,130.0,130.0,130.0,-193.0
YAL029C,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,35.83333333333334,217.0,217.0,217.0,-21.83333333333334,-21.83333333333334,217.0,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334,-21.83333333333334
YAL034C,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671,-132.66666666666666,7.166666666666671,7.166666666666671,7.166666666666671,-69.0,-69.0,7.166666666666671,7.166666666666671,181.66666666666669,181.66666666666669,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671,7.166666666666671
YAL035W,10.999999999999986,10.999999999999986,10.999999999999986,10.999999999999986,10.999999999999986,69.5,10.999999999999986,10.999999999999986,69.5,2.0,2.0,330.5,10.999999999999986,69.5,69.5,10.999999999999986,10.999999999999986,10.999999999999986,69.5,69.5,10.999999999999986,252.49999999999997
YAL036C,-465.0,-465.0,-465.0,-203.16666666666666,-465.0,-465.0,-465.0,-465.0,-203.16666666666666,-203.16666666666666,-203.16666666666666,-203.16666666666666,-6.666666666666664,-203.16666666666666,-70.33333333333331,-465.0,-465.0,-465.0,-203.16666666666666,-203.16666666666666,-465.0,-465.0
YAL038W,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5,-87.5
YAL039C,-48.83333333333333,-48.83333333333333,-48.83333333333333,-48.83333333333333,-8.833333333333314,-48.83333333333333,-48.83333333333333,-8.833333333333314,-281.5,-48.83333333333333,-48.83333333333333,-4.499999999999986,-48.83333333333333,-48.83333333333333,-106.33333333333334,-8.833333333333314,-8.833333333333314,-8.833333333333314,-48.83333333333333,-48.83333333333333,-8.833333333333314,-48.83333333333333
YAL049C,-277.5,-277.5,-400.8333333333333,-400.8333333333333,-400.8333333333333,-400.8333333333333,-400.8333333333333,-400.8333333333333,-277.5,164.0,164.0,-277.5,-70.16666666666667,-277.5,-277.5,-400.8333333333333,-400.8333333333333,-400.8333333333333,164.0,164.0,-400.8333333333333,-71.66666666666667
YAL053W,-111.83333333333334,-185.5,-109.83333333333334,-109.83333333333334,-109.83333333333334,-150.16666666666669,-109.83333333333334,-109.83333333333334,-109.83333333333334,-25.833333333333343,-25.833333333333343,-155.5,-109.83333333333334,-216.5,-136.5,-109.83333333333334,-109.83333333333334,-109.83333333333334,-185.5,-185.5,-109.83333333333334,-109.83333333333334
YAL060W,-148.0,-148.0,-148.0,82.0,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0,227.5,-156.16666666666669,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0,-148.0
YAR002C-A,-125.0,-125.0,416.0,-52.500000000000014,-52.500000000000014,-52.500000000000014,-52.500000000000014,-52.500000000000014,-125.0,-125.0,-125.0,-125.0,-125.0,-125.0,-125.0,-52.500000000000014,-52.500000000000014,-52.500000000000014,-125.0,-125.0,-52.500000000000014,-125.0
YAR007C,-85.16666666666666,100.16666666666666,473.8333333333333,473.8333333333333,473.8333333333333,473.8333333333333,473.8333333333333,473.8333333333333,100.16666666666666,473.8333333333333,473.8333333333333,-85.16666666666666,473.8333333333333,100.16666666666666,-85.16666666666666,473.8333333333333,473.8333333333333,473.8333333333333,-85.16666666666666,-85.16666666666666,473.8333333333333,100.16666666666666
YAR008W,13.0,170.5,-4.999999999999986,-4.999999999999986,-4.999999999999986,-4.999999999999986,-4.999999999999986,-4.999999999999986,170.5,170.5,170.5,170.5,-4.999999999999986,170.5,13.0,-4.999999999999986,-4.999999999999986,-4.999999999999986,170.5,170.5,-4.999999999999986,170.5
YAR015W,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,-21.833333333333325,137.0,137.0,137.0,137.0,137.0,137.0,137.0
YAR018C,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-161.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666,-136.66666666666666
