"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YOR294W",-217.85,-217.31,-214.97,-217.31,-217.31,-219.99,-217.09,-217.31,-216.67,-216.62,-216.62,-217.77,-214.97,-214.97,-216.67,-217.31,-217.31,-217.31,-214.97,-214.97,-217.31,-217.85
"YGL111W",-455.86,-455.46,-455.46,-455.46,-454.82,-455.46,-454.82,-454.82,-462.67,-457.45,-457.45,-457.87,-460.26,-460.98,-462.67,-454.82,-454.82,-455.46,-460.05,-460.05,-454.82,-453.81
"YNR053C",-522.52,-522.92,-522.91,-522.92,-523.11,-523.11,-523.13,-523.11,-522.71,-523.26,-523.26,-522.87,-522.87,-524.31,-521.84,-523.11,-523.11,-523.11,-522.71,-522.71,-523.11,-522.17
"YOR285W",-158.63,-151.81,-158.63,-158.63,-158.63,-158.63,-158.48,-158.63,-159.98,-158.63,-158.63,-153.74,-153.74,-151.81,-158.81,-158.63,-158.63,-158.63,-153.74,-153.74,-158.63,-158.63
"YDL135C",-227.99,-227.99,-229.79,-229.79,-229.79,-229.79,-229.79,-229.79,-231.21,-228.45,-228.45,-229.79,-229.79,-228.89,-229.79,-229.79,-229.79,-229.79,-229.89,-229.89,-229.79,-229.81
"YOR085W",-371.29,-376.12,-374.28,-376.62,-376.62,-376.73,-376.62,-376.62,-376.46,-376.14,-376.14,-376.12,-376.65,-376.34,-376.46,-376.62,-376.62,-376.62,-376.12,-376.12,-376.62,-375.91
"YGL082W",-397.06,-393.87,-393.77,-393.77,-396.99,-393.77,-393.77,-396.99,-394.32,-398.5,-398.5,-394.78,-398.33,-394.78,-394.32,-396.99,-396.99,-396.99,-395.06,-395.06,-396.99,-395.06
"YCR088W",-606.91,-608.26,-606.55,-606.71,-606.71,-608.35,-606.71,-606.71,-607.43,-605.99,-605.99,-602.96,-607.15,-605.82,-606.71,-606.71,-606.71,-606.71,-597.39,-597.39,-606.71,-614.8
"YDR353W",-346.12,-345.05,-343.36,-346.12,-346.12,-346.12,-346.12,-346.12,-346.57,-349.46,-349.46,-346.57,-346.74,-345.87,-346.57,-346.12,-346.12,-346.12,-346.57,-346.57,-346.12,-346.12
"YER007C-A",-192.09,-194.29,-200.51,-198.14,-198.14,-198.14,-198.14,-198.14,-194.28,-194.38,-194.38,-198.14,-194.3,-194.44,-194.28,-198.14,-198.14,-198.14,-195.4,-195.4,-198.14,-194.44
"YER177W",-321.38,-328.26,-328.26,-328.28,-328.26,-328.26,-325.78,-328.26,-321.1,-322.58,-322.58,-321.87,-325.73,-319.71,-328.26,-328.26,-328.26,-328.26,-321.87,-321.87,-328.26,-319.7
"YBR154C",-218.86,-220.06,-221.98,-221.98,-221.98,-221.98,-221.98,-221.98,-221.67,-221.4,-221.4,-221.98,-225.19,-220.06,-221.67,-221.98,-221.98,-223.4,-221.98,-221.98,-221.98,-221.67
"YKL094W",-329.35,-330.05,-330.05,-330.05,-330.05,-330.05,-330.05,-330.05,-329.76,-332.9,-332.9,-330.01,-330.43,-329.68,-329.76,-330.05,-330.05,-330.05,-330.32,-330.32,-330.05,-334.25
"YOR210W",-134.84,-134.68,-134.84,-134.91,-134.84,-134.84,-134.84,-134.84,-134.91,-132.19,-132.19,-134.84,-134.98,-134.98,-134.91,-134.84,-134.84,-134.84,-133.81,-133.81,-134.84,-134.84
"YMR246W",-802.53,-795.86,-792.67,-794.95,-793.89,-797.08,-795.86,-793.89,-787.88,-790.67,-790.67,-788.43,-786.99,-789.82,-795.43,-793.89,-793.89,-793.89,-791.59,-791.59,-793.89,-795.67
"YDR280W",-341.92,-341.92,-339.26,-341.92,-340.86,-339.59,-339.59,-340.86,-337.98,-338.38,-338.38,-339.53,-337.63,-335.57,-337.98,-340.86,-340.86,-340.86,-340.65,-340.65,-340.86,-339.59
"YBL026W",-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-115.5,-117.67,-117.67,-117,-117.67,-117.18,-115.5,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18,-117.18
"YNL185C",-210.64,-209.02,-209.02,-207.72,-209.02,-209.02,-209.02,-209.02,-209.29,-209.29,-209.29,-209.29,-208.63,-209.29,-209.29,-209.02,-209.02,-209.02,-209.29,-209.29,-209.02,-209.02
"YGR020C",-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-169.18,-169.18,-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-165.34,-165.55,-165.55,-165.34,-165.34
"YNL005C",-362.86,-362.86,-362.86,-362.86,-362.86,-363.62,-362.86,-362.86,-362.86,-362.82,-362.82,-362.82,-362.86,-369.38,-361.22,-362.86,-362.86,-362.86,-363.29,-363.29,-362.86,-363.61
"YBR082C",-181.8,-181.39,-182.1,-183.3,-182.59,-182.1,-182.1,-182.59,-181.17,-180.45,-180.45,-181.17,-181.17,-180.76,-182.1,-182.59,-183.3,-182.59,-181.17,-181.17,-182.59,-182.1
