gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-569.2903225806451,-569.2903225806451,-189.75,-189.75,-181.5,-189.75,-189.75,-181.5,-569.2903225806451,-427.0,-427.0,-569.2903225806451,-189.75,-569.2903225806451,-518.0,-181.5,-181.5,-181.5,-569.2903225806451,-569.2903225806451,-181.5,-189.75
YAL005C,1.2,1.2,-22.125,-22.125,1.2,-22.125,-22.125,-22.125,1.2,1.2,1.2,1.2,1.2,-40.37142857142858,1.2,-22.125,-22.125,-22.125,-22.125,-22.125,1.2,-22.125
YAL007C,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-436.875,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846,-115.6153846153846
YAL012W,-656.2428571428571,-656.2428571428571,-656.2428571428571,-656.2428571428571,-622.8265306122448,-616.25,-622.8265306122448,-622.8265306122448,-190.04545454545453,-667.1164021164021,-667.1164021164021,-299.1666666666667,-656.2428571428571,-661.3571428571429,-299.1666666666667,-622.8265306122448,-622.8265306122448,-622.8265306122448,-299.1666666666667,-299.1666666666667,-622.8265306122448,-656.2428571428571
YAL021C,-404.77777777777777,-393.4285714285714,-404.77777777777777,-404.77777777777777,-835.5833333333335,-404.77777777777777,-835.5833333333335,-835.5833333333335,-363.84,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-404.77777777777777,-835.5833333333335,-404.77777777777777,-835.5833333333335,-404.77777777777777,-404.77777777777777,-835.5833333333335,-393.4285714285714
YAL023C,-459.0625,-457.8222222222222,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-450.8222222222222,-450.8222222222222,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625,-459.0625
YAL029C,-345.9666666666667,-40.5,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-345.9666666666667,-21.258620689655174,-40.5,-40.5,-40.5,-40.5,-40.5,-40.5,-345.9666666666667,-345.9666666666667,-345.9666666666667,-40.5,-40.5,-345.9666666666667,-345.9666666666667
YAL034C,-456.75,-456.75,-456.75,-456.75,-456.75,-514.6538461538462,-456.75,-456.75,-550.3315789473685,-483.86666666666673,-483.86666666666673,-550.3315789473685,-456.75,-579.8206896551725,-579.8206896551725,-456.75,-456.75,-456.75,-550.3315789473685,-550.3315789473685,-456.75,-456.75
YAL035W,-652.0526315789474,-652.0526315789474,-652.0526315789474,-652.0526315789474,-652.0526315789474,-285.8571428571429,-652.0526315789474,-652.0526315789474,-285.8571428571429,-199.41666666666663,-199.41666666666663,-199.41666666666663,-652.0526315789474,-285.8571428571429,-199.41666666666663,-652.0526315789474,-652.0526315789474,-652.0526315789474,-285.8571428571429,-285.8571428571429,-652.0526315789474,-214.5833333333333
YAL036C,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-677.7857142857142,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714,-443.4285714285714
