gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-99090.62837449739,-98955.62837449739,-97904.76507754161,-98064.76507754161,-96528.73291211945,-98064.76507754161,-98064.76507754161,-96528.73291211945,-98653.62837449739,-95185.8704767375,-95185.8704767375,-99298.62837449739,-97992.76507754161,-98894.62837449739,-99507.40723721999,-96528.73291211945,-96528.73291211945,-96528.73291211945,-99311.62837449739,-99311.62837449739,-96528.73291211945,-97422.76507754161
YAL003W,-17217.111290322584,-18343.38064516129,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17633.5370967742,-17381.111290322584,-17273.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17337.814516129034,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17217.111290322584,-17381.111290322584,-17217.111290322584
YAL005C,-62240.371887966816,-61755.371887966816,-60521.574170124506,-60739.574170124506,-61149.371887966816,-60739.574170124506,-59714.047717842346,-60406.574170124506,-62132.371887966816,-62176.32883817428,-62176.32883817428,-61434.371887966816,-61119.75414937761,-61821.94865145229,-61952.371887966816,-60504.574170124506,-59327.14885892119,-60341.574170124506,-60321.96732365148,-60321.96732365148,-61100.371887966816,-60641.574170124506
YAL007C,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14888.760432766618,-14888.760432766618,-14687.850077279752,-14697.850077279752,-13657.180834621335,-14736.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752,-14697.850077279752
YAL012W,-35338.16469594595,-35632.16469594595,-35704.16469594595,-35704.16469594595,-35704.25675675676,-35282.86993243243,-35704.25675675676,-35704.25675675676,-36174.19679054053,-35941.30236486485,-35941.30236486485,-37036.132601351346,-35632.16469594595,-36115.93412162161,-36357.132601351346,-35704.25675675676,-35704.25675675676,-35704.25675675676,-36300.132601351346,-36300.132601351346,-35704.25675675676,-35704.16469594595
YAL021C,-73086.12693991243,-70081.13489852767,-72528.12693991243,-72528.12693991243,-68424.28491842418,-72587.83963390368,-68424.28491842418,-68424.28491842418,-67022.64226024668,-70477.30362116992,-70477.30362116992,-71537.79228014324,-74052.76920015918,-71192.970155193,-70305.49502586547,-68424.28491842418,-72503.12693991243,-68424.28491842418,-71537.79228014324,-71537.79228014324,-68424.28491842418,-70052.37126939915
YAL023C,-73982.30276437031,-75225.21325142606,-74740.40456340497,-74740.40456340497,-74630.40456340497,-74740.40456340497,-74794.40456340497,-74630.40456340497,-73726.40456340497,-74957.21325142606,-74957.21325142606,-74195.40456340497,-74635.40456340497,-73612.30276437031,-74252.40456340497,-74630.40456340497,-73964.30276437031,-74630.40456340497,-74268.40456340497,-74268.40456340497,-74630.40456340497,-73961.30276437031
YAL029C,-122375.78573046435,-122736.13793884484,-122431.78573046435,-122284.78573046435,-122528.78573046435,-122375.78573046435,-122375.78573046435,-122528.78573046435,-121056.6577576444,-122100.34835787091,-122100.34835787091,-122495.34835787091,-122872.97531143829,-123255.97531143829,-122992.34835787091,-122528.78573046435,-122431.78573046435,-122528.78573046435,-122481.97531143829,-122481.97531143829,-122528.78573046435,-122703.78573046435
YAL034C,-30613.21434327155,-30613.52135374698,-30613.21434327155,-30613.21434327155,-30613.21434327155,-30924.632554391617,-30613.21434327155,-30613.21434327155,-29760.87107171636,-28172.546333601942,-28172.546333601942,-29873.735697018536,-30613.21434327155,-27896.23207091057,-27973.711522965365,-30613.21434327155,-30613.21434327155,-30613.21434327155,-29227.25624496374,-29227.25624496374,-30613.21434327155,-30613.21434327155
YAL035W,-81219.44315159575,-81239.44315159575,-81635.44315159575,-81635.44315159575,-81635.44315159575,-83083.67952127659,-81635.44315159575,-81635.44315159575,-83672.66888297872,-84326.22506648937,-84070.22506648937,-83633.22506648937,-81863.44315159575,-83020.66888297872,-84325.78889627659,-81635.44315159575,-81623.44315159575,-81635.44315159575,-82975.66888297872,-83104.66888297872,-81635.44315159575,-84317.72406914894
