gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL038W,-537.36,-537.36,-537.36,-537.85,-537.36,-537.36,-537.36,-537.36,-538.74,-537.62,-537.62,-543.04,-538.84,-535.45,-535.14,-537.36,-537.36,-537.36,-539.61,-539.61,-537.36,-537.36
YBL002W,-161.72,-159.02,-161.72,-161.72,-161.72,-161.72,-161.72,-161.72,-159.02,-159.02,-159.02,-159.02,-159.02,-159.02,-159.02,-161.72,-161.72,-161.72,-159.02,-159.02,-161.72,-161.72
YBL026W,-106.79,-106.79,-106.79,-106.79,-106.79,-106.79,-106.79,-106.79,-105.69,-107.05,-107.05,-106.79,-107.05,-106.79,-105.69,-106.79,-106.79,-106.79,-106.79,-106.79,-106.79,-106.79
YBL040C,-203.82,-203.82,-203.82,-203.82,-203.82,-203.82,-203.82,-203.82,-201.71,-202.93,-202.93,-203.58,-203.82,-203.83,-201.71,-203.82,-203.82,-203.82,-206.07,-206.07,-203.82,-203.83
YBL050W,-304.6,-304.6,-304.6,-304.6,-304.6,-304.6,-304.6,-304.6,-301.72,-305.34,-305.34,-302.7,-304.39,-305.53,-301.72,-304.6,-304.6,-304.6,-304.09,-304.09,-304.6,-304.6
YBL078C,-193.17,-192.09,-193.17,-193.17,-190.47,-193.17,-193.17,-190.47,-195.47,-193.17,-193.17,-193.17,-196.98,-193.17,-195.47,-190.47,-190.47,-190.47,-194.16,-194.16,-190.47,-193.17
YBL091C,-409.69,-413.39,-413.24,-413.24,-413.24,-413.24,-413.24,-413.24,-411.85,-412.06,-412.06,-411.67,-413.4,-413.4,-413.24,-413.24,-413.24,-413.24,-411.74,-411.74,-413.24,-415.16
YBL102W,-271.45,-272.76,-272.71,-273.34,-272.71,-272.71,-272.71,-272.71,-268.27,-274.98,-274.98,-272.07,-273.94,-271.98,-272.71,-272.71,-273.34,-272.71,-275.55,-275.55,-272.71,-274.26
YBR025C,-389.04,-389.04,-389.04,-388.7,-389.04,-389.04,-389.04,-389.04,-390.27,-391.4,-391.4,-393.74,-393.91,-391.8,-390.27,-389.04,-389.04,-389.04,-393.57,-393.57,-389.04,-389.04
YBR029C,-577.89,-580.24,-579.09,-579.8,-579.8,-579.8,-577.1,-579.8,-582.81,-581.74,-581.74,-577.04,-575.77,-577.89,-582.81,-579.8,-579.8,-579.8,-578.92,-578.92,-579.8,-578.18
YBR039W,-311.22,-311.86,-311.86,-311.86,-311.95,-311.86,-311.86,-311.86,-311.0,-314.27,-314.27,-310.63,-309.9,-311.66,-311.0,-311.95,-312.46,-311.95,-309.9,-309.9,-311.95,-310.99
YBR052C,-215.47,-215.39,-215.39,-215.39,-215.39,-215.39,-215.39,-215.39,-215.51,-218.28,-218.28,-215.18,-214.5,-215.29,-215.51,-215.39,-215.39,-215.39,-215.29,-215.29,-215.39,-215.29
YBR082C,-166.47,-168.47,-167.91,-168.81,-168.26,-167.91,-167.91,-168.26,-168.47,-167.18,-167.18,-168.47,-168.47,-167.83,-167.91,-168.26,-168.81,-168.26,-168.47,-168.47,-168.26,-167.91
YBR109C,-176.85,-178.2,-176.85,-176.85,-176.85,-176.85,-176.85,-176.85,-174.96,-176.85,-176.85,-173.22,-180.07,-178.2,-174.96,-176.85,-176.6,-176.85,-176.85,-176.85,-176.85,-173.14
YBR143C,-399.56,-399.56,-396.01,-394.99,-394.99,-394.99,-394.99,-394.99,-398.66,-402.39,-402.39,-399.56,-399.56,-399.56,-398.66,-394.99,-394.99,-394.99,-396.48,-396.48,-394.99,-394.99
YBR154C,-201.95,-202.23,-204.5,-204.5,-204.5,-204.5,-204.5,-204.5,-204.5,-202.77,-202.77,-204.5,-208.15,-202.23,-204.5,-204.5,-204.5,-205.82,-204.5,-204.5,-204.5,-204.63
YBR160W,-289.42,-294.62,-289.42,-289.42,-289.42,-292.99,-289.42,-289.42,-292.18,-295.2,-295.2,-296.63,-296.63,-295.2,-292.18,-289.42,-289.42,-289.42,-295.2,-295.2,-289.42,-295.95
YBR164C,-213.65,-212.14,-213.65,-213.65,-213.65,-213.65,-213.65,-213.65,-215.26,-215.19,-215.19,-213.65,-213.65,-212.14,-215.26,-213.65,-213.65,-213.65,-213.65,-213.65,-213.65,-213.17
