gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-295.93548387096774,-295.93548387096774,-169.59375,-169.59375,378.0,-169.59375,-169.59375,378.0,-295.93548387096774,378.0,378.0,-295.93548387096774,-169.59375,-295.93548387096774,-219.0,378.0,378.0,378.0,-295.93548387096774,-295.93548387096774,378.0,-169.59375
YAL003W,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,341.14285714285717,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857,445.7142857142857
YAL005C,204.75,204.75,-84.5,-84.5,204.75,-84.5,-84.5,-84.5,204.75,204.75,204.75,204.75,204.75,-78.77777777777777,204.75,-84.5,-84.5,-84.5,-84.5,-84.5,204.75,-84.5
YAL007C,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,187.63636363636363,187.63636363636363,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0
YAL012W,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5
YAL021C,322.07142857142856,-361.4375,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,-4.333333333333329,-355.28,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,322.07142857142856,322.07142857142856,-4.333333333333329,-350.0
YAL023C,-567.5,-29.86666666666667,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,-29.86666666666667,-29.86666666666667,98.33333333333333,98.33333333333333,-567.5,98.33333333333333,98.33333333333333,-567.5,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,-567.5
YAL029C,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-55.66666666666666,2.4583333333333357,2.4583333333333357,2.4583333333333357,-166.5,-166.5,2.4583333333333357,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5
YAL034C,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-398.0,-231.16666666666669,-231.16666666666669,-231.16666666666669,-359.4782608695652,-359.4782608695652,-231.16666666666669,-231.16666666666669,-20.714285714285722,-20.714285714285722,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669
YAL035W,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-277.6666666666667,-277.6666666666667,-279.9848484848485,-258.8333333333333,-258.8333333333333,-167.7,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-139.77272727272728
YAL036C,-34.875,-34.875,-34.875,-609.5,-34.875,-34.875,-34.875,-34.875,-609.5,-609.5,-609.5,-609.5,-170.77777777777777,-609.5,-333.9166666666667,-34.875,-34.875,-34.875,-609.5,-609.5,-34.875,-34.875
YAL038W,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667,-314.1666666666667
YAL039C,-302.5701754385965,-302.5701754385965,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-495.35714285714283,-302.5701754385965,-302.5701754385965,-308.5,-302.5701754385965,-302.5701754385965,-312.6515151515152,-226.5,-226.5,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965
YAL049C,-224.43548387096774,-224.43548387096774,-248.30645161290323,-248.30645161290323,-248.30645161290323,-248.30645161290323,-248.30645161290323,-248.30645161290323,-224.43548387096774,33.93103448275862,33.93103448275862,-224.43548387096774,-411.2142857142857,-224.43548387096774,-224.43548387096774,-248.30645161290323,-248.30645161290323,-248.30645161290323,33.93103448275862,33.93103448275862,-248.30645161290323,-185.20833333333334
YAL053W,-359.1842105263158,-368.5,-356.8529411764706,-356.8529411764706,-356.8529411764706,-364.59090909090907,-356.8529411764706,-356.8529411764706,-356.8529411764706,-344.3285714285714,-344.3285714285714,-364.74,-356.8529411764706,-373.9418604651163,-362.95,-356.8529411764706,-356.8529411764706,-356.8529411764706,-368.5,-368.5,-356.8529411764706,-356.8529411764706
YAL060W,-444.0,-444.0,-444.0,-77.1,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-197.91666666666669,-345.1515151515151,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0
YAR002C-A,-375.0,-375.0,104.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-260.27777777777777,-375.0
YAR007C,-98.6590909090909,-38.638888888888886,361.5,361.5,361.5,361.5,361.5,361.5,-38.638888888888886,361.5,361.5,-98.6590909090909,361.5,-38.638888888888886,-98.6590909090909,361.5,361.5,361.5,-98.6590909090909,-98.6590909090909,361.5,-38.638888888888886
YAR008W,-417.3,-38.5,-276.0,-276.0,-276.0,-276.0,-276.0,-276.0,-38.5,-38.5,-38.5,-38.5,-276.0,-38.5,-417.3,-276.0,-276.0,-276.0,-38.5,-38.5,-276.0,-38.5
YAR015W,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,-157.5,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006,51.900000000000006
YAR018C,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-492.84615384615387,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337
YAR042W,64.16666666666666,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,64.16666666666666,100.5,100.5,100.5,100.5,100.5,100.5,64.16666666666666,64.16666666666666,100.5,100.5
YBL002W,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0
