gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-1162.4516129032259,-1162.4516129032259,-2001.6380952380953,-2001.6380952380953,-2001.6380952380953,-2001.6380952380953,-2001.6380952380953,-2001.6380952380953,-1162.4516129032259,-2280.544151453685,-2280.544151453685,-1162.4516129032259,-2001.6380952380953,-1162.4516129032259,-1483.611111111111,-2001.6380952380953,-2001.6380952380953,-2001.6380952380953,-1162.4516129032259,-1162.4516129032259,-2001.6380952380953,-2001.6380952380953
YAL003W,-4042.2059523809526,-3500.0432930002603,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-3784.8420634920635,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4166.238888888888,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526,-4042.2059523809526
YAL005C,-3275.9263247863246,-3275.9263247863246,-3333.9404761904766,-3333.9404761904766,-3275.9263247863246,-3333.9404761904766,-2808.872619047619,-3333.9404761904766,-3275.9263247863246,-3234.4263247863246,-3234.4263247863246,-3275.9263247863246,-3278.862222222222,-3437.6971428571424,-3275.9263247863246,-3333.9404761904766,-3770.7976190476193,-3333.9404761904766,-3333.9404761904766,-3333.9404761904766,-3275.9263247863246,-3333.9404761904766
YAL007C,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2645.803104575163,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039,-2856.738006617039
YAL012W,-1618.4714285714285,-1618.4714285714285,-1618.4714285714285,-1618.4714285714285,-2042.6122448979593,-2754.266666666667,-2042.6122448979593,-2042.6122448979593,-2012.8193473193473,-2622.4703703703703,-2622.4703703703703,-1791.6333333333334,-1618.4714285714285,-2445.266666666667,-1791.6333333333334,-2042.6122448979593,-2042.6122448979593,-2042.6122448979593,-1791.6333333333334,-1791.6333333333334,-2042.6122448979593,-1618.4714285714285
YAL021C,-3875.669319506784,-5899.141144795972,-3875.669319506784,-3875.669319506784,-5650.010697492164,-3875.1821400196045,-5650.010697492164,-5650.010697492164,-7029.109693218658,-5187.979850595004,-5187.979850595004,-5295.658504829471,-3763.7790179643657,-4948.600629685978,-5366.446139238074,-5650.010697492164,-3875.669319506784,-5650.010697492164,-5295.658504829471,-5295.658504829471,-5650.010697492164,-5949.339740220179
YAL023C,-2330.1080357142855,-1132.622222222222,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-1125.622222222222,-1125.622222222222,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855,-2330.1080357142855
YAL029C,-632.5,-755.5,-632.5,-632.5,-632.5,-632.5,-632.5,-632.5,-1267.1149425287356,-755.5,-755.5,-755.5,-755.5,-755.5,-755.5,-632.5,-632.5,-632.5,-755.5,-755.5,-632.5,-632.5
YAL034C,-1911.3416666666667,-1956.2083333333335,-1911.3416666666667,-1911.3416666666667,-1911.3416666666667,-1690.4817016317015,-1911.3416666666667,-1911.3416666666667,-2720.9015037593986,-2722.954761904762,-2722.954761904762,-2688.5372180451127,-1911.3416666666667,-2789.742118226601,-2698.842118226601,-1911.3416666666667,-1911.3416666666667,-1911.3416666666667,-2779.437218045113,-2779.437218045113,-1911.3416666666667,-1911.3416666666667
YAL035W,-3278.2767027863774,-3278.2767027863774,-3278.2767027863774,-3278.2767027863774,-3278.2767027863774,-2214.6980392156865,-3278.2767027863774,-3278.2767027863774,-2844.1175618073316,-2603.5833333333335,-2603.5833333333335,-2603.5833333333335,-3278.2767027863774,-2844.1175618073316,-2559.7738095238096,-3278.2767027863774,-3278.2767027863774,-3278.2767027863774,-2844.1175618073316,-2844.1175618073316,-3278.2767027863774,-2640.8856209150326
YAL036C,-3649.8839285714284,-3649.8839285714284,-3649.8839285714284,-3265.616883116883,-3649.8839285714284,-3649.8839285714284,-3649.8839285714284,-3649.8839285714284,-3265.616883116883,-3265.616883116883,-3265.616883116883,-3265.616883116883,-3588.3591671486415,-3265.616883116883,-4042.812056737588,-3649.8839285714284,-3649.8839285714284,-3649.8839285714284,-3265.616883116883,-3265.616883116883,-3649.8839285714284,-3649.8839285714284
YAL038W,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3010.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665,-3000.6666666666665
YAL039C,-661.8080808080808,-650.1756272401433,-650.1756272401433,-650.1756272401433,-1328.1554054054054,-650.1756272401433,-650.1756272401433,-1328.1554054054054,-1318.4054054054054,-692.5772946859903,-692.5772946859903,-1323.2804054054054,-661.8080808080808,-692.5772946859903,-659.3472222222222,-1328.1554054054054,-1328.1554054054054,-1328.1554054054054,-510.2777777777777,-510.2777777777777,-1328.1554054054054,-650.1756272401433
YAL049C,-2099.4957555178266,-1867.4957555178264,-1886.592529711375,-1886.592529711375,-1886.592529711375,-1886.592529711375,-1886.592529711375,-1886.592529711375,-2083.3483870967743,-1804.9565217391307,-1804.9565217391307,-1867.4957555178264,-1913.5882352941176,-2118.394540942928,-1867.4957555178264,-1886.592529711375,-1886.592529711375,-1886.592529711375,-1804.9565217391307,-1804.9565217391307,-1886.592529711375,-1836.114035087719
YAL053W,-782.7415458937198,-784.5933977455717,-837.9714285714285,-837.9714285714285,-837.9714285714285,-1130.9666666666667,-837.9714285714285,-837.9714285714285,-837.9714285714285,-784.5933977455717,-784.5933977455717,-784.5933977455717,-784.5933977455717,-696.2558893280632,-772.4565217391305,-837.9714285714285,-837.9714285714285,-837.9714285714285,-784.5933977455717,-784.5933977455717,-837.9714285714285,-784.5933977455717
YAL060W,-3747.979487179487,-4461.6424908424915,-3747.979487179487,-4253.210822510822,-3747.979487179487,-3747.979487179487,-3747.979487179487,-3747.979487179487,-3146.781818181818,-3924.350140056022,-3924.350140056022,-3714.5564102564103,-2485.690476190476,-2441.0555555555557,-3927.30056980057,-3747.979487179487,-3747.979487179487,-3747.979487179487,-3146.781818181818,-3146.781818181818,-3747.979487179487,-3747.979487179487
YAR002C-A,-1350.6,-1350.6,-1298.625,-1353.888888888889,-1353.888888888889,-1353.888888888889,-1353.888888888889,-1353.888888888889,-1350.6,-1350.6,-1350.6,-1350.6,-1350.6,-1350.6,-1122.9166666666667,-1353.888888888889,-1353.888888888889,-1353.888888888889,-1350.6,-1350.6,-1353.888888888889,-1350.6
YAR007C,-979.1681818181817,-1404.0616666666667,-745.3971177944861,-745.3971177944861,-745.3971177944861,-745.3971177944861,-745.3971177944861,-745.3971177944861,-1404.0616666666667,-868.6388888888889,-868.6388888888889,-979.1681818181817,-745.3971177944861,-1404.0616666666667,-979.1681818181817,-745.3971177944861,-745.3971177944861,-745.3971177944861,-979.1681818181817,-979.1681818181817,-745.3971177944861,-767.0
YAR008W,-1647.0,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-1647.0,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013,-2537.987012987013
YAR015W,-2588.17735042735,-2588.17735042735,-2828.6850427350423,-2828.6850427350423,-2828.6850427350423,-2828.6850427350423,-2866.96282051282,-2828.6850427350423,-2588.17735042735,-2820.005555555555,-2820.005555555555,-2588.17735042735,-2828.6850427350423,-2588.17735042735,-2238.4210526315787,-2828.6850427350423,-2828.6850427350423,-2828.6850427350423,-2588.17735042735,-2588.17735042735,-2828.6850427350423,-2828.6850427350423
YAR018C,-1499.5696969696971,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1499.5696969696971,-1367.466666666667,-1367.466666666667,-1366.9666666666667,-1499.5696969696971,-1335.0583333333332,-1499.5696969696971,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667,-1366.9666666666667
YAR042W,-3598.814104019986,-4263.125,-4263.125,-4263.125,-4392.5,-4263.125,-4392.5,-4263.125,-4829.5,-4052.666666666667,-4052.666666666667,-3966.2123348912824,-4641.5,-3006.931372549019,-4263.125,-4263.125,-4263.125,-4263.125,-4401.212334891283,-4401.212334891283,-4392.5,-3898.125
YBL002W,-5788.788632119514,-5653.788632119514,-5788.788632119514,-5788.788632119514,-5788.788632119514,-5788.788632119514,-5788.788632119514,-5788.788632119514,-5653.788632119514,-5653.788632119514,-5653.788632119514,-5653.788632119514,-5653.788632119514,-5653.788632119514,-5653.788632119514,-5788.788632119514,-5788.788632119514,-5788.788632119514,-5653.788632119514,-5653.788632119514,-5788.788632119514,-5788.788632119514
YBL004W,-609.7619047619048,-853.7467532467533,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-853.7467532467533,-853.7467532467533,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048,-609.7619047619048
YBL015W,-6153.057855339105,-5668.10162601626,-5965.057855339105,-5965.057855339105,-5907.057855339105,-5965.057855339105,-5965.057855339105,-5907.057855339105,-5668.10162601626,-5668.10162601626,-5668.10162601626,-5668.10162601626,-5965.057855339105,-5668.10162601626,-5668.10162601626,-5907.057855339105,-5965.057855339105,-5907.057855339105,-5692.371794871795,-5692.371794871795,-5907.057855339105,-5988.807427988679
YBL016W,-2664.2623188405796,-2868.0938977879473,-2664.2623188405796,-2664.2623188405796,-2664.2623188405796,-2912.4623188405794,-2664.2623188405796,-2664.2623188405796,-2868.0938977879473,-2149.3123188405793,-2149.3123188405793,-2498.6203357182167,-2664.2623188405796,-2868.0938977879473,-2868.0938977879473,-2664.2623188405796,-2664.2623188405796,-2664.2623188405796,-2238.3123188405793,-2238.3123188405793,-2664.2623188405796,-2868.0938977879473
YBL017C,-799.651948051948,-1296.352564102564,-799.651948051948,-799.651948051948,-799.651948051948,-799.651948051948,-799.651948051948,-799.651948051948,-1342.4600456621004,-799.651948051948,-799.651948051948,-1270.9235294117645,-799.651948051948,-1342.4600456621004,-1342.4600456621004,-799.651948051948,-799.651948051948,-799.651948051948,-1270.9235294117645,-1270.9235294117645,-799.651948051948,-1336.6801075268816
