gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-161.11764705882354,-161.11764705882354,437.2941176470588,437.2941176470588,437.2941176470588,437.2941176470588,437.2941176470588,437.2941176470588,-161.11764705882354,-204.58823529411762,-204.58823529411762,-161.11764705882354,437.2941176470588,-161.11764705882354,-17.35294117647059,437.2941176470588,437.2941176470588,437.2941176470588,-161.11764705882354,-161.11764705882354,437.2941176470588,437.2941176470588
YAL003W,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177,341.05882352941177
YAL005C,251.70588235294116,251.70588235294116,1.705882352941174,1.705882352941174,251.70588235294116,1.705882352941174,-173.58823529411762,1.705882352941174,251.70588235294116,251.70588235294116,251.70588235294116,251.70588235294116,251.70588235294116,251.70588235294116,251.70588235294116,1.705882352941174,1.705882352941174,1.705882352941174,-50.176470588235304,-50.176470588235304,251.70588235294116,1.705882352941174
YAL007C,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411,38.47058823529411
YAL012W,-182.52941176470586,-182.52941176470586,-191.0,-191.0,-110.70588235294117,98.82352941176471,-110.70588235294117,-110.70588235294117,15.882352941176471,98.82352941176471,98.82352941176471,15.882352941176471,-182.52941176470586,98.82352941176471,15.882352941176471,-110.70588235294117,-110.70588235294117,-110.70588235294117,15.882352941176471,15.882352941176471,-110.70588235294117,-191.0
YAL021C,267.88235294117646,227.8823529411764,267.88235294117646,267.88235294117646,312.70588235294116,269.0,312.70588235294116,312.70588235294116,435.70588235294116,435.70588235294116,435.70588235294116,435.70588235294116,435.70588235294116,435.70588235294116,435.70588235294116,312.70588235294116,267.88235294117646,312.70588235294116,435.70588235294116,435.70588235294116,312.70588235294116,435.70588235294116
YAL023C,69.05882352941177,47.82352941176471,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,47.82352941176471,47.82352941176471,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177,69.05882352941177
YAL029C,-124.29411764705881,-198.2941176470588,-124.29411764705881,-124.29411764705881,-124.29411764705881,-124.29411764705881,-124.29411764705881,-124.29411764705881,-103.0,-224.17647058823528,-224.17647058823528,-224.17647058823528,-206.76470588235293,-206.76470588235293,-224.17647058823528,-124.29411764705881,-124.29411764705881,-124.29411764705881,-206.76470588235293,-206.76470588235293,-124.29411764705881,-124.29411764705881
YAL034C,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,401.6470588235295,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006,368.00000000000006
YAL035W,-250.29411764705884,-250.29411764705884,-250.29411764705884,-250.29411764705884,-250.29411764705884,-250.29411764705884,-250.29411764705884,-250.29411764705884,-392.1764705882353,-521.3529411764706,-521.3529411764706,-521.3529411764706,-250.29411764705884,-392.1764705882353,-507.2352941176471,-250.29411764705884,-250.29411764705884,-250.29411764705884,-392.1764705882353,-392.1764705882353,-250.29411764705884,-250.29411764705884
YAL036C,-330.1176470588235,-330.1176470588235,-330.1176470588235,-63.7058823529412,-330.1176470588235,-330.1176470588235,-330.1176470588235,-330.1176470588235,-63.7058823529412,-63.7058823529412,-63.7058823529412,-63.7058823529412,-4.647058823529434,-63.7058823529412,-36.529411764705884,-330.1176470588235,-330.1176470588235,-330.1176470588235,-63.7058823529412,-63.7058823529412,-330.1176470588235,-330.1176470588235
YAL038W,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294,-45.76470588235294
YAL039C,-136.0,-104.47058823529412,-104.47058823529412,-104.47058823529412,216.88235294117646,-104.47058823529412,-104.47058823529412,216.88235294117646,65.70588235294119,330.9411764705883,330.9411764705883,63.411764705882355,-136.0,330.9411764705883,334.2352941176471,216.88235294117646,216.88235294117646,216.88235294117646,305.17647058823525,305.17647058823525,216.88235294117646,-104.47058823529412
YAL049C,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665,-20.352941176470665
YAL053W,369.76470588235287,369.76470588235287,121.94117647058825,121.94117647058825,121.94117647058825,175.41176470588235,121.94117647058825,121.94117647058825,121.94117647058825,369.76470588235287,369.76470588235287,369.76470588235287,369.76470588235287,369.76470588235287,369.76470588235287,121.94117647058825,121.94117647058825,121.94117647058825,369.76470588235287,369.76470588235287,121.94117647058825,369.76470588235287
YAL060W,113.00000000000001,119.76470588235296,113.00000000000001,113.00000000000001,113.00000000000001,113.00000000000001,113.00000000000001,113.00000000000001,432.70588235294116,70.4705882352941,70.4705882352941,119.76470588235296,75.05882352941177,75.05882352941177,113.00000000000001,113.00000000000001,113.00000000000001,113.00000000000001,432.70588235294116,432.70588235294116,113.00000000000001,113.00000000000001
YAR002C-A,-236.47058823529414,-236.47058823529414,-271.0,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-12.0,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414,-236.47058823529414
YAR007C,236.58823529411765,-12.176470588235293,82.05882352941177,82.05882352941177,82.05882352941177,82.05882352941177,82.05882352941177,82.05882352941177,-12.176470588235293,19.000000000000007,19.000000000000007,236.58823529411765,82.05882352941177,-12.176470588235293,236.58823529411765,82.05882352941177,82.05882352941177,82.05882352941177,236.58823529411765,236.58823529411765,82.05882352941177,-111.47058823529412
YAR008W,111.23529411764707,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,111.23529411764707,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352,-124.11764705882352
YAR015W,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,404.82352941176475,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,77.76470588235297,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235,159.41176470588235
YAR018C,24.529411764705877,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,24.529411764705877,58.41176470588235,58.41176470588235,41.23529411764706,24.529411764705877,-8.470588235294125,24.529411764705877,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706,41.23529411764706
YAR042W,386.8823529411764,-480.88235294117646,-480.88235294117646,-480.88235294117646,-217.88235294117646,-480.88235294117646,-217.88235294117646,-480.88235294117646,-217.88235294117646,-208.99999999999997,-208.99999999999997,-120.58823529411764,-212.47058823529412,-97.29411764705883,-480.88235294117646,-480.88235294117646,-480.88235294117646,-480.88235294117646,-120.58823529411764,-120.58823529411764,-217.88235294117646,-459.7647058823529
YBL002W,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646,181.88235294117646
YBL004W,423.5882352941177,223.1764705882353,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,223.1764705882353,223.1764705882353,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177,423.5882352941177
YBL015W,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,130.58823529411765,139.05882352941177,139.05882352941177,130.58823529411765,139.05882352941177
YBL016W,4.235294117647051,75.05882352941177,4.235294117647051,4.235294117647051,4.235294117647051,-48.35294117647058,4.235294117647051,4.235294117647051,75.05882352941177,448.1764705882353,448.1764705882353,230.6470588235294,4.235294117647051,75.05882352941177,75.05882352941177,4.235294117647051,4.235294117647051,4.235294117647051,498.47058823529403,498.47058823529403,4.235294117647051,75.05882352941177
YBL017C,25.94117647058824,-199.05882352941177,25.94117647058824,25.94117647058824,25.94117647058824,25.94117647058824,25.94117647058824,25.94117647058824,-274.7058823529412,25.94117647058824,25.94117647058824,-51.88235294117648,25.94117647058824,-274.7058823529412,-274.7058823529412,25.94117647058824,25.94117647058824,25.94117647058824,-51.88235294117648,-51.88235294117648,25.94117647058824,-228.82352941176472
YBL020W,347.0,-195.35294117647058,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,-195.35294117647058,347.0,347.0,347.0,347.0,347.0,347.0,347.0,-195.35294117647058
YBL022C,448.05882352941177,448.05882352941177,448.05882352941177,448.05882352941177,448.05882352941177,448.05882352941177,448.05882352941177,448.05882352941177,457.4117647058826,457.4117647058826,457.4117647058826,457.4117647058826,448.05882352941177,448.05882352941177,457.4117647058826,448.05882352941177,448.05882352941177,448.05882352941177,457.4117647058826,457.4117647058826,448.05882352941177,448.05882352941177
YBL024W,86.7058823529411,11.764705882352935,86.7058823529411,86.7058823529411,86.7058823529411,86.7058823529411,86.7058823529411,86.7058823529411,11.764705882352935,11.764705882352935,11.764705882352935,11.764705882352935,11.764705882352935,11.764705882352935,11.764705882352935,86.7058823529411,86.7058823529411,86.7058823529411,11.764705882352935,11.764705882352935,86.7058823529411,11.764705882352935
YBL026W,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472,230.82352941176472
YBL030C,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-120.94117647058823,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059,-309.5294117647059
YBL032W,113.82352941176468,247.35294117647052,-33.41176470588235,-33.41176470588235,-33.41176470588235,-33.41176470588235,-33.41176470588235,-33.41176470588235,247.35294117647052,125.70588235294115,125.70588235294115,125.70588235294115,247.35294117647052,243.94117647058818,247.35294117647052,-33.41176470588235,-33.41176470588235,-33.41176470588235,125.70588235294115,125.70588235294115,-33.41176470588235,-33.41176470588235
YBL039C,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818,224.94117647058818
YBL040C,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,386.5294117647059,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,386.5294117647059,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176,269.5882352941176
YBL041W,364.76470588235287,364.76470588235287,364.76470588235287,364.76470588235287,364.4705882352941,364.76470588235287,364.76470588235287,364.4705882352941,364.76470588235287,127.8235294117647,127.8235294117647,127.8235294117647,127.8235294117647,127.8235294117647,364.76470588235287,364.4705882352941,364.76470588235287,364.4705882352941,169.6470588235294,169.6470588235294,153.17647058823528,364.76470588235287
YBL045C,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055,-51.35294117647055
YBL047C,65.6470588235294,65.6470588235294,65.6470588235294,65.6470588235294,40.64705882352939,38.52941176470587,65.6470588235294,40.64705882352939,251.76470588235296,65.6470588235294,65.6470588235294,-4.529411764705891,-191.64705882352942,-165.76470588235293,251.76470588235296,40.64705882352939,150.7058823529412,40.64705882352939,65.6470588235294,65.6470588235294,40.64705882352939,-165.76470588235293
YBL050W,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,204.70588235294122,204.70588235294122,31.70588235294117,204.70588235294122,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117,31.70588235294117
YBL057C,19.235294117647072,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473,25.82352941176473
YBL064C,141.88235294117646,141.88235294117646,141.88235294117646,176.0,141.88235294117646,141.88235294117646,141.88235294117646,141.88235294117646,176.47058823529412,-122.76470588235293,-122.76470588235293,141.88235294117646,-122.76470588235293,175.0,176.47058823529412,141.88235294117646,141.88235294117646,141.88235294117646,-122.76470588235293,-122.76470588235293,141.88235294117646,141.88235294117646
