gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-99794.25806451614,-99659.25806451614,-100182.04047619046,-100342.04047619046,-99250.3813852814,-100342.04047619046,-100342.04047619046,-99250.3813852814,-99357.25806451614,-98207.54675763723,-98207.54675763723,-100002.25806451614,-100270.04047619046,-99598.25806451614,-100422.38888888886,-99250.3813852814,-99250.3813852814,-99250.3813852814,-100015.25806451614,-100015.25806451614,-99250.3813852814,-99700.04047619046
YAL003W,-19249.73849206349,-19561.901151444185,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19379.102380952383,-19413.73849206349,-19305.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19335.161111111112,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19249.73849206349,-19413.73849206349,-19249.73849206349
YAL005C,-63772.9523931624,-63287.9523931624,-63046.33452380952,-63264.33452380952,-62681.9523931624,-63264.33452380952,-63619.44355742298,-62931.33452380952,-63664.9523931624,-63667.4523931624,-63667.4523931624,-62966.9523931624,-62611.401111111125,-63396.901111111125,-63484.9523931624,-63029.33452380952,-62441.477380952376,-62866.33452380952,-62987.60119047619,-62987.60119047619,-62632.9523931624,-63166.33452380952
YAL007C,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17300.488709677422,-17300.488709677422,-17217.38870967742,-17227.38870967742,-17172.921895424843,-17266.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742,-17227.38870967742
YAL012W,-37190.359018759016,-37484.359018759016,-37556.359018759016,-37556.359018759016,-37552.99371263657,-37863.839393939386,-37552.99371263657,-37552.99371263657,-38052.907828282834,-38363.827614544636,-38363.827614544636,-38649.96666666667,-37484.359018759016,-38515.7905775076,-37970.96666666667,-37552.99371263657,-37552.99371263657,-37552.99371263657,-37913.96666666667,-37913.96666666667,-37552.99371263657,-37556.359018759016
YAL021C,-77905.4606804932,-75493.90281124799,-77347.4606804932,-77347.4606804932,-74426.4202548888,-77388.94785998037,-74426.4202548888,-74426.4202548888,-74975.39569139673,-75845.93681607165,-75845.93681607165,-76609.47149517052,-77857.35098203561,-75746.529370314,-75699.68386076191,-74426.4202548888,-77322.4606804932,-74426.4202548888,-76609.47149517052,-76609.47149517052,-74426.4202548888,-75249.95421582379
YAL023C,-76968.59348370928,-77326.40833333334,-77395.1761904762,-77395.1761904762,-77285.1761904762,-77395.1761904762,-77449.1761904762,-77285.1761904762,-76381.1761904762,-77058.40833333334,-77058.40833333334,-76850.1761904762,-77290.1761904762,-76598.59348370928,-76907.1761904762,-77285.1761904762,-76950.59348370928,-77285.1761904762,-76923.1761904762,-76923.1761904762,-77285.1761904762,-76947.59348370928
YAL029C,-123315.72222222223,-123124.51538461537,-123371.72222222223,-123224.72222222223,-123468.72222222223,-123315.72222222223,-123315.72222222223,-123468.72222222223,-122877.42200328408,-122756.53703703705,-122756.53703703705,-123151.53703703705,-123125.13809523807,-123508.13809523807,-123648.53703703705,-123468.72222222223,-123371.72222222223,-123468.72222222223,-122734.13809523807,-122734.13809523807,-123468.72222222223,-123643.72222222223
YAL034C,-32540.539285714287,-32571.67261904762,-32540.539285714287,-32540.539285714287,-32540.539285714287,-33004.352547452545,-32540.539285714287,-32540.539285714287,-32255.195488721813,-31626.273477812167,-31626.273477812167,-31928.76215538848,-32540.539285714287,-31497.2743226601,-31019.174322660107,-32540.539285714287,-32540.539285714287,-32540.539285714287,-31837.862155388477,-31837.862155388477,-32540.539285714287,-32540.539285714287
YAL035W,-83816.17066563468,-83836.17066563468,-84232.17066563468,-84232.17066563468,-84232.17066563468,-86136.80196078433,-84232.17066563468,-84232.17066563468,-86481.38243819265,-85588.5,-85332.5,-84895.5,-84460.17066563468,-85829.38243819265,-85276.11904761905,-84232.17066563468,-84220.17066563468,-84232.17066563468,-85784.38243819265,-85913.38243819265,-84232.17066563468,-85586.8366013072
