gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-355.29032258064524,-355.29032258064524,24.25,24.25,-704.9090909090909,24.25,24.25,-704.9090909090909,-355.29032258064524,-923.4090909090908,-923.4090909090908,-355.29032258064524,24.25,-355.29032258064524,-304.0,-704.9090909090909,-704.9090909090909,-704.9090909090909,-355.29032258064524,-355.29032258064524,-704.9090909090909,24.25
YAL005C,-796.526282051282,-796.526282051282,-381.625,-381.625,-796.526282051282,-381.625,-381.625,-381.625,-796.526282051282,-796.526282051282,-796.526282051282,-796.526282051282,-814.1416666666668,-702.4317460317461,-796.526282051282,-381.625,-381.625,-381.625,-381.625,-381.625,-796.526282051282,-381.625
YAL021C,-760.1199999999999,-824.1675824175824,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-1674.6523809523808,-1674.6523809523808,-864.7061538461537,-774.3333333333335,-774.3333333333335,-760.1199999999999,-760.1199999999999,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-808.9175824175824
YAL023C,-2893.9056234335844,-3223.9694444444444,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-3216.9694444444444,-3216.9694444444444,-2455.4657738095248,-2455.4657738095248,-2904.9056234335844,-2455.4657738095248,-2455.4657738095248,-2904.9056234335844,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2455.4657738095248,-2904.9056234335844
YAL029C,-819.7777777777777,-941.3846153846154,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-745.7487684729064,-832.9629629629628,-832.9629629629628,-832.9629629629628,-822.7619047619047,-822.7619047619047,-832.9629629629628,-819.7777777777777,-819.7777777777777,-819.7777777777777,-822.7619047619047,-822.7619047619047,-819.7777777777777,-819.7777777777777
YAL034C,-2713.348214285714,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2467.225274725274,-2707.348214285714,-2707.348214285714,-2800.929793233083,-2549.688426949727,-2549.688426949727,-2800.929793233083,-2707.348214285714,-3503.9002257799666,-3503.9002257799666,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2800.929793233083,-2800.929793233083,-2707.348214285714,-2707.348214285714
YAL035W,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-186.5,-1066.5526315789473,-1066.5526315789473,-186.5,-974.9166666666665,-974.9166666666665,-974.9166666666665,-1066.5526315789473,-186.5,-1120.107142857143,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-186.5,-186.5,-1066.5526315789473,-472.77777777777777
YAL036C,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-553.0535714285714,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-656.3831168831169,-656.3831168831169,-656.3831168831169,-1083.3968253968255,-656.3831168831169,-439.6428571428572,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-656.3831168831169,-553.0535714285714,-553.0535714285714
YAL039C,-812.8107389686337,-808.6562912657989,-808.6562912657989,-808.6562912657989,-478.3918918918919,-808.6562912657989,-808.6562912657989,-478.3918918918919,-478.3918918918919,-943.50902618866,-943.50902618866,-478.3918918918919,-812.8107389686337,-943.50902618866,-1031.5063131313134,-478.3918918918919,-478.3918918918919,-478.3918918918919,-777.0380116959063,-777.0380116959063,-478.3918918918919,-808.6562912657989
YAL060W,-2480.4395021645028,-1729.6521739130435,-2480.4395021645028,-1704.1029718029718,-2480.4395021645028,-2480.4395021645028,-2480.4395021645028,-2480.4395021645028,-2480.4395021645028,-1712.6521739130435,-1712.6521739130435,-1767.4444816053513,-1731.1833333333332,-2197.433333333333,-1649.8444816053513,-2480.4395021645028,-2480.4395021645028,-2480.4395021645028,-2480.4395021645028,-2463.4395021645028,-2474.074025974026,-2480.4395021645028
