gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-193.22222222222226,-193.22222222222226,-221.33333333333331,-221.33333333333331,-192.0,-221.33333333333331,-221.33333333333331,-192.0,-193.22222222222226,57.99999999999999,57.99999999999999,-193.22222222222226,-221.33333333333331,-193.22222222222226,-73.2222222222222,-192.0,-192.0,-192.0,-193.22222222222226,-193.22222222222226,-192.0,-221.33333333333331
YAL005C,2.0,2.0,-59.0,-59.0,2.0,-59.0,-59.0,-59.0,2.0,2.0,2.0,2.0,2.0,-157.0,2.0,-59.0,-59.0,-59.0,-59.0,-59.0,2.0,-59.0
YAL007C,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-296.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0
YAL012W,-364.88888888888886,-364.88888888888886,-364.88888888888886,-364.88888888888886,-275.8888888888889,-211.55555555555557,-275.8888888888889,-275.8888888888889,178.22222222222226,-133.77777777777777,-133.77777777777777,-267.6666666666667,-364.88888888888886,-121.66666666666669,-267.6666666666667,-275.8888888888889,-275.8888888888889,-275.8888888888889,-267.6666666666667,-267.6666666666667,-275.8888888888889,-364.88888888888886
YAL021C,59.55555555555557,-39.33333333333333,59.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,-178.55555555555557,-178.55555555555557,-226.11111111111111,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,59.55555555555557,-178.55555555555557,-39.33333333333333
YAL023C,-107.88888888888887,-123.44444444444444,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-121.88888888888887,-121.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887,-107.88888888888887
YAL029C,-313.22222222222223,-216.0,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-137.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-313.22222222222223,-313.22222222222223,-313.22222222222223,-216.0,-216.0,-313.22222222222223,-313.22222222222223
YAL034C,-89.1111111111111,-89.1111111111111,-89.1111111111111,-89.1111111111111,-89.1111111111111,-125.55555555555556,-89.1111111111111,-89.1111111111111,-171.44444444444446,-68.0,-68.0,-171.44444444444446,-89.1111111111111,-198.5555555555556,-198.5555555555556,-89.1111111111111,-89.1111111111111,-89.1111111111111,-171.44444444444446,-171.44444444444446,-89.1111111111111,-89.1111111111111
YAL035W,-105.33333333333334,-105.33333333333334,-105.33333333333334,-105.33333333333334,-105.33333333333334,199.3333333333333,-105.33333333333334,-105.33333333333334,199.3333333333333,102.44444444444444,102.44444444444444,102.44444444444444,-105.33333333333334,199.3333333333333,102.44444444444444,-105.33333333333334,-105.33333333333334,-105.33333333333334,199.3333333333333,199.3333333333333,-105.33333333333334,-9.444444444444443
YAL036C,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-231.33333333333337,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114,-42.111111111111114
