"gene","X273614N","X378604X","BC187","DBVPG1106","DBVPG1373","DBVPG6765","L_1374","NCYC361","SK1","UWOPS05_217_3","UWOPS05_227_2","UWOPS83_787_3","UWOPS87_2421","Y12","Y55","YJM975","YJM978","YJM981","YPS128","YPS606","YS2","YS9"
"YBR230C",-119.14,-120.41,-120.41,-119.91,-119.91,-119.42,-119.91,-119.91,-120.22,-121.3,-121.3,-120.66,-120.41,-120.22,-120.41,-119.91,-119.42,-119.42,-119.51,-119.51,-119.91,-120.66
"YGR043C",-396.7,-395.89,-395.13,-396.7,-396.7,-396.7,-396.7,-396.7,-400.32,-402.06,-402.06,-400.22,-397.02,-397.09,-396.7,-396.7,-396.7,-396.7,-393.9,-393.9,-396.7,-396.61
"YGR248W",-266.16,-266.16,-266.84,-266.16,-265.15,-264.88,-266.16,-265.15,-270.57,-267.63,-267.63,-268.4,-273.24,-265.25,-265.15,-265.15,-265.15,-266.84,-267.57,-267.57,-265.15,-265.15
"YKL215C",-1319.85,-1324.06,-1322.42,-1320.58,-1320.58,-1319.51,-1320.58,-1320.58,-1317.97,-1308.17,-1308.17,-1314.28,-1309.2,-1315.53,-1317.07,-1320.58,-1316.37,-1316.37,-1311.16,-1311.16,-1320.58,-1317.61
"YJL212C",-820.03,-822.4,-822.74,-823.79,-824.72,-825.41,-822.43,-824.72,-817.42,-825.12,-825.12,-822.3,-822.63,-812.48,-823.08,-824.72,-824.72,-824.72,-818.92,-818.92,-824.72,-822.53
"YER100W",-293.79,-296.82,-293.79,-293.79,-293.79,-293.79,-293.79,-292.69,-292.69,-294.53,-294.53,-292.69,-292.69,-292.69,-294.29,-293.79,-293.79,-293.79,-292.67,-292.67,-293.96,-292.69
"YDL215C",-1082.65,-1096.92,-1083.71,-1084.26,-1083.84,-1085.03,-1084.37,-1083.84,-1094.59,-1096.06,-1096.06,-1091.13,-1095.3,-1090.65,-1084.26,-1083.84,-1083.84,-1083.84,-1091.71,-1091.71,-1083.84,-1085.57
"YDL049C",-361.62,-359.49,-360.81,-360.89,-359.65,-360.89,-359.32,-359.65,-366.41,-358,-358,-359.79,-359.17,-361.49,-366.41,-359.65,-359.65,-359.65,-362.36,-362.36,-359.49,-361.43
"YEL047C",-502.18,-505.78,-506.22,-506.22,-505.64,-506.22,-506.22,-505.64,-507.64,-504.87,-504.87,-505.63,-506.22,-504.26,-507.64,-505.64,-505.64,-505.64,-510.32,-510.32,-505.64,-503.12
"YPR180W",-320.16,-319.57,-325.37,-325.37,-326.29,-325.37,-325.37,-326.29,-318.67,-315.19,-315.19,-316.38,-317.91,-319.68,-318.67,-326.29,-326.29,-325.37,-315.97,-315.97,-326.29,-326.02
