gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-193.22222222222223,-193.22222222222223,-221.33333333333334,-221.33333333333334,-192.0,-221.33333333333334,-221.33333333333334,-192.0,-193.22222222222223,57.99999999999999,57.99999999999999,-193.22222222222223,-221.33333333333334,-193.22222222222223,-73.22222222222221,-192.0,-192.0,-192.0,-193.22222222222223,-193.22222222222223,-192.0,-221.33333333333334
YAL005C,2.0,2.0,-59.0,-59.0,2.0,-59.0,-59.0,-59.0,2.0,2.0,2.0,2.0,2.0,-157.0,2.0,-59.0,-59.0,-59.0,-59.0,-59.0,2.0,-59.0
YAL007C,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-296.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0,-167.0
YAL012W,-364.8888888888889,-364.8888888888889,-364.8888888888889,-364.8888888888889,-275.8888888888889,-211.55555555555554,-275.8888888888889,-275.8888888888889,178.22222222222223,-133.77777777777777,-133.77777777777777,-267.6666666666667,-364.8888888888889,-121.66666666666667,-267.6666666666667,-275.8888888888889,-275.8888888888889,-275.8888888888889,-267.6666666666667,-267.6666666666667,-275.8888888888889,-364.8888888888889
YAL021C,59.55555555555557,-39.33333333333333,59.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,-178.55555555555557,-178.55555555555557,-226.11111111111111,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,-178.55555555555557,59.55555555555557,59.55555555555557,-178.55555555555557,-39.33333333333333
YAL023C,-107.88888888888889,-123.44444444444446,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-121.88888888888889,-121.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889,-107.88888888888889
YAL029C,-313.22222222222223,-216.0,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-313.22222222222223,-137.0,-216.0,-216.0,-216.0,-216.0,-216.0,-216.0,-313.22222222222223,-313.22222222222223,-313.22222222222223,-216.0,-216.0,-313.22222222222223,-313.22222222222223
YAL034C,-89.11111111111111,-89.11111111111111,-89.11111111111111,-89.11111111111111,-89.11111111111111,-125.55555555555554,-89.11111111111111,-89.11111111111111,-171.44444444444446,-68.0,-68.0,-171.44444444444446,-89.11111111111111,-198.55555555555557,-198.55555555555557,-89.11111111111111,-89.11111111111111,-89.11111111111111,-171.44444444444446,-171.44444444444446,-89.11111111111111,-89.11111111111111
YAL035W,-105.33333333333334,-105.33333333333334,-105.33333333333334,-105.33333333333334,-105.33333333333334,199.33333333333331,-105.33333333333334,-105.33333333333334,199.33333333333331,102.44444444444444,102.44444444444444,102.44444444444444,-105.33333333333334,199.33333333333331,102.44444444444444,-105.33333333333334,-105.33333333333334,-105.33333333333334,199.33333333333331,199.33333333333331,-105.33333333333334,-9.444444444444445
YAL036C,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-231.33333333333337,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111,-42.11111111111111
YAL038W,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0
YAL039C,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-77.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0
YAL049C,20.555555555555557,20.555555555555557,20.555555555555557,20.555555555555557,20.555555555555557,20.555555555555557,20.555555555555557,20.555555555555557,-65.22222222222223,-123.0,-123.0,20.555555555555557,-109.55555555555556,-28.777777777777782,-7.7777777777777715,20.555555555555557,20.555555555555557,20.555555555555557,-123.0,-123.0,20.555555555555557,20.555555555555557
YAL053W,18.555555555555543,1.8888888888888857,-110.7777777777778,-110.7777777777778,-110.7777777777778,-59.00000000000003,-110.7777777777778,-110.7777777777778,-110.7777777777778,1.8888888888888857,1.8888888888888857,1.8888888888888857,1.8888888888888857,-188.0,73.55555555555554,-110.7777777777778,-110.7777777777778,-110.7777777777778,1.8888888888888857,1.8888888888888857,-110.7777777777778,1.8888888888888857
YAL060W,-186.88888888888889,-116.22222222222221,-186.88888888888889,-22.0,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-116.22222222222221,-116.22222222222221,-171.88888888888889,-87.66666666666669,-116.22222222222221,-171.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889,-186.88888888888889
YAR002C-A,-86.1111111111111,-86.1111111111111,187.44444444444446,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-88.44444444444444,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111,-86.1111111111111
YAR007C,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-30.88888888888889,-124.88888888888889
YAR008W,-165.0,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-165.0,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111,-241.11111111111111
YAR015W,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,-79.88888888888889,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556,66.55555555555556
YAR018C,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-203.55555555555557,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444,-73.44444444444444
YAR042W,180.00000000000003,22.5555555555556,22.5555555555556,22.5555555555556,-278.0,22.5555555555556,-278.0,22.5555555555556,-278.0,-285.7777777777778,-285.7777777777778,180.00000000000003,-327.44444444444446,-72.0,22.5555555555556,22.5555555555556,22.5555555555556,22.5555555555556,180.00000000000003,180.00000000000003,-278.0,22.5555555555556
YBL002W,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224,-126.22222222222224
YBL004W,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997,41.99999999999997
YBL015W,46.77777777777776,-195.0,46.77777777777776,46.77777777777776,46.77777777777776,46.77777777777776,46.77777777777776,46.77777777777776,-195.0,-195.0,-195.0,-195.0,46.77777777777776,-195.0,-195.0,46.77777777777776,46.77777777777776,46.77777777777776,-93.22222222222223,-93.22222222222223,46.77777777777776,46.77777777777776
YBL016W,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
