gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-97088.1797235023,-97153.1797235023,-97608.17172619047,-97768.17172619047,-97044.03115218115,-97768.17172619047,-97768.17172619047,-97044.03115218115,-96851.1797235023,-95453.16553469349,-95453.16553469349,-97496.1797235023,-97696.17172619047,-97092.1797235023,-97717.17936507937,-97044.03115218115,-97044.03115218115,-97044.03115218115,-97778.6797235023,-97778.6797235023,-97044.03115218115,-97126.17172619047
YAL003W,-16470.827777777777,-16968.38233540808,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16600.191666666666,-16615.702777777777,-16527.902777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16615.702777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16470.827777777777,-16615.702777777777,-16470.827777777777
YAL007C,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16912.78870967742,-16912.78870967742,-16490.78870967742,-16500.78870967742,-16446.321895424837,-16539.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742,-16500.78870967742
YAL021C,-64718.929649693026,-62543.815884322976,-64718.929649693026,-64718.929649693026,-59906.06067894559,-64760.416829180205,-59906.06067894559,-59906.06067894559,-61118.92847606819,-61631.827177689105,-61631.827177689105,-62983.53420160951,-63578.653201595065,-61948.4681182002,-62073.74656720091,-59906.06067894559,-64011.693752257124,-59906.06067894559,-62983.53420160951,-62983.53420160951,-59906.06067894559,-60404.99526832058
YAL023C,-73072.68157894738,-74057.56986215539,-73681.26904761905,-73681.26904761905,-73512.69285714286,-73681.26904761905,-73602.4857142857,-73512.69285714286,-72608.69285714286,-73996.9460526316,-73996.9460526316,-73077.69285714286,-73517.69285714286,-72702.68157894738,-73134.69285714286,-73512.69285714286,-73054.68157894738,-73512.69285714286,-73150.69285714286,-73150.69285714286,-73512.69285714286,-73051.68157894738
YAL029C,-107516.63788902205,-106346.21067996982,-106671.78247484162,-107653.74003267977,-107669.63788902205,-107516.63788902205,-107516.63788902205,-107669.63788902205,-106246.07496747674,-106296.83590067342,-106296.83590067342,-106269.19106761501,-105974.85372323457,-107882.34777057276,-106886.44169177773,-107669.63788902205,-106671.78247484162,-107669.63788902205,-105802.62297897883,-105802.62297897883,-107669.63788902205,-107844.63788902202
YAL034C,-24167.49924242424,-24198.632575757576,-24167.49924242424,-24167.49924242424,-24167.49924242424,-24004.276328702745,-24167.49924242424,-24167.49924242424,-23902.125939849626,-23567.095238095237,-23567.095238095237,-23839.69260651629,-24167.49924242424,-24006.707307060755,-23792.607307060756,-24167.49924242424,-24167.49924242424,-24167.49924242424,-23748.79260651629,-23748.79260651629,-24167.49924242424,-24167.49924242424
YAL035W,-70876.45483471763,-70910.081208344,-71337.5877018505,-71337.5877018505,-71337.5877018505,-74315.79758010522,-71337.5877018505,-71337.5877018505,-75048.87174890317,-72328.78692799073,-71725.24976190478,-72220.072090965,-71534.081208344,-74316.84955548683,-73708.93810298105,-71337.5877018505,-71325.5877018505,-71337.5877018505,-74061.53174890317,-74190.53174890317,-71337.5877018505,-74715.18581539934
YAL036C,-35516.149242424246,-35516.149242424246,-35516.149242424246,-34924.92696969697,-35516.149242424246,-35789.149242424246,-35516.149242424246,-35516.149242424246,-35227.24051808407,-35166.09696969698,-35166.09696969698,-35796.84696969697,-35562.18491654545,-35442.84696969697,-33947.626359338065,-35516.149242424246,-35516.149242424246,-35516.149242424246,-35145.17696969697,-35145.17696969697,-35516.149242424246,-35516.149242424246
YAL049C,-21846.554659498208,-21886.554659498208,-22055.9417562724,-22055.9417562724,-22055.9417562724,-22056.9417562724,-22056.9417562724,-22055.9417562724,-21886.554659498208,-21796.16808262535,-21796.16808262535,-21786.554659498208,-21496.658963585433,-21846.554659498208,-21715.554659498208,-22055.9417562724,-22055.9417562724,-22055.9417562724,-21927.16808262535,-21927.16808262535,-22055.9417562724,-21477.160256410254
YAL053W,-70538.16409474076,-71293.90448872787,-69847.42068311195,-69747.20381836945,-69847.42068311195,-70507.07424242423,-69829.48167680866,-69847.42068311195,-69847.42068311195,-70746.53372163264,-70746.53372163264,-71335.66448872787,-71624.43587193331,-70955.20039980866,-69770.14399585922,-69847.42068311195,-69847.42068311195,-69847.42068311195,-71193.90448872787,-71193.90448872787,-69847.42068311195,-70343.73694720214
YAL060W,-36631.56245143745,-36823.18567712481,-36631.56245143745,-37533.63340638341,-36631.56245143745,-36631.56245143745,-36631.56245143745,-36631.56245143745,-37177.896484071476,-37809.57243350569,-37809.57243350569,-37535.66919360832,-39218.20952380953,-38475.22998405104,-37704.21605970519,-36631.56245143745,-36631.56245143745,-36631.56245143745,-38108.042821067815,-38091.042821067815,-36395.844238520105,-37052.55878843379
YAR002C-A,-19534.399999999998,-19969.399999999998,-19906.83333333333,-19590.999999999996,-19590.999999999996,-19590.999999999996,-19590.999999999996,-19590.999999999996,-19969.399999999998,-19534.399999999998,-19534.399999999998,-19969.399999999998,-19561.399999999998,-20099.399999999998,-19527.5,-19590.999999999996,-19590.999999999996,-19590.999999999996,-19884.399999999998,-19884.399999999998,-19590.999999999996,-19561.399999999998
YAR007C,-47708.41304347827,-46960.091679389916,-47840.54790823212,-47504.54790823212,-47749.54790823212,-47454.54790823212,-47749.54790823212,-47749.54790823212,-46942.94882224705,-46358.14136185875,-46358.14136185875,-47271.48956521741,-47454.54790823212,-47039.94882224705,-47503.41304347827,-47749.54790823212,-47749.54790823212,-47749.54790823212,-46902.933043478275,-46902.933043478275,-47749.54790823212,-46932.932804232805
YAR008W,-17111.363981985756,-16772.539543789542,-17321.539543789546,-17321.539543789546,-17321.539543789546,-17321.539543789546,-17321.539543789546,-17321.539543789546,-16772.539543789542,-16501.539543789542,-16501.539543789542,-17332.539543789546,-17321.539543789546,-16713.539543789542,-17349.974600364665,-17321.539543789546,-17321.539543789546,-17321.539543789546,-16772.539543789542,-16772.539543789542,-17321.539543789546,-16772.539543789542
YAR018C,-34558.626731601726,-35037.22976190476,-34740.22976190476,-34907.22976190476,-34907.22976190476,-35124.60476190475,-34907.22976190476,-34907.22976190476,-34908.626731601726,-34802.06309523809,-34802.06309523809,-34968.22976190476,-34722.626731601726,-34082.23886946387,-34558.626731601726,-34907.22976190476,-34907.22976190476,-34907.22976190476,-35093.22976190476,-35093.22976190476,-34907.22976190476,-34907.22976190476
YAR042W,-81345.10517937459,-83291.71358387989,-83080.13683816187,-83096.68986846488,-82808.29170887989,-82986.71358387989,-82967.26799346488,-82937.71358387989,-81144.84186813005,-83921.67964722829,-83921.67964722829,-83133.29174993736,-81913.50514128909,-83407.60316716481,-83379.08010579884,-82937.71358387989,-83233.71358387989,-83233.71358387989,-83771.15758021692,-83771.15758021692,-82808.29170887989,-83378.29563769564
YBL004W,-183322.25403614668,-184567.36968897114,-184789.57345200374,-184706.57345200374,-184734.57345200374,-184885.57345200374,-184789.57345200374,-184734.57345200374,-185757.43130970333,-185337.1545497416,-185337.1545497416,-185139.83581663432,-184401.21114450568,-184842.1721059127,-185757.43130970333,-184734.57345200374,-184815.57345200374,-184734.57345200374,-184400.76099925613,-184400.76099925613,-184734.57345200374,-185444.97703799463
YBL015W,-52917.844230045324,-53771.617243867244,-52917.844230045324,-52917.844230045324,-52917.844230045324,-52917.844230045324,-52917.844230045324,-52917.844230045324,-54232.66194916195,-54193.66194916195,-54193.66194916195,-53551.10983460984,-52917.844230045324,-54581.66194916195,-54232.66194916195,-52917.844230045324,-52917.844230045324,-52917.844230045324,-54313.618725718734,-54313.618725718734,-52917.844230045324,-54211.368725718734
