gene,chr,start,stop,lead_or_lag
YAL069W,chrI,335,649,+
YAL068W-A,chrI,538,792,+
YAL068C,chrI,1807,2169,-
YAL067W-A,chrI,2480,2707,+
YAL067C,chrI,7235,9016,-
YAL066W,chrI,10091,10399,+
YAL065C,chrI,11565,11951,-
YAL064W-B,chrI,12046,12426,+
YAL064C-A,chrI,13363,13743,-
YAL064W,chrI,21566,21850,+
YAL063C-A,chrI,22395,22685,-
YAL063C,chrI,24000,27968,-
YAL062W,chrI,31567,32940,+
YAL061W,chrI,33448,34701,+
YAL060W,chrI,35155,36303,+
YAL059C-A,chrI,36496,36918,-
YAL059W,chrI,36509,37147,+
YAL058W,chrI,37464,38972,+
YAL056C-A,chrI,38696,39046,-
YAL056W,chrI,39259,41901,+
YAL055W,chrI,42177,42719,+
YAL054C,chrI,42881,45022,-
YAL053W,chrI,45899,48250,+
YAL051W,chrI,48564,51707,+
YAL049C,chrI,51855,52595,-
YAL048C,chrI,52801,54789,-
YAL047W-A,chrI,54584,54913,+
YAL047C,chrI,54989,56857,-
YAL046C,chrI,57029,57385,-
YAL045C,chrI,57488,57796,-
YAL044W-A,chrI,57518,57850,+
YAL044C,chrI,57950,58462,-
YAL043C,chrI,58695,61052,-
YAL042C-A,chrI,61231,61608,-
YAL042W,chrI,61316,62563,+
YAL041W,chrI,62840,65404,+
YAL040C,chrI,65778,67520,-
YAL039C,chrI,68716,69525,-
YAL038W,chrI,71786,73288,+
YAL037C-B,chrI,72326,73300,-
YAL037C-A,chrI,73426,73518,-
YAL037W,chrI,74020,74823,+
YAL036C,chrI,75043,76152,-
YAL035W,chrI,76427,79435,+
YAL034C-B,chrI,79489,79842,-
YAL034W-A,chrI,79718,80587,+
YAL034C,chrI,80710,81951,-
YAL033W,chrI,82706,83227,+
YAL032C,chrI,83335,84474,-
YAL031W-A,chrI,84669,84977,+
YAL031C,chrI,84749,87031,-
YAL030W,chrI,87286,87752,+
YAL029C,chrI,87855,92270,-
YAL028W,chrI,92900,94486,+
YAL027W,chrI,94687,95472,+
YAL026C-A,chrI,95386,95823,-
YAL026C,chrI,95630,99697,-
YAL025C,chrI,100225,101145,-
YAL024C,chrI,101565,105872,-
YAL023C,chrI,106272,108551,-
YAL022C,chrI,108877,110430,-
YAL021C,chrI,110846,113359,-
YAL020C,chrI,113614,114615,-
YAL019W-A,chrI,114250,114819,+
YAL019W,chrI,114919,118314,+
YAL018C,chrI,118564,119541,-
YAL017W,chrI,120225,124295,+
YAL016C-B,chrI,124307,124492,-
YAL016C-A,chrI,124755,125069,-
YAL016W,chrI,124879,126786,+
YAL015C,chrI,126903,128102,-
YAL014C,chrI,128252,129019,-
YAL013W,chrI,129270,130487,+
YAL012W,chrI,130799,131983,+
YAL011W,chrI,132199,134076,+
