gene,273614N_0.75CDS40,378604X_0.75CDS40,BC187_0.75CDS40,DBVPG1106_0.75CDS40,DBVPG1373_0.75CDS40,DBVPG6765_0.75CDS40,L_1374_0.75CDS40,NCYC361_0.75CDS40,SK1_0.75CDS40,UWOPS05_217_3_0.75CDS40,UWOPS05_227_2_0.75CDS40,UWOPS83_787_3_0.75CDS40,UWOPS87_2421_0.75CDS40,Y12_0.75CDS40,Y55_0.75CDS40,YJM975_0.75CDS40,YJM978_0.75CDS40,YJM981_0.75CDS40,YPS128_0.75CDS40,YPS606_0.75CDS40,YS2_0.75CDS40,YS9_0.75CDS40
YAL001C,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-1324.7507974481655,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722,-732.5614035087722
YAL003W,-1350.25,-982.8823529411764,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25,-1350.25
YAL005C,-1101.2151515151518,-1101.2151515151518,-778.2454545454545,-778.2454545454545,-1265.2,-778.2454545454545,-778.2454545454545,-778.2454545454545,-1101.2151515151518,-1101.2151515151518,-1101.2151515151518,-778.2454545454545,-778.2454545454545,-1101.2151515151518,-778.2454545454545,-778.2454545454545,-778.2454545454545,-778.2454545454545,-778.2454545454545,-778.2454545454545,-778.2454545454545,-778.2454545454545
YAL007C,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1975.7111111111112,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938,-1681.3490421455938
YAL012W,-1834.682012408069,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1782.489974937343,-1782.489974937343,-1782.489974937343,-2276.347435897436,-1049.6666666666665,-1782.489974937343,-1834.682012408069,-1049.6666666666665,-1049.6666666666665,-1049.6666666666665,-1939.2280701754385,-1939.2280701754385,-1049.6666666666665,-1049.6666666666665
YAL021C,-524.8589743589744,-756.1,-524.8589743589744,-524.8589743589744,-742.5950888192267,-523.8846153846154,-742.5950888192267,-742.5950888192267,-742.5950888192267,-543.5999999999998,-543.5999999999998,-519.1454545454545,-1004.7285714285713,-650.9793103448277,-519.1454545454545,-742.5950888192267,-524.8589743589744,-742.5950888192267,-519.1454545454545,-519.1454545454545,-742.5950888192267,-473.24516129032264
YAL023C,-1193.9286680189318,-1117.111111111111,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1036.4545454545455,-1036.4545454545455,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318,-1193.9286680189318
YAL029C,-2536.8541666666665,-2536.8541666666665,-2536.8541666666665,-1385.5833333333335,-2530.796474358974,-2536.8541666666665,-2536.8541666666665,-2530.796474358974,-1244.8859649122808,-1289.4333333333334,-1289.4333333333334,-2570.647644927536,-1244.8859649122808,-1271.0733333333335,-2565.442401960784,-2530.796474358974,-2536.8541666666665,-2530.796474358974,-1244.8859649122808,-1244.8859649122808,-2530.796474358974,-2536.8541666666665
YAL034C,-1138.4782496782498,-1138.4782496782498,-1138.4782496782498,-1138.4782496782498,-1138.4782496782498,-1010.1587301587304,-1138.4782496782498,-1138.4782496782498,-1432.9523809523812,-1446.9950166112958,-1446.9950166112958,-1658.7571428571432,-1138.4782496782498,-1446.9950166112958,-1612.3000000000006,-1138.4782496782498,-1138.4782496782498,-1138.4782496782498,-1446.9950166112958,-1446.9950166112958,-1138.4782496782498,-1138.4782496782498
YAL035W,-1921.6780303030307,-1921.6780303030307,-1921.6780303030307,-1921.6780303030307,-1921.6780303030307,-1276.332167832168,-1921.6780303030307,-1921.6780303030307,-1838.7142857142856,-1515.1939393939394,-1515.1939393939394,-1515.1939393939394,-1921.6780303030307,-1475.3121212121214,-1276.5909090909092,-1921.6780303030307,-1921.6780303030307,-1921.6780303030307,-1475.3121212121214,-1475.3121212121214,-1921.6780303030307,-1276.332167832168
