gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-295.93548387096774,-295.93548387096774,-169.59375,-169.59375,378.0,-169.59375,-169.59375,378.0,-295.93548387096774,378.0,378.0,-295.93548387096774,-169.59375,-295.93548387096774,-219.0,378.0,378.0,378.0,-295.93548387096774,-295.93548387096774,378.0,-169.59375
YAL003W,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,341.14285714285717,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567,445.71428571428567
YAL005C,204.75,204.75,-84.5,-84.5,204.75,-84.5,-84.5,-84.5,204.75,204.75,204.75,204.75,204.75,-78.77777777777777,204.75,-84.5,-84.5,-84.5,-84.5,-84.5,204.75,-84.5
YAL007C,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,187.63636363636363,187.63636363636363,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0
YAL021C,322.07142857142856,-361.4375,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,-4.333333333333329,-355.28,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,322.07142857142856,322.07142857142856,-4.333333333333329,-350.0
YAL023C,-567.5,-29.86666666666667,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,-29.86666666666667,-29.86666666666667,98.33333333333331,98.33333333333331,-567.5,98.33333333333331,98.33333333333331,-567.5,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,-567.5
YAL029C,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-55.66666666666666,2.458333333333336,2.458333333333336,2.458333333333336,-166.5,-166.5,2.458333333333336,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5
YAL034C,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-398.0,-231.16666666666669,-231.16666666666669,-231.16666666666669,-359.4782608695652,-359.4782608695652,-231.16666666666669,-231.16666666666669,-20.71428571428572,-20.71428571428572,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669
YAL035W,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-277.6666666666667,-277.6666666666667,-279.9848484848485,-258.8333333333333,-258.8333333333333,-167.7,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-139.77272727272728
YAL036C,-34.875,-34.875,-34.875,-609.5,-34.875,-34.875,-34.875,-34.875,-609.5,-609.5,-609.5,-609.5,-170.77777777777774,-609.5,-333.9166666666667,-34.875,-34.875,-34.875,-609.5,-609.5,-34.875,-34.875
YAL039C,-302.5701754385965,-302.5701754385965,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-495.3571428571428,-302.5701754385965,-302.5701754385965,-308.5,-302.5701754385965,-302.5701754385965,-312.6515151515152,-226.5,-226.5,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965
YAL049C,-224.43548387096772,-224.43548387096772,-248.30645161290326,-248.30645161290326,-248.30645161290326,-248.30645161290326,-248.30645161290326,-248.30645161290326,-224.43548387096772,33.93103448275862,33.93103448275862,-224.43548387096772,-411.21428571428567,-224.43548387096772,-224.43548387096772,-248.30645161290326,-248.30645161290326,-248.30645161290326,33.93103448275862,33.93103448275862,-248.30645161290326,-185.20833333333331
YAL053W,-359.18421052631584,-368.5,-356.85294117647067,-356.85294117647067,-356.85294117647067,-364.59090909090907,-356.85294117647067,-356.85294117647067,-356.85294117647067,-344.3285714285714,-344.3285714285714,-364.74,-356.85294117647067,-373.94186046511635,-362.95,-356.85294117647067,-356.85294117647067,-356.85294117647067,-368.5,-368.5,-356.85294117647067,-356.85294117647067
YAL060W,-444.0,-444.0,-444.0,-77.1,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-197.91666666666669,-345.1515151515151,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0
YAR002C-A,-375.0,-375.0,104.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-260.27777777777777,-375.0
YAR007C,-98.6590909090909,-38.638888888888886,361.5,361.5,361.5,361.5,361.5,361.5,-38.638888888888886,361.5,361.5,-98.6590909090909,361.5,-38.638888888888886,-98.6590909090909,361.5,361.5,361.5,-98.6590909090909,-98.6590909090909,361.5,-38.638888888888886
YAR008W,-417.3,-38.5,-276.0,-276.0,-276.0,-276.0,-276.0,-276.0,-38.5,-38.5,-38.5,-38.5,-276.0,-38.5,-417.3,-276.0,-276.0,-276.0,-38.5,-38.5,-276.0,-38.5
YAR015W,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,-157.5,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001,51.90000000000001
YAR018C,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-492.8461538461538,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337,-437.83333333333337
YAR042W,64.16666666666666,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,100.5,64.16666666666666,100.5,100.5,100.5,100.5,100.5,100.5,64.16666666666666,64.16666666666666,100.5,100.5
YBL016W,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-142.8421052631579,-356.83333333333326,-356.83333333333326,-142.8421052631579,-142.8421052631579
YBL017C,-74.69999999999997,-282.8333333333333,-74.69999999999997,-74.69999999999997,-74.69999999999997,-74.69999999999997,-74.69999999999997,-74.69999999999997,-344.11111111111114,-74.69999999999997,-74.69999999999997,-282.8333333333333,-74.69999999999997,-282.8333333333333,-344.11111111111114,-74.69999999999997,-74.69999999999997,-74.69999999999997,93.78571428571428,93.78571428571428,-74.69999999999997,-282.8333333333333
YBL022C,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-214.0,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5,-295.5
YBL024W,-665.0,-336.3333333333333,-665.0,-665.0,-665.0,-665.0,-665.0,-665.0,-665.0,-336.3333333333333,-336.3333333333333,-665.0,-665.0,-336.3333333333333,-665.0,-665.0,-665.0,-665.0,-336.3333333333333,-336.3333333333333,-665.0,-665.0
YBL026W,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-57.58730158730158,-34.69999999999999,-34.69999999999999,-142.64864864864862,-34.69999999999999,-142.64864864864862,-57.58730158730158,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862,-142.64864864864862
YBL030C,-443.9,-443.9,-443.9,-443.9,-443.9,47.91666666666667,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9,-443.9
YBL032W,-386.6,-214.625,-290.0,-290.0,-290.0,-290.0,-290.0,-290.0,-214.625,-214.625,-214.625,-290.0,-214.625,-214.625,-214.625,-290.0,-290.0,-290.0,-290.0,-290.0,-290.0,-290.0
YBL039C,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,297.1666666666667,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,52.214285714285715,297.1666666666667,52.214285714285715,52.214285714285715,52.214285714285715,-306.72222222222223,-306.72222222222223,52.214285714285715,-22.0
YBL040C,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,-227.38888888888889,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,-227.38888888888889,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708,137.14285714285708
YBL041W,-356.30952380952385,-356.30952380952385,-356.30952380952385,-356.30952380952385,-718.5,-356.30952380952385,-356.30952380952385,-718.5,-356.30952380952385,-371.4473684210526,-371.4473684210526,-371.4473684210526,-371.4473684210526,-371.4473684210526,-356.30952380952385,-718.5,-356.30952380952385,-718.5,-38.66666666666666,-38.66666666666666,-718.5,-356.30952380952385
YBL045C,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,233.14285714285717,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143,-150.72857142857143
YBL047C,-221.0,-221.0,-221.0,-407.75,-221.0,-407.75,-178.14285714285714,-221.0,-407.75,-221.0,-221.0,-407.75,-221.0,-221.0,-407.75,-221.0,-57.5,-221.0,-284.5,-284.5,-221.0,-221.0
YBL057C,-240.35294117647058,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0,-73.0
YBL064C,-136.83333333333334,-136.83333333333334,-136.83333333333334,-49.33333333333333,-136.83333333333334,-136.83333333333334,-136.83333333333334,-136.83333333333334,-136.83333333333334,-151.19354838709674,-151.19354838709674,-136.83333333333334,-151.19354838709674,-94.71428571428572,-136.83333333333334,-136.83333333333334,-136.83333333333334,-136.83333333333334,-151.19354838709674,-151.19354838709674,-136.83333333333334,-136.83333333333334
YBL075C,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-210.5,-491.04545454545456,-491.04545454545456,-491.04545454545456,-210.5,-210.5,-210.5,-210.5,-275.5,-275.5,-210.5,-210.5
