gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-1664.632075471698,-1464.632075471698,-1476.1132075471696,-1476.1132075471696,-180.4528301886796,-1476.1132075471696,-1476.1132075471696,-180.4528301886796,-1464.632075471698,-196.69811320754718,-196.69811320754718,-1464.632075471698,-1476.1132075471696,-1464.632075471698,-1649.3490566037735,-180.4528301886796,-180.4528301886796,-180.4528301886796,-1109.1037735849056,-1109.1037735849056,-180.4528301886796,-1476.1132075471696
YAL003W,-997.8888888888886,-966.5566778900109,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-972.5802469135799,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886
YAL007C,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,201.71875,201.71875,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375
YAL021C,-9423.765809354045,-7074.61234190646,-8865.765809354045,-8865.765809354045,-8123.480349715644,-8865.765809354045,-8123.480349715644,-8123.480349715644,-8909.884050589933,-7541.556998556999,-7541.556998556999,-7884.167388167389,-7618.070197776081,-7486.009591715475,-7884.167388167389,-8123.480349715644,-7917.624395212631,-8123.480349715644,-7884.167388167389,-7884.167388167389,-8123.480349715644,-7161.620915032679
YAL023C,-725.7539310138274,10.644212050117062,-538.4464882943146,-538.4464882943146,-955.9849498327761,-538.4464882943146,-597.5551839464883,-955.9849498327761,-955.9849498327761,-354.4327110268059,-354.4327110268059,-955.9849498327761,-955.9849498327761,-725.7539310138274,-955.9849498327761,-955.9849498327761,-725.7539310138274,-955.9849498327761,-955.9849498327761,-955.9849498327761,-955.9849498327761,-725.7539310138274
YAL029C,-10152.864741239033,-10777.277526407754,-10755.953582745784,-9686.790311798932,-10152.864741239033,-10152.864741239033,-10152.864741239033,-10152.864741239033,-8433.274459359809,-10857.315243033656,-10857.315243033656,-9367.250053110261,-8450.648972886516,-10408.036993102894,-9546.311768343616,-10152.864741239033,-10755.953582745784,-10152.864741239033,-5677.1886554262,-5677.1886554262,-10152.864741239033,-10152.864741239033
YAL034C,-5178.906626506023,-5178.906626506023,-5178.906626506023,-5178.906626506023,-5178.906626506023,-2513.75903614458,-5178.906626506023,-5178.906626506023,-7182.656626506022,-6679.195783132528,-6679.195783132528,-6918.656626506022,-5178.906626506023,-5375.8283132530105,-5111.8283132530105,-5178.906626506023,-5178.906626506023,-5178.906626506023,-6918.656626506022,-6918.656626506022,-5178.906626506023,-5178.906626506023
YAL035W,-6650.591677458339,-6651.164516964513,-6648.487973754636,-6648.487973754636,-6648.487973754636,-5969.89785029785,-6648.487973754636,-6648.487973754636,-5971.127479927478,-5363.030959164288,-5492.119537252866,-6296.389208322537,-6651.164516964513,-6210.137356470689,-5967.512665112662,-6648.487973754636,-6648.487973754636,-6648.487973754636,-6524.199084865751,-6524.199084865751,-6648.487973754636,-5543.487973754638
YAL036C,171.93484848484854,171.93484848484854,171.93484848484854,179.6166666666668,171.93484848484854,171.93484848484854,171.93484848484854,171.93484848484854,179.17727272727285,187.6318181818183,187.6318181818183,187.6318181818183,226.07121212121217,187.6318181818183,-16.44999999999999,171.93484848484854,171.93484848484854,171.93484848484854,180.1318181818183,180.1318181818183,171.93484848484854,171.93484848484854
YAL049C,-180.71428571428572,-180.71428571428572,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-180.71428571428572,10.21428571428573,10.21428571428573,-180.71428571428572,-65.39285714285714,-180.71428571428572,-180.71428571428572,-238.85714285714283,-238.85714285714283,-238.85714285714283,10.21428571428573,10.21428571428573,-238.85714285714283,-101.89285714285712
YAL053W,-453.16666666666674,-539.1111111111111,-880.3611111111111,-1042.361111111111,-880.3611111111111,-1306.611111111111,-585.3611111111111,-880.3611111111111,-880.3611111111111,-1697.8333333333335,-1697.8333333333335,-504.1111111111111,-398.3611111111111,-352.2777777777778,-481.94444444444446,-880.3611111111111,-880.3611111111111,-880.3611111111111,-539.1111111111111,-539.1111111111111,-880.3611111111111,-880.3611111111111
YAL060W,-16.491578947368424,89.31789473684209,-16.491578947368424,-276.60526315789474,-16.491578947368424,-16.491578947368424,-16.491578947368424,-16.491578947368424,-16.491578947368424,61.08105263157894,61.08105263157894,-125.17578947368419,188.69894736842105,-107.25157894736842,-84.10315789473684,-16.491578947368424,-16.491578947368424,-16.491578947368424,-64.0705263157895,-64.0705263157895,-30.83894736842105,-125.17578947368419
YAR002C-A,63.949999999999974,63.949999999999974,362.34999999999997,19.650000000000013,19.650000000000013,19.650000000000013,19.650000000000013,19.650000000000013,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,65.74999999999997,19.650000000000013,19.650000000000013,19.650000000000013,63.949999999999974,63.949999999999974,19.650000000000013,63.949999999999974
YAR007C,-2515.9162359550564,-2135.3646324906367,-3450.1872518726595,-3450.1872518726595,-3450.1872518726595,-3450.1872518726595,-3450.1872518726595,-3450.1872518726595,-2134.1146324906367,-2754.0290074906366,-2754.0290074906366,-2664.5881109550564,-3450.1872518726595,-2134.1146324906367,-2515.9162359550564,-3450.1872518726595,-3450.1872518726595,-3450.1872518726595,-2741.8224859550564,-2741.8224859550564,-3450.1872518726595,-2191.6333824906364
YAR008W,-1322.4972375690613,-1789.0773480662997,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1789.0773480662997,-1789.0773480662997,-1789.0773480662997,-1789.0773480662997,-2027.0331491712668,-1789.0773480662997,-1327.9116022099452,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1789.0773480662997,-1789.0773480662997,-1787.5911602209958,-1789.0773480662997
YAR018C,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,544.9565217391304,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,-17.69565217391304,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564
YAR042W,-6353.012865057546,-13381.595239057255,-13431.175686114708,-13435.729385398718,-13382.889356704314,-13381.595239057255,-13369.023503045777,-13449.595239057255,-10773.812984389278,-12883.4531921669,-12883.4531921669,-10833.597968963466,-12861.111783025093,-12926.19057809979,-13313.04869967778,-13449.595239057255,-13449.595239057255,-13449.595239057255,-9694.304252798385,-9694.304252798385,-13382.889356704314,-13303.994301866498
YBL004W,-11248.50853658536,-15924.935365853646,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-13445.467073170721,-11737.30487804878,-11737.30487804878,-18340.77073170732,-14659.099999999999,-14266.946341463416,-13445.467073170721,-14657.249999999998,-14657.249999999998,-14657.249999999998,-13704.320731707314,-13704.320731707314,-14657.249999999998,-14652.12317073171
YBL015W,-1322.7090909090907,-2000.1767676767677,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-2431.0050505050503,-2366.0050505050503,-2366.0050505050503,-1466.560606060606,-1322.7090909090907,-2431.0050505050503,-2431.0050505050503,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-2441.8050505050505,-2441.8050505050505,-1322.7090909090907,-2368.3050505050505
YBL017C,778.7877358490564,-97.68396226415098,778.7877358490564,778.7877358490564,-42.30317324185239,1102.7877358490564,1102.7877358490564,778.7877358490564,-140.06875357347062,378.9519725557461,378.9519725557461,-212.3436249285306,1102.7877358490564,-40.36578044596902,-140.06875357347062,-42.30317324185239,1102.7877358490564,-42.30317324185239,-49.89079473985137,-49.89079473985137,778.7877358490564,-144.77487135506
YBL020W,423.23529411764713,411.4705882352942,423.23529411764713,423.23529411764713,423.23529411764713,423.23529411764713,423.23529411764713,423.23529411764713,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,423.23529411764713,423.23529411764713,423.23529411764713,477.5882352941177,477.5882352941177,423.23529411764713,477.5882352941177
YBL022C,-3659.5700348799255,-3172.344168199802,-3534.078974829635,-3534.078974829635,-3959.9812304687334,-3534.078974829635,-3534.078974829635,-3959.9812304687334,-4148.410258840769,-3623.6843833786324,-3623.6843833786324,-2546.258217664001,-2591.0287319581907,-3172.344168199802,-4148.410258840769,-3959.9812304687334,-3534.078974829635,-3959.9812304687334,-2546.258217664001,-2546.258217664001,-3959.9812304687334,-3592.5020629366445
YBL024W,-3184.8471337579617,-3010.0191082802544,-3184.8471337579617,-3184.8471337579617,-3184.8471337579617,-3184.8471337579617,-3184.8471337579617,-3184.8471337579617,-1047.7579617834394,-2550.8789808917195,-2550.8789808917195,-2714.796178343949,-1047.7579617834394,-3010.0191082802544,-1047.7579617834394,-3184.8471337579617,-3184.8471337579617,-3184.8471337579617,-3009.2229299363053,-3009.2229299363053,-3184.8471337579617,-1047.7579617834394
YBL032W,-1156.957823552453,-837.7034169719594,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,-897.2439575125,-1550.2632658233683,-1550.2632658233683,72.43541623464904,-837.7034169719594,-998.2235201953872,-897.2439575125,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904,72.43541623464904
YBL039C,84.65116279069767,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,84.65116279069767,14.906976744186036,14.906976744186036,14.906976744186036,14.906976744186036,-203.53488372093028,14.906976744186036,193.46511627906986,193.46511627906986,14.906976744186036,14.906976744186036
YBL040C,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,49.66666666666667,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,49.66666666666667,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963,123.2962962962963
YBL045C,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,180.45714285714286,180.45714285714286,115.25714285714284,12.771428571428565,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284,115.25714285714284
YBL047C,-17097.680998805077,-17096.516197177407,-17097.680998805077,-17609.822661031183,-17097.93532230457,-17941.64158269956,-17144.18874154273,-17097.93532230457,-16928.453383309916,-17095.09300287425,-17095.09300287425,-17019.31052616706,-17350.285271439872,-17076.866146312725,-16928.453383309916,-17097.93532230457,-17088.238056080347,-17097.93532230457,-16944.807595391503,-16944.807595391503,-17097.93532230457,-16877.812193398902
YBL057C,-352.4942528735635,-308.96551724137953,-308.96551724137953,-308.96551724137953,-308.96551724137953,-308.96551724137953,-308.96551724137953,-308.96551724137953,-317.86206896551744,-310.32183908046,-310.32183908046,-312.64367816091976,-312.64367816091976,-312.64367816091976,-317.86206896551744,-308.96551724137953,-308.96551724137953,-308.96551724137953,-312.64367816091976,-312.64367816091976,-308.96551724137953,-308.96551724137953
YBL064C,56.99892588614392,79.11815252416756,79.11815252416756,383.79377013963483,79.11815252416756,79.11815252416756,79.11815252416756,79.11815252416756,62.89366272824918,-522.2556390977444,-522.2556390977444,73.15682062298606,-522.2556390977444,245.57465091299704,62.89366272824918,79.11815252416756,79.11815252416756,79.11815252416756,-522.2556390977444,-522.2556390977444,79.11815252416756,-131.90225563909775
YBL076C,179.01176470588237,-59.86274509803938,-59.86274509803938,-59.86274509803938,-1068.1764705882354,-59.86274509803938,-1068.1764705882354,-1068.1764705882354,-59.86274509803938,-59.86274509803938,-59.86274509803938,-59.86274509803938,-59.86274509803938,-59.86274509803938,-59.86274509803938,-1068.1764705882354,-1068.1764705882354,-1068.1764705882354,340.4117647058824,340.4117647058824,-1068.1764705882354,-59.86274509803938
YBL079W,-4096.668936697105,-3985.2534437393588,-2984.4308156632087,-2278.485760718153,-2278.485760718153,-2278.485760718153,-2278.485760718153,-2278.485760718153,-1911.894830521589,-2657.918588453799,-2657.918588453799,-3133.5119950472053,-2553.3966104318215,-3909.734019501626,-1911.894830521589,-2278.485760718153,-2278.485760718153,-2278.485760718153,-2890.6125212815336,-2890.6125212815336,-2278.485760718153,-4917.434143321468
YBL091C,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196,-1072.813725490196
