gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-578.126984126984,-578.126984126984,64.85714285714292,64.85714285714292,64.85714285714292,64.85714285714292,64.85714285714292,64.85714285714292,-578.126984126984,-278.0793650793651,-278.0793650793651,-578.126984126984,64.85714285714292,-578.126984126984,-387.9999999999999,64.85714285714292,64.85714285714292,64.85714285714292,-578.126984126984,-578.126984126984,64.85714285714292,64.85714285714292
YAL003W,-1521.1052631578937,-1630.4114832535874,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1572.416267942583,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1524.8038277511946,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937,-1521.1052631578937
YAL005C,-954.0793650793654,-954.0793650793654,-337.0952380952379,-337.0952380952379,-954.0793650793654,-337.0952380952379,-273.21428571428555,-337.0952380952379,-954.0793650793654,-953.4206349206353,-953.4206349206353,-954.0793650793654,-953.9126984126988,-990.2222222222227,-954.0793650793654,-337.0952380952379,-441.31746031746,-337.0952380952379,-337.0952380952379,-337.0952380952379,-954.0793650793654,-337.0952380952379
YAL007C,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1850.8,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996,-1880.4959999999996
YAL012W,-377.28999999999974,-377.28999999999974,-377.28999999999974,-377.28999999999974,-837.3499999999998,-363.79999999999967,-837.3499999999998,-837.3499999999998,-43.08999999999983,-315.17999999999967,-315.17999999999967,-97.04999999999987,-377.28999999999974,-202.56999999999977,-97.04999999999987,-837.3499999999998,-837.3499999999998,-837.3499999999998,-97.04999999999987,-97.04999999999987,-837.3499999999998,-377.28999999999974
YAL021C,-160.56140350877152,-732.0175438596502,-160.56140350877152,-160.56140350877152,-643.5043859649122,-160.4780701754382,-643.5043859649122,-643.5043859649122,-454.7017543859655,-478.3201754385976,-478.3201754385976,-517.0219298245623,-459.5921052631585,-474.57017543859746,-498.34649122807144,-643.5043859649122,-160.56140350877152,-643.5043859649122,-517.0219298245623,-517.0219298245623,-643.5043859649122,-737.7763157894744
YAL023C,-766.9082568807345,-672.9541284403671,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-672.8256880733946,-672.8256880733946,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345,-766.9082568807345
YAL029C,-460.735294117647,-489.32352941176464,-460.735294117647,-460.735294117647,-460.735294117647,-460.735294117647,-460.735294117647,-460.735294117647,-81.05882352941175,-489.32352941176464,-489.32352941176464,-489.32352941176464,-489.32352941176464,-489.32352941176464,-489.32352941176464,-460.735294117647,-460.735294117647,-460.735294117647,-489.32352941176464,-489.32352941176464,-460.735294117647,-460.735294117647
YAL034C,-477.34146341463406,-482.1138211382113,-477.34146341463406,-477.34146341463406,-477.34146341463406,-476.9756097560975,-477.34146341463406,-477.34146341463406,-494.5528455284554,-514.6829268292684,-514.6829268292684,-502.82113821138216,-477.34146341463406,-522.3577235772359,-506.33333333333337,-477.34146341463406,-477.34146341463406,-477.34146341463406,-518.8455284552846,-518.8455284552846,-477.34146341463406,-477.34146341463406
YAL035W,-1167.6990291262134,-1167.6990291262134,-1167.6990291262134,-1167.6990291262134,-1167.6990291262134,-206.19417475728034,-1167.6990291262134,-1167.6990291262134,-855.4077669902914,-1348.2330097087379,-1348.2330097087379,-1348.2330097087379,-1167.6990291262134,-855.4077669902914,-1345.1262135922332,-1167.6990291262134,-1167.6990291262134,-1167.6990291262134,-855.4077669902914,-855.4077669902914,-1167.6990291262134,-1152.6407766990292
