gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-355.2903225806452,-355.2903225806452,24.25,24.25,-704.9090909090909,24.25,24.25,-704.9090909090909,-355.2903225806452,-923.4090909090909,-923.4090909090909,-355.2903225806452,24.25,-355.2903225806452,-304.0,-704.9090909090909,-704.9090909090909,-704.9090909090909,-355.2903225806452,-355.2903225806452,-704.9090909090909,24.25
YAL003W,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-506.975,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554,-140.05555555555554
YAL005C,-796.526282051282,-796.526282051282,-381.625,-381.625,-796.526282051282,-381.625,-381.625,-381.625,-796.526282051282,-796.526282051282,-796.526282051282,-796.526282051282,-814.1416666666667,-702.4317460317461,-796.526282051282,-381.625,-381.625,-381.625,-381.625,-381.625,-796.526282051282,-381.625
YAL007C,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1542.0460109782694,-1542.0460109782694,-1616.4447122769702,-1616.4447122769702,-1994.8464285714285,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702,-1616.4447122769702
YAL012W,-1849.6695526695526,-1849.6695526695526,-1849.6695526695526,-1849.6695526695526,-1626.894042465471,-910.3939393939394,-1626.894042465471,-1626.894042465471,-1685.7728243978243,-657.202015084994,-657.202015084994,-1062.9,-1849.6695526695526,-651.4427558257347,-1062.9,-1626.894042465471,-1626.894042465471,-1626.894042465471,-1062.9,-1062.9,-1626.894042465471,-1849.6695526695526
YAL021C,-760.1199999999999,-824.1675824175824,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-1674.6523809523808,-1674.6523809523808,-864.7061538461538,-774.3333333333335,-774.3333333333335,-760.1199999999999,-760.1199999999999,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-1674.6523809523808,-760.1199999999999,-760.1199999999999,-1674.6523809523808,-808.9175824175824
YAL023C,-2893.9056234335844,-3223.9694444444444,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-3216.9694444444444,-3216.9694444444444,-2455.4657738095243,-2455.4657738095243,-2904.9056234335844,-2455.4657738095243,-2455.4657738095243,-2904.9056234335844,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2455.4657738095243,-2904.9056234335844
YAL029C,-819.7777777777777,-941.3846153846154,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-819.7777777777777,-745.7487684729064,-832.9629629629629,-832.9629629629629,-832.9629629629629,-822.7619047619048,-822.7619047619048,-832.9629629629629,-819.7777777777777,-819.7777777777777,-819.7777777777777,-822.7619047619048,-822.7619047619048,-819.7777777777777,-819.7777777777777
YAL034C,-2713.348214285714,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2467.2252747252746,-2707.348214285714,-2707.348214285714,-2800.929793233083,-2549.688426949727,-2549.688426949727,-2800.929793233083,-2707.348214285714,-3503.9002257799666,-3503.9002257799666,-2707.348214285714,-2707.348214285714,-2707.348214285714,-2800.929793233083,-2800.929793233083,-2707.348214285714,-2707.348214285714
YAL035W,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-186.5,-1066.5526315789473,-1066.5526315789473,-186.5,-974.9166666666666,-974.9166666666666,-974.9166666666666,-1066.5526315789473,-186.5,-1120.107142857143,-1066.5526315789473,-1066.5526315789473,-1066.5526315789473,-186.5,-186.5,-1066.5526315789473,-472.7777777777778
YAL036C,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-553.0535714285714,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-656.3831168831169,-656.3831168831169,-656.3831168831169,-1083.3968253968255,-656.3831168831169,-439.64285714285717,-553.0535714285714,-553.0535714285714,-553.0535714285714,-656.3831168831169,-656.3831168831169,-553.0535714285714,-553.0535714285714
YAL038W,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-924.6333333333333,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334,-1035.6333333333334
YAL039C,-812.8107389686337,-808.6562912657989,-808.6562912657989,-808.6562912657989,-478.3918918918919,-808.6562912657989,-808.6562912657989,-478.3918918918919,-478.3918918918919,-943.5090261886601,-943.5090261886601,-478.3918918918919,-812.8107389686337,-943.5090261886601,-1031.5063131313132,-478.3918918918919,-478.3918918918919,-478.3918918918919,-777.0380116959064,-777.0380116959064,-478.3918918918919,-808.6562912657989
YAL049C,-741.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-806.7333333333333,-582.5985757121439,-582.5985757121439,-741.8947368421052,-825.7647058823532,-88.84615384615381,-826.8947368421052,-741.8947368421052,-741.8947368421052,-741.8947368421052,-582.5985757121439,-582.5985757121439,-741.8947368421052,-741.8947368421052
YAL053W,-2587.5160658055393,-2275.713293650794,-3000.446073913437,-3035.1878962111164,-3000.446073913437,-2109.4732683982684,-2948.3378054670147,-3000.446073913437,-3000.446073913437,-2838.0212148962155,-2838.0212148962155,-2373.2732936507937,-2707.709617180206,-2461.6752456581044,-2646.4606625258803,-3000.446073913437,-3000.446073913437,-3000.446073913437,-2275.713293650794,-2275.713293650794,-3000.446073913437,-2817.473058040421
YAL060W,-2480.4395021645023,-1729.6521739130435,-2480.4395021645023,-1704.1029718029718,-2480.4395021645023,-2480.4395021645023,-2480.4395021645023,-2480.4395021645023,-2480.4395021645023,-1712.6521739130435,-1712.6521739130435,-1767.4444816053513,-1731.1833333333332,-2197.4333333333334,-1649.8444816053513,-2480.4395021645023,-2480.4395021645023,-2480.4395021645023,-2480.4395021645023,-2463.4395021645023,-2474.074025974026,-2480.4395021645023
YAR002C-A,-400.93333333333334,-400.93333333333334,-328.375,-268.1895424836601,-268.1895424836601,-268.1895424836601,-268.1895424836601,-268.1895424836601,-400.93333333333334,-400.93333333333334,-400.93333333333334,-400.93333333333334,-400.93333333333334,-400.93333333333334,-359.81666666666666,-268.1895424836601,-268.1895424836601,-268.1895424836601,-400.93333333333334,-400.93333333333334,-268.1895424836601,-400.93333333333334
YAR007C,-816.810606060606,-1241.7777777777776,-1716.6555137844612,-1716.6555137844612,-1716.6555137844612,-1716.6555137844612,-1716.6555137844612,-1716.6555137844612,-1241.7777777777776,-1511.111111111111,-1511.111111111111,-816.810606060606,-1716.6555137844612,-1241.7777777777776,-816.810606060606,-1716.6555137844612,-1716.6555137844612,-1716.6555137844612,-816.810606060606,-816.810606060606,-1716.6555137844612,-1395.3761904761905
YAR008W,-3211.7197132616484,-3516.0000000000005,-3568.7500000000005,-3568.7500000000005,-3568.7500000000005,-3568.7500000000005,-3568.7500000000005,-3568.7500000000005,-3516.0000000000005,-3516.0000000000005,-3516.0000000000005,-3809.0000000000005,-3568.7738095238096,-3516.0000000000005,-3211.7197132616484,-3568.7500000000005,-3568.7500000000005,-3568.7500000000005,-3516.0000000000005,-3516.0000000000005,-3568.7500000000005,-3516.0000000000005
YAR015W,-665.4331501831504,-665.4331501831504,-684.6639194139195,-684.6639194139195,-684.6639194139195,-684.6639194139195,-684.6639194139195,-684.6639194139195,-665.4331501831504,-597.8690476190477,-597.8690476190477,-665.4331501831504,-684.6639194139195,-665.4331501831504,-792.328947368421,-684.6639194139195,-684.6639194139195,-684.6639194139195,-665.4331501831504,-665.4331501831504,-684.6639194139195,-684.6639194139195
YAR018C,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1504.6758241758241,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1544.8113553113553,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856,-1562.2142857142856
YAR042W,-1091.7027027027027,-1501.0,-1501.0,-1501.0,-1612.703125,-1501.0,-1612.703125,-1501.0,-1612.703125,-1572.9068627450981,-1572.9068627450981,-1091.7027027027027,-1855.6764705882354,-2407.091883264933,-1501.0,-1501.0,-1501.0,-1501.0,-1091.7027027027027,-1091.7027027027027,-1612.703125,-1501.0
YBL002W,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222,-484.7222222222222
YBL004W,-1687.030462184874,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742,-1869.9304621848742
YBL015W,-1090.914366883117,-1176.541231126597,-1090.914366883117,-1090.914366883117,-1090.914366883117,-1090.914366883117,-1090.914366883117,-1090.914366883117,-1176.541231126597,-1176.541231126597,-1176.541231126597,-1176.541231126597,-1090.914366883117,-1176.541231126597,-1176.541231126597,-1090.914366883117,-1090.914366883117,-1090.914366883117,-1253.6,-1253.6,-1090.914366883117,-1090.914366883117
YBL016W,-5467.297866344606,-5787.643625186155,-5700.577958937198,-5227.297866344605,-5227.297866344605,-5912.377958937198,-5227.297866344605,-5227.297866344605,-5561.668625186155,-5827.662046238786,-5827.662046238786,-6489.52962912004,-5467.297866344606,-5787.643625186155,-5561.668625186155,-5227.297866344605,-5700.577958937198,-5227.297866344605,-5827.662046238786,-5827.662046238786,-5227.297866344605,-5791.993190403546
YBL017C,-5547.884415584416,-5239.775030681168,-5494.484415584416,-5494.484415584416,-5112.00161988549,-5494.484415584416,-5494.484415584416,-5494.484415584416,-6656.903544998539,-5724.9762230600945,-5724.9762230600945,-4863.362749615976,-5547.884415584416,-5262.828771460936,-6656.903544998539,-5112.00161988549,-5494.484415584416,-5112.00161988549,-4669.273015873016,-4669.273015873016,-5494.484415584416,-5242.252527883524
YBL020W,-6005.380148741419,-5057.641312959819,-6005.380148741419,-6005.380148741419,-6006.880148741419,-6005.380148741419,-6005.380148741419,-6006.880148741419,-5304.741666666667,-5211.540277777778,-5211.540277777778,-5564.557142857142,-5658.557142857142,-5440.274646293152,-5304.741666666667,-6006.880148741419,-6005.380148741419,-6006.880148741419,-5564.557142857142,-5564.557142857142,-6006.880148741419,-5440.274646293152
