gene,domain_start,domain_end
YAL001C,108,174
YAL002W,538,735
YAL003W,83,110
YAL003W,123,206
YAL004W,2,215
YAL005C,4,607
YAL007C,34,207
YAL008W,107,191
YAL009W,45,249
YAL010C,1,493
YAL012W,10,390
YAL013W,182,401
YAL015C,149,295
YAL015C,223,247
YAL016W,402,502
YAL017W,1097,1354
YAL019W,950,1063
YAL019W,585,880
YAL020C,4,51
YAL021C,510,818
YAL021C,359,409
YAL022C,180,510
YAL023C,548,751
YAL023C,360,520
YAL023C,69,312
YAL024C,29,133
YAL024C,1198,1387
YAL025C,139,235
YAL025C,5,117
YAL026C,254,472
YAL026C,642,731
YAL026C,185,251
YAL026C,980,1232
YAL027W,1,243
YAL028W,86,279
YAL029C,73,765
YAL029C,1299,1398
YAL029C,901,919
YAL030W,26,111
YAL032C,102,251
YAL033W,7,130
YAL034C,334,404
YAL034W-A,11,144
YAL035W,644,719
YAL035W,754,843
YAL035W,407,616
YAL036C,294,368
YAL036C,68,165
YAL036C,187,293
YAL038W,380,497
YAL038W,19,362
YAL039C,1,253
YAL040C,91,206
YAL041W,282,452
YAL041W,156,242
YAL041W,786,840
YAL041W,481,663
YAL042W,7,95
YAL042W,143,399
YAL043C,91,333
YAL044C,46,168
YAL044W-A,34,104
YAL046C,46,108
YAL047C,574,614
YAL048C,369,436
YAL048C,7,183
YAL048C,452,609
YAL048C,264,331
YAL049C,30,243
YAL051W,65,100
YAL053W,183,628
YAL053W,38,177
YAL054C,139,581
YAL054C,590,675
YAL054C,76,137
YAL055W,52,166
YAL058W,33,413
YAL059W,31,151
YAL060W,200,330
YAL060W,27,160
YAL061W,200,332
YAL061W,26,160
YAL062W,40,167
YAL062W,185,454
YAL063C,114,248
YAL063C,548,585
YAL063C,322,360
YAL063C,503,540
YAL063C,592,630
YAL063C,458,495
YAL063C,367,405
YAL063C,772,810
YAL063C,683,720
YAL063C,1092,1135
YAL063C,1020,1063
YAL063C,1143,1186
YAL063C,637,675
YAL063C,728,765
YAL063C,413,450
YAL063C,276,315
YAL063C,817,855
YAL064C-A,1,108
YAL067C,144,503
YAL068C,22,114
YAL068W-A,1,84
YAR002C-A,22,213
YAR003W,68,100
YAR007C,306,400
YAR007C,27,106
YAR007C,466,611
YAR007C,197,280
YAR008W,183,262
YAR009C,721,921
YAR009C,104,222
YAR010C,17,114
YAR014C,266,312
YAR015W,15,279
YAR018C,25,340
YAR019C,25,272
YAR020C,25,55
YAR023C,27,117
YAR027W,76,168
YAR028W,77,166
YAR029W,1,38
YAR031W,137,232
YAR033W,78,171
YAR035W,4,642
YAR042W,800,1174
YAR042W,87,117
YAR042W,283,379
YAR050W,637,675
YAR050W,683,720
YAR050W,322,360
YAR050W,458,495
YAR050W,728,765
YAR050W,592,630
YAR050W,413,450
YAR050W,367,405
YAR050W,772,810
YAR050W,997,1035
YAR050W,503,540
YAR050W,112,248
YAR050W,862,900
YAR050W,548,585
YAR050W,907,945
YAR050W,817,855
YAR050W,952,990
YAR050W,276,315
YAR050W,1042,1080
YAR071W,65,399
YAR073W,124,170
YAR073W,180,233
YAR073W,36,373
YAR075W,11,145
YBL001C,8,98
YBL002W,6,104
YBL003C,6,90
YBL003C,93,127
YBL004W,822,1408
YBL005W,13,47
YBL005W,279,626
YBL005W-A,17,114
YBL005W-B,1280,1480
YBL005W-B,17,114
YBL005W-B,663,781
YBL006C,7,106
YBL007C,489,553
YBL007C,359,407
YBL007C,10,66
YBL007C,75,123
YBL008W,487,505
YBL008W,735,805
YBL008W,237,248
YBL008W,72,106
YBL008W,171,206
YBL008W,15,45
YBL008W,133,165
YBL009W,573,668
YBL011W,73,291
YBL013W,31,232
YBL014C,175,893
YBL015W,12,230
YBL015W,331,481
YBL016W,14,309
YBL017C,1210,1371
YBL017C,559,716
YBL017C,55,554
YBL017C,762,1208
YBL019W,474,520
YBL019W,20,354
YBL020W,19,564
YBL021C,41,104
YBL022C,183,477
YBL022C,628,766
YBL022C,901,1107
YBL023C,209,297
YBL023C,306,432
YBL023C,53,193
YBL023C,481,845
YBL024W,159,408
YBL025W,1,120
YBL026W,6,70
YBL027W,3,145
YBL028C,1,44
YBL030C,125,220
YBL030C,20,116
YBL030C,226,314
YBL031W,35,328
YBL032W,261,327
YBL032W,48,107
YBL032W,160,222
YBL033C,37,276
YBL034C,318,560
YBL035C,395,641
YBL035C,18,290
YBL036C,42,249
YBL037W,769,878
YBL037W,38,648
YBL038W,48,179
YBL039C,315,554
YBL039C,2,270
YBL040C,29,175
YBL041W,27,225
YBL042C,119,575
YBL045C,188,369
YBL045C,37,181
YBL046W,3,298
YBL047C,1345,1377
YBL047C,11,93
YBL047C,278,360
YBL047C,130,220
YBL049W,42,136
YBL050W,3,285
YBL051C,87,157
YBL052C,328,528
YBL054W,77,120
YBL055C,62,416
YBL056W,23,277
YBL057C,89,208
YBL058W,345,421
YBL058W,6,46
YBL058W,237,311
YBL059C-A,1,68
YBL060W,104,229
YBL061C,462,497
YBL061C,426,460
YBL061C,386,423
YBL061C,343,380
YBL061C,308,342
YBL061C,499,530
YBL061C,271,306
YBL063W,58,410
YBL064C,51,188
YBL064C,209,245
YBL066C,357,577
YBL066C,55,96
YBL067C,140,665
YBL068W,14,132
YBL068W,210,321
YBL068W-A,25,72
YBL069W,292,423
YBL069W,77,135
YBL071W-A,5,59
YBL072C,1,184
YBL074C,6,302
YBL075C,4,609
YBL076C,693,851
YBL076C,17,640
YBL078C,13,116
YBL079W,144,649
YBL079W,833,1392
YBL080C,30,316
YBL080C,374,537
YBL082C,49,417
YBL084C,540,573
YBL084C,575,607
YBL084C,680,733
YBL084C,39,124
YBL084C,609,639
YBL085W,19,69
YBL085W,226,290
YBL085W,779,893
YBL086C,8,206
YBL087C,19,136
YBL088C,7,156
YBL088C,2757,2786
YBL088C,2467,2703
YBL089W,2,445
YBL090W,106,158
YBL091C,104,408
YBL091C-A,2,96
YBL092W,14,121
YBL093C,26,218
YBL095W,147,214
YBL097W,23,742
YBL098W,4,360
YBL099W,64,129
YBL099W,186,409
YBL099W,416,541
YBL100W-A,17,114
YBL100W-B,579,641
YBL100W-B,1295,1495
YBL100W-B,659,777
YBL100W-B,17,114
YBL101C,585,877
YBL102W,92,202
YBL103C,286,344
YBL104C,938,1037
YBL105C,119,181
YBL105C,210,280
YBL105C,415,462
YBL105C,1104,1144
YBL105C,8,66
YBL105C,482,533
YBL105C,826,1083
YBL106C,514,916
YBL107C,38,180
YBL108C-A,1,36
YBL111C,380,539
YBL111C,3,88
YBL112C,2,41
YBR001C,192,750
YBR001C,135,164
YBR002C,38,254
YBR003W,299,422
YBR003W,69,268
YBR004C,3,433
YBR005W,42,147
YBR006W,27,488
YBR008C,109,490
YBR009C,32,96
YBR010W,1,132
YBR011C,46,228
YBR012W-A,17,114
YBR012W-B,17,114
YBR012W-B,663,781
YBR012W-B,1281,1481
YBR014C,101,163
YBR015C,170,440
YBR017C,435,488
YBR017C,694,722
YBR018C,198,365
YBR018C,6,192
YBR019C,15,343
YBR019C,376,697
YBR020W,156,225
YBR020W,423,498
YBR020W,35,82
YBR021W,103,562
YBR022W,22,163
YBR023C,629,1151
YBR024W,84,265
YBR025C,307,389
YBR025C,23,145
YBR028C,130,411
YBR028C,473,514
YBR029C,64,393
YBR030W,37,335
YBR031W,273,346
YBR031W,21,260
YBR033W,54,94
YBR034C,58,132
YBR035C,56,129
YBR035C,186,228
YBR036C,1,403
YBR037C,77,259
YBR038W,237,297
YBR038W,298,458
YBR039W,35,310
YBR040W,67,265
YBR041W,84,530
YBR042C,76,282
YBR042C,300,360
YBR043C,113,632
YBR046C,36,94
YBR046C,160,285
YBR048W,73,141
YBR048W,8,71
YBR049C,680,716
YBR049C,478,538
YBR050C,133,153
YBR053C,27,318
YBR054W,37,257
YBR055C,11,131
YBR057C,245,364
YBR058C,586,623
YBR058C,323,778
YBR058C,192,263
YBR059C,73,316
YBR060C,259,607
YBR061C,21,207
YBR062C,108,153
YBR067C,17,110
YBR068C,99,561
YBR069C,98,556
YBR070C,57,236
YBR072W,96,207
YBR073W,108,162
YBR073W,299,637
YBR073W,665,777
YBR074W,136,323
YBR076W,163,284
YBR077C,3,161
YBR079C,393,492
YBR080C,29,101
YBR080C,560,689
YBR080C,277,417
YBR080C,134,203
YBR081C,450,525
YBR082C,6,142
YBR083W,76,350
YBR083W,355,486
YBR084W,157,323
YBR084W,37,154
YBR084W,346,975
YBR085W,9,105
YBR085W,215,303
YBR085W,115,208
YBR086C,119,597
YBR087W,38,189
YBR088C,127,253
YBR088C,1,124
YBR089C-A,27,95
YBR091C,24,78
YBR092C,65,399
YBR093C,65,399
YBR094W,389,731
YBR094W,3,236
YBR095C,62,221
YBR096W,75,179
YBR097W,43,293
YBR098W,419,589
YBR101C,1,82
YBR102C,535,738
YBR102C,178,261
YBR103W,392,428
YBR103W,351,386
YBR103W,6,32
YBR103W,221,248
YBR104W,140,223
YBR104W,32,119
YBR104W,236,327
YBR105C,122,346
YBR106W,1,183
YBR108W,8,99
YBR109C,84,144
YBR109C,13,73
YBR110W,258,427
YBR111C,92,202
YBR111W-A,9,89
YBR112C,102,133
YBR112C,332,361
YBR112C,296,327
YBR114W,203,520
YBR114W,537,580
YBR114W,620,734
YBR115C,851,916
YBR115C,243,705
YBR115C,975,1225
YBR117C,546,657
YBR117C,7,339
YBR117C,355,532
YBR118W,258,323
YBR118W,5,232
YBR118W,332,439
YBR119W,229,291
YBR121C,547,638
YBR121C,224,291
YBR123C,37,391
YBR125C,90,354
YBR126C,17,481
YBR127C,31,97
YBR127C,154,380
YBR128C,3,289
YBR129C,217,316
YBR130C,42,268
YBR131W,6,702
YBR132C,92,563
YBR133C,187,678
YBR135W,28,103
YBR136W,2076,2314
YBR136W,1571,1853
YBR136W,876,977
YBR136W,2338,2368
YBR137W,34,162
YBR139W,90,494
YBR140C,1803,1898
YBR140C,1731,1796
YBR141C,126,335
YBR142W,195,382
YBR142W,452,574
YBR143C,15,136
YBR143C,277,412
YBR143C,142,273
YBR145W,185,313
YBR145W,34,140
YBR146W,158,278
YBR147W,14,71
YBR147W,209,264
YBR149W,36,311
YBR150C,390,649
YBR150C,105,139
YBR151W,70,297
YBR153W,30,237
YBR154C,6,99
YBR154C,142,214
YBR155W,124,154
YBR156C,630,680
YBR159W,65,264
YBR160W,8,295
YBR161W,76,158
YBR162C,38,100
YBR162C,221,444
YBR162W-A,4,64
YBR163W,125,561
YBR164C,5,177
YBR166C,57,275
YBR167C,29,137
YBR168W,25,408
YBR169C,5,642
YBR170C,259,577
YBR170C,113,256
YBR171W,28,197
YBR172C,208,263
YBR173C,25,146
YBR175W,52,81
YBR175W,88,124
YBR175W,188,217
YBR175W,129,167
YBR176W,27,289
YBR177C,166,430
YBR179C,190,371
YBR180W,116,526
YBR181C,1,126
YBR182C,11,57
YBR183W,15,285
YBR185C,42,278
YBR186W,310,466
YBR187W,43,117
YBR187W,195,268
YBR189W,107,150
YBR191W,3,99
YBR192W,50,167
YBR192W,289,376
YBR192W,174,265
YBR193C,32,149
YBR194W,73,108
YBR195C,204,356
YBR195C,377,413
YBR195C,21,88
YBR196C,63,547
YBR198C,148,277
YBR198C,561,595
YBR198C,601,637
YBR198C,643,679
YBR198C,519,553
YBR198C,458,494
YBR198C,59,84
YBR198C,684,722
YBR199W,124,413
YBR200W,78,123
YBR200W,293,398
YBR200W,161,209
YBR201W,12,202
YBR202W,399,723
YBR202W,227,356
YBR202W,20,206
YBR204C,88,358
YBR205W,61,354
YBR207W,8,404
YBR208C,747,949
YBR208C,633,740
YBR208C,1437,1653
YBR208C,1103,1380
YBR208C,35,449
YBR208C,1771,1831
YBR208C,967,1071
YBR210W,8,127
YBR212W,362,426
YBR212W,194,265
YBR213W,159,183
YBR213W,7,152
YBR213W,193,256
YBR214W,202,251
YBR215W,561,599
YBR216C,14,667
YBR217W,103,186
YBR218C,1102,1169
YBR218C,852,1052
YBR218C,360,467
YBR218C,136,344
YBR218C,560,828
YBR218C,21,131
YBR219C,1,100
YBR220C,17,559
YBR221C,232,355
YBR221C,38,213
YBR222C,449,523
YBR222C,19,439
YBR223C,85,529
YBR227C,372,437
YBR227C,133,366
YBR228W,14,91
YBR229C,269,337
YBR229C,833,869
YBR229C,364,809
YBR231C,231,289
YBR233W,333,395
YBR233W,152,214
YBR233W,70,130
YBR233W-A,5,87
YBR234C,151,180
YBR234C,57,89
YBR235W,555,639
YBR235W,68,543
YBR236C,110,424
YBR237W,522,619
YBR237W,280,453
YBR239C,39,77
YBR239C,411,527
YBR240C,28,64
YBR241C,28,481
YBR242W,55,197
YBR243C,133,304
YBR244W,5,112
YBR245C,941,1057
YBR245C,776,883
YBR245C,503,616
YBR245C,206,481
YBR247C,156,467
YBR248C,6,210
YBR248C,239,532
YBR249C,58,354
YBR250W,174,265
YBR251W,145,209
YBR251W,223,293
YBR252W,18,146
YBR253W,8,115
YBR254C,7,171
YBR256C,3,93
YBR256C,106,195
YBR257W,172,263
YBR258C,11,127
YBR260C,486,639
YBR261C,6,228
YBR262C,17,105
YBR263W,34,432
YBR264C,6,162
YBR265W,77,215
YBR265W,8,55
YBR267W,163,262
YBR268W,26,66
YBR269C,103,138
YBR270C,325,482
YBR271W,216,384
YBR273C,213,291
YBR274W,18,281
YBR275C,234,649
YBR276C,670,777
YBR279W,6,414
YBR280C,548,579
YBR281C,517,875
YBR281C,628,774
YBR281C,67,98
YBR282W,35,131
YBR283C,41,75
YBR283C,78,471
YBR284W,275,744
YBR286W,177,268
YBR286W,295,495
YBR287W,14,412
YBR288C,199,482
YBR289W,453,672
YBR290W,97,318
YBR291C,214,297
YBR291C,109,202
YBR291C,10,100
YBR293W,5,381
YBR294W,123,528
YBR294W,637,774
YBR295W,664,892
YBR295W,899,1118
YBR295W,414,470
YBR296C,24,554
YBR297W,6,42
YBR297W,89,243
YBR298C,104,561
YBR299W,36,397
YBR301W,22,114
YBR302C,256,351
YBR302C,68,167
YCL001W,21,184
YCL001W-B,1,76
YCL004W,419,457
YCL005W-A,7,65
YCL008C,31,153
YCL008C,317,379
YCL009C,220,280
YCL009C,78,142
YCL010C,128,249
YCL011C,124,191
YCL011C,221,289
YCL011C,351,419
YCL012C,14,127
YCL014W,28,205
YCL016C,15,348
YCL017C,100,462
YCL018W,6,355
YCL019W,659,777
YCL019W,17,114
YCL019W,1295,1495
YCL019W,579,641
