gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-101343.93285799168,-101208.93285799168,-102629.73351158646,-102789.73351158646,-102540.7486631016,-102789.73351158646,-102789.73351158646,-102540.7486631016,-100906.93285799168,-101788.86631016043,-101788.86631016043,-101551.93285799168,-102717.73351158646,-101147.93285799168,-102775.69756387403,-102540.7486631016,-102540.7486631016,-102540.7486631016,-101564.93285799168,-101564.93285799168,-102540.7486631016,-102147.73351158646
YAL005C,-68940.52406417111,-68455.52406417111,-66816.09982174689,-67034.09982174689,-67849.52406417111,-67034.09982174689,-66765.80570409984,-66701.09982174689,-68832.52406417111,-68793.52406417111,-68793.52406417111,-68134.52406417111,-67799.52406417111,-68004.2513368984,-68652.52406417111,-66799.09982174689,-66648.09982174689,-66636.09982174689,-66693.21746880571,-66693.21746880571,-67800.52406417111,-66936.09982174689
YAL007C,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-23029.470588235294,-23029.470588235294,-22301.74331550802,-22311.74331550802,-22295.74331550802,-22350.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802,-22311.74331550802
YAL012W,-40326.64230540701,-40620.64230540701,-40684.17171717172,-40684.17171717172,-41051.46583481877,-41952.78312537136,-41051.46583481877,-41051.46583481877,-42161.165181224,-42112.46999405823,-42112.46999405823,-41021.912655971486,-40620.64230540701,-42093.581105169345,-40342.912655971486,-41051.46583481877,-41051.46583481877,-41051.46583481877,-40285.912655971486,-40285.912655971486,-41051.46583481877,-40684.17171717172
YAL021C,-83371.19548425432,-82317.88235294117,-82813.19548425432,-82813.19548425432,-82403.24123588829,-82855.31313131315,-82403.24123588829,-82403.24123588829,-82696.92810457516,-82798.74628639335,-82798.74628639335,-83663.01901366608,-83379.01901366608,-82453.01901366608,-82824.01901366608,-82403.24123588829,-82788.19548425432,-82403.24123588829,-83663.01901366608,-83663.01901366608,-82403.24123588829,-82314.20588235294
YAL023C,-81774.53357100415,-81539.28817587641,-82271.26084373143,-82271.26084373143,-82161.26084373143,-82271.26084373143,-82325.26084373143,-82161.26084373143,-81257.26084373143,-81258.84373143196,-81258.84373143196,-81726.26084373143,-82166.26084373143,-81415.53357100415,-81783.26084373143,-82161.26084373143,-81767.53357100415,-82161.26084373143,-81799.26084373143,-81799.26084373143,-82161.26084373143,-81764.53357100415
YAL029C,-124709.37759952467,-124341.87254901961,-124765.37759952467,-124618.37759952467,-124862.37759952467,-124709.37759952467,-124709.37759952467,-124862.37759952467,-124780.10606060605,-124055.09625668448,-124055.09625668448,-124450.09625668448,-124160.76559714795,-124543.76559714795,-124947.09625668448,-124862.37759952467,-124765.37759952467,-124862.37759952467,-123769.76559714795,-123769.76559714795,-124862.37759952467,-125037.37759952467
YAL034C,-37547.419191919194,-37617.419191919194,-37541.419191919194,-37541.419191919194,-37541.419191919194,-37268.77777777778,-37541.419191919194,-37541.419191919194,-38127.73291740939,-37164.90909090909,-37164.90909090909,-37718.08585858586,-37541.419191919194,-38098.83838383838,-37529.83838383838,-37541.419191919194,-37541.419191919194,-37541.419191919194,-37718.08585858586,-37718.08585858586,-37541.419191919194,-37541.419191919194
YAL035W,-87943.91800356506,-87963.91800356506,-88359.91800356506,-88359.91800356506,-88359.91800356506,-88803.26648841354,-88359.91800356506,-88359.91800356506,-89635.38413547237,-88816.5460487225,-88560.5460487225,-88452.0460487225,-88587.91800356506,-88983.38413547237,-88336.07278669042,-88359.91800356506,-88347.91800356506,-88359.91800356506,-88938.38413547237,-89067.38413547237,-88359.91800356506,-88890.30689245395
YAL036C,-41088.86215092098,-41088.86215092098,-41088.86215092098,-41090.01633986928,-41088.86215092098,-41361.86215092098,-41088.86215092098,-41088.86215092098,-41388.01633986928,-41491.01633986928,-41491.01633986928,-41930.01633986928,-42189.17112299465,-41576.01633986928,-41770.75341651812,-41088.86215092098,-41088.86215092098,-41088.86215092098,-41485.01633986928,-41485.01633986928,-41088.86215092098,-41088.86215092098
YAL038W,-53628.09893048129,-53628.09893048129,-53628.09893048129,-53677.09893048129,-53628.09893048129,-53628.09893048129,-53628.09893048129,-53628.09893048129,-53766.09893048129,-53654.09893048129,-53654.09893048129,-54196.09893048129,-53776.09893048129,-53437.09893048129,-53426.280748663106,-53628.09893048129,-53628.09893048129,-53628.09893048129,-53853.09893048129,-53853.09893048129,-53628.09893048129,-53628.09893048129
YAL039C,-31878.166666666668,-31232.696078431374,-31232.696078431374,-31232.696078431374,-30787.13992869875,-31232.696078431374,-31174.696078431374,-30787.13992869875,-31511.29679144385,-31636.107843137255,-31636.107843137255,-30979.00267379679,-31091.166666666668,-32404.107843137255,-31818.44741532977,-30787.13992869875,-30787.13992869875,-30787.13992869875,-32512.343137254902,-32512.343137254902,-30787.13992869875,-31232.696078431374
YAL049C,-25769.611705288175,-25577.611705288175,-25695.278371954842,-25695.278371954842,-25695.278371954842,-25696.278371954842,-25696.278371954842,-25695.278371954842,-25789.47029114676,-25711.3743315508,-25711.3743315508,-25477.611705288175,-26449.924836601305,-24992.732917409387,-25463.278371954842,-25695.278371954842,-25695.278371954842,-25695.278371954842,-25842.3743315508,-25842.3743315508,-25695.278371954842,-25531.445038621507
YAL053W,-75560.48692810458,-75981.15359477124,-74939.33006535948,-74883.33006535948,-74939.33006535948,-75199.24509803922,-75030.33006535948,-74939.33006535948,-74939.33006535948,-76491.82026143791,-76491.82026143791,-76124.15359477124,-76752.82026143791,-75589.26470588235,-74897.82026143791,-74939.33006535948,-74939.33006535948,-74939.33006535948,-75881.15359477124,-75881.15359477124,-74939.33006535948,-75611.82026143791
YAL060W,-45328.292929292926,-45178.72430184195,-45328.292929292926,-45248.27272727273,-45328.292929292926,-45328.292929292926,-45328.292929292926,-45328.292929292926,-45520.99881164587,-45790.43018419489,-45790.43018419489,-45604.057635175275,-46125.89215686275,-46097.66993464053,-45884.292929292926,-45328.292929292926,-45328.292929292926,-45328.292929292926,-46504.99881164587,-46470.99881164587,-45312.292929292926,-45937.292929292926
YAR002C-A,-22098.781937017233,-22533.781937017233,-21948.353535353537,-21953.82739156269,-21953.82739156269,-21953.82739156269,-21953.82739156269,-21953.82739156269,-22533.781937017233,-22098.781937017233,-22098.781937017233,-22533.781937017233,-22125.781937017233,-22663.781937017233,-22042.91919191919,-21953.82739156269,-21953.82739156269,-21953.82739156269,-22448.781937017233,-22448.781937017233,-21953.82739156269,-22125.781937017233
YAR007C,-56334.98722519311,-56333.55585264408,-56421.3669043375,-56085.3669043375,-56330.3669043375,-56035.3669043375,-56330.3669043375,-56330.3669043375,-56313.55585264408,-55455.4898989899,-55455.4898989899,-56053.98722519311,-56035.3669043375,-56410.55585264408,-56129.98722519311,-56330.3669043375,-56330.3669043375,-56330.3669043375,-55802.98722519311,-55802.98722519311,-56330.3669043375,-55575.261734997024
YAR008W,-28448.598930481283,-28096.543969102793,-28407.043969102793,-28407.043969102793,-28407.043969102793,-28407.043969102793,-28407.043969102793,-28407.043969102793,-28096.543969102793,-27825.543969102793,-27825.543969102793,-28949.543969102793,-28718.043969102793,-28037.543969102793,-28832.598930481283,-28407.043969102793,-28407.043969102793,-28407.043969102793,-28096.543969102793,-28096.543969102793,-28407.043969102793,-28096.543969102793
YAR015W,-32090.149138443256,-31723.149138443256,-32716.967320261436,-32716.967320261436,-32716.967320261436,-32716.967320261436,-33082.37908496732,-32716.967320261436,-31723.149138443256,-31791.058229352344,-31791.058229352344,-32030.149138443256,-32716.967320261436,-31723.149138443256,-31593.04248366013,-32716.967320261436,-32716.967320261436,-32716.967320261436,-32003.149138443256,-32003.149138443256,-32716.967320261436,-32716.967320261436
YAR018C,-38017.50920974451,-38380.21509209745,-38083.21509209745,-38250.21509209745,-38250.21509209745,-38592.21509209745,-38250.21509209745,-38250.21509209745,-38367.50920974451,-38196.39156268568,-38196.39156268568,-38311.21509209745,-38181.50920974451,-37934.3980986334,-38017.50920974451,-38250.21509209745,-38250.21509209745,-38250.21509209745,-38436.21509209745,-38436.21509209745,-38250.21509209745,-38250.21509209745
YAR042W,-110423.41265597148,-111121.70350564469,-110981.70350564469,-111060.70350564469,-110792.14795008913,-110816.70350564469,-111017.14795008913,-110835.70350564469,-110027.14795008913,-111061.25252525252,-111061.25252525252,-111761.94206773619,-110414.11527035056,-111256.73618538324,-110949.70350564469,-110835.70350564469,-111131.70350564469,-111131.70350564469,-111579.94206773619,-111579.94206773619,-110792.14795008913,-110734.82115270352
