gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-95645.4124619838,-95710.4124619838,-92803.87797259178,-92963.87797259178,-89549.12656187032,-92963.87797259178,-92963.87797259178,-89549.12656187032,-95408.4124619838,-89108.50109010305,-89108.50109010305,-96053.4124619838,-92891.87797259178,-95649.4124619838,-93710.88516360705,-89549.12656187032,-89549.12656187032,-89549.12656187032,-96097.63973471108,-96097.63973471108,-89549.12656187032,-92321.87797259178
YAL003W,-8494.95117668743,-8196.001251382337,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8913.579196011098,-8838.231340822227,-8515.97218826999,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8838.231340822227,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8494.95117668743,-8838.231340822227,-8494.95117668743
YAL007C,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10594.757553862324,-10594.757553862324,-10572.410733053075,-10582.410733053075,-12676.745060430902,-10621.410733053079,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075,-10582.410733053075
YAL021C,-48912.978805118146,-50586.00587173883,-48912.978805118146,-48912.978805118146,-43637.55250316052,-48972.55284641608,-43637.55250316052,-43637.55250316052,-44058.666933685716,-49516.80327586861,-49516.80327586861,-40250.017941615806,-52958.69619622258,-47899.92960119522,-39321.2281894802,-43637.55250316052,-49965.92013676585,-43637.55250316052,-40250.017941615806,-40250.017941615806,-43637.55250316052,-43966.546078994674
YAL023C,-60831.9650237264,-52087.74394184027,-61023.577722899296,-61023.577722899296,-58631.47492294897,-61023.577722899296,-59292.3090500598,-58631.47492294897,-56415.79024013055,-50523.18800600861,-50523.18800600861,-55598.077321132594,-58636.47492294897,-60461.9650237264,-58180.03780875143,-58631.47492294897,-60813.9650237264,-58631.47492294897,-59418.52745860244,-59418.52745860244,-58631.47492294897,-60810.9650237264
YAL029C,-73438.75375191396,-79947.87755440501,-75547.33864291882,-85397.33914792004,-73437.20115401497,-73438.75375191396,-73438.75375191396,-73437.20115401497,-85631.77849421285,-90706.63551232203,-90706.63551232203,-89168.60276389848,-87167.17324789922,-87661.96239844544,-89105.9779286172,-73437.20115401497,-75547.33864291882,-73437.20115401497,-86476.22042500672,-86476.22042500672,-73437.20115401497,-74569.2899734409
YAL034C,-18764.834476873188,-18765.289674005806,-18764.834476873188,-18764.834476873188,-18764.834476873188,-15027.403174603169,-18764.834476873188,-18764.834476873188,-20502.213722478235,-20211.735876429426,-20211.735876429426,-20875.151595835465,-18764.834476873188,-20479.264447857997,-20815.66588154975,-18764.834476873188,-18764.834476873188,-18764.834476873188,-20233.75016214371,-20233.75016214371,-18764.834476873188,-18764.834476873188
YAL035W,-52997.84143453032,-52199.926725755446,-52387.863229727955,-52387.863229727955,-52387.863229727955,-55427.552233783295,-52387.863229727955,-52387.863229727955,-56016.69680653157,-54043.67247541529,-51670.28168457364,-55028.61732579147,-52372.40544217698,-56036.95560805866,-54717.56087011156,-52387.863229727955,-52375.863229727955,-52387.863229727955,-55682.70222770574,-55784.73576430693,-52387.863229727955,-54227.22533547781
YAL036C,-24153.748628764406,-24153.748628764406,-24153.748628764406,-22557.743981937183,-24153.748628764406,-24426.748628764406,-24153.748628764406,-24153.748628764406,-22843.48467784825,-23160.101564228822,-23160.101564228822,-23937.518429952543,-25442.269769045713,-23583.518429952543,-29050.207987497222,-24153.748628764406,-24153.748628764406,-24153.748628764406,-23170.936317589603,-23170.936317589603,-24153.748628764406,-24153.748628764406
YAL049C,-17383.493628437296,-17423.493628437296,-17432.85244802147,-17432.85244802147,-17432.85244802147,-17433.85244802147,-17433.85244802147,-17432.85244802147,-17423.493628437296,-16950.89000670691,-16950.89000670691,-17323.493628437296,-19206.429242119386,-17383.493628437296,-17252.493628437296,-17432.85244802147,-17432.85244802147,-17432.85244802147,-17081.89000670691,-17081.89000670691,-17432.85244802147,-16548.582159624417
YAL053W,-54189.13327752971,-55059.02182966515,-61012.788212570784,-60812.483276603154,-61012.788212570784,-65150.72062693378,-60949.16273084136,-61012.788212570784,-61012.788212570784,-60640.05435622492,-60640.05435622492,-55133.44168550253,-61846.58274801873,-56325.05005714921,-59829.001399890854,-61012.788212570784,-61012.788212570784,-61012.788212570784,-54975.92569214697,-54975.92569214697,-61012.788212570784,-61141.61003497356
YAL060W,-24426.9200790202,-23720.12545544792,-24426.9200790202,-31711.37027748985,-24426.9200790202,-24426.9200790202,-24426.9200790202,-24426.9200790202,-26002.909076575208,-24144.28384653566,-24144.28384653566,-26019.76973984709,-30555.564969080588,-30659.666284905423,-24997.770181047883,-24426.9200790202,-24426.9200790202,-24426.9200790202,-25666.26427998716,-25666.222715194985,-25637.329766771636,-24839.948223954663
YAR002C-A,-13508.809910079115,-13943.809910079115,-13533.199152442883,-13535.809910079115,-13535.809910079115,-13535.809910079115,-13535.809910079115,-13535.809910079115,-13943.809910079115,-13508.809910079115,-13508.809910079115,-13943.809910079115,-13535.809910079115,-14073.809910079115,-13507.867924306807,-13535.809910079115,-13535.809910079115,-13535.809910079115,-13858.809910079115,-13858.809910079115,-13535.809910079115,-13535.809910079115
YAR007C,-36203.3811497475,-33186.191163149524,-33969.68686703909,-33633.68686703909,-33878.68686703909,-33583.68686703909,-33878.68686703909,-33878.68686703909,-33185.5833731378,-37711.18646050392,-37711.18646050392,-35886.76973798926,-33583.68686703909,-33282.5833731378,-35998.3811497475,-33878.68686703909,-33878.68686703909,-33878.68686703909,-35670.72361248742,-35670.72361248742,-33878.68686703909,-33168.587182070936
YAR008W,-8269.776520667643,-12443.336440013443,-12992.336440013443,-12992.336440013443,-12992.336440013443,-12992.336440013443,-12992.336440013443,-12992.336440013443,-12443.336440013443,-12172.336440013443,-12172.336440013443,-13003.336440013443,-12992.336440013443,-12384.336440013443,-9477.087420185959,-12992.336440013443,-12992.336440013443,-12992.336440013443,-12443.336440013443,-12443.336440013443,-12992.336440013443,-12443.336440013443
YAR018C,-29697.41522299371,-30547.621014100227,-30250.621014100227,-30417.621014100227,-30417.621014100227,-30597.167814054264,-30417.621014100227,-30417.621014100227,-30047.41522299371,-29956.0708589813,-29956.0708589813,-30478.621014100227,-29861.41522299371,-28693.613775217087,-29697.41522299371,-30417.621014100227,-30417.621014100227,-30417.621014100227,-30603.621014100227,-30603.621014100227,-30417.621014100227,-30417.621014100227
YAR042W,-61542.48426722476,-67216.46632394676,-67202.4236151104,-66912.3117113492,-66818.09592260896,-66911.46632394676,-66867.94131001142,-66862.46632394676,-60479.711150656774,-67831.58549509957,-67831.58549509957,-64266.916613384536,-61157.93260597568,-63465.54838849347,-67431.90516419859,-66862.46632394676,-67158.46632394676,-67158.46632394676,-69490.12869919911,-69490.12869919911,-66818.09592260896,-66982.01906920875
YBL004W,-169290.32998686642,-176565.01261528532,-173847.66286601772,-173764.66286601772,-173792.66286601772,-173943.66286601772,-173847.66286601772,-173792.66286601772,-175560.20179904447,-173381.3191227439,-173381.3191227439,-179651.07446095266,-174784.98534609357,-174709.20553150566,-175560.20179904447,-173792.66286601772,-173873.66286601772,-173792.66286601772,-173731.16910748588,-173731.16910748588,-173792.66286601772,-174563.51781482316
YBL015W,-35591.04258995526,-40285.10909394972,-35591.04258995526,-35591.04258995526,-35591.04258995526,-35591.04258995526,-35591.04258995526,-35591.04258995526,-39420.64982995382,-39381.64982995382,-39381.64982995382,-40708.0135659607,-35591.04258995526,-39656.72609194345,-39420.64982995382,-35591.04258995526,-35591.04258995526,-35591.04258995526,-39392.94134601095,-39392.94134601095,-35591.04258995526,-39411.82666711187
YBL017C,-123803.40034648703,-122704.40755410858,-123557.93942464334,-123883.93942464334,-121509.16337259462,-123756.02885190553,-123771.02885190553,-125794.9672132206,-120762.17843418148,-120010.21969019584,-120010.21969019584,-119565.77097010177,-123819.48977374921,-123867.07437569699,-120762.17843418148,-121509.16337259462,-123691.02885190553,-121509.16337259462,-117086.12790044615,-117086.12790044615,-125657.9672132206,-121614.86947966256
YBL020W,-41212.88135874724,-38095.12887535589,-41144.88135874724,-40966.88135874724,-41559.088255298964,-41212.88135874724,-40966.88135874724,-41559.088255298964,-36873.85548876936,-40126.108715596325,-40126.108715596325,-35953.916205314796,-37511.67047611516,-37234.25511705156,-36873.85548876936,-41559.088255298964,-41212.88135874724,-41559.088255298964,-35953.916205314796,-35953.916205314796,-41559.088255298964,-38485.133335969644
YBL022C,-58177.966191728316,-58565.08365569179,-62835.25014386,-62835.25014386,-65706.90989095168,-62835.25014386,-62886.25014386,-65706.90989095168,-58557.79327156797,-63972.01028358759,-63972.01028358759,-60976.71573908052,-57354.44674344776,-58688.08365569179,-58557.79327156797,-65706.90989095168,-62835.25014386,-65706.90989095168,-60976.71573908052,-60976.71573908052,-65706.90989095168,-59195.69626120437
YBL024W,-46556.995852181535,-43104.166856978365,-46371.74214232387,-45827.54674591443,-46587.995852181535,-47140.995852181535,-45827.54674591443,-46587.995852181535,-41972.011289385984,-42700.118122550986,-42700.118122550986,-43907.98217657998,-41975.01128938598,-42943.166856978365,-41972.011289385984,-46587.995852181535,-46952.995852181535,-46587.995852181535,-43259.166856978365,-43259.166856978365,-46587.995852181535,-41932.011289385984
YBL032W,-23435.684200705073,-26108.653688588758,-23425.22417311779,-23425.22417311779,-23425.22417311779,-23425.22417311779,-23425.22417311779,-23425.22417311779,-24300.603825656253,-26190.878099796835,-26190.878099796835,-25181.15815844786,-26347.653688588758,-25676.083778575343,-24300.603825656253,-23425.22417311779,-23425.22417311779,-23425.22417311779,-25181.15815844786,-25181.15815844786,-23425.22417311779,-23425.22417311779
YBL039C,-43151.34888456931,-51268.390908059664,-51268.390908059664,-51268.390908059664,-51268.390908059664,-51348.390908059664,-51268.390908059664,-51268.390908059664,-50972.26404238802,-50997.80196669056,-50997.80196669056,-43151.34888456931,-51535.390908059664,-50831.80196669056,-50972.26404238802,-51268.390908059664,-50905.13837886464,-51268.390908059664,-38081.079208309384,-38081.079208309384,-51268.390908059664,-51440.45807223877
