gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-295.93548387096774,-295.93548387096774,-169.59375,-169.59375,378.0,-169.59375,-169.59375,378.0,-295.93548387096774,378.0,378.0,-295.93548387096774,-169.59375,-295.93548387096774,-219.0,378.0,378.0,378.0,-295.93548387096774,-295.93548387096774,378.0,-169.59375
YAL005C,204.75,204.75,-84.5,-84.5,204.75,-84.5,-84.5,-84.5,204.75,204.75,204.75,204.75,204.75,-78.77777777777777,204.75,-84.5,-84.5,-84.5,-84.5,-84.5,204.75,-84.5
YAL021C,322.07142857142856,-361.4375,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,-4.333333333333329,-355.28,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,322.07142857142856,-4.333333333333329,322.07142857142856,-4.333333333333329,322.07142857142856,322.07142857142856,-4.333333333333329,-350.0
YAL023C,-567.5,-29.86666666666667,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,-29.86666666666667,-29.86666666666667,98.33333333333331,98.33333333333331,-567.5,98.33333333333331,98.33333333333331,-567.5,98.33333333333331,98.33333333333331,98.33333333333331,98.33333333333331,-567.5
YAL029C,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-55.66666666666666,2.4583333333333357,2.4583333333333357,2.4583333333333357,-166.5,-166.5,2.4583333333333357,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5,-166.5
YAL034C,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-398.0,-231.16666666666669,-231.16666666666669,-231.16666666666669,-359.4782608695652,-359.4782608695652,-231.16666666666669,-231.16666666666669,-20.71428571428572,-20.71428571428572,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669,-231.16666666666669
YAL035W,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-277.6666666666667,-277.6666666666667,-279.9848484848485,-258.8333333333333,-258.8333333333333,-167.7,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-277.6666666666667,-277.6666666666667,-279.9848484848485,-279.9848484848485,-277.6666666666667,-139.77272727272728
YAL036C,-34.875,-34.875,-34.875,-609.5,-34.875,-34.875,-34.875,-34.875,-609.5,-609.5,-609.5,-609.5,-170.77777777777774,-609.5,-333.9166666666667,-34.875,-34.875,-34.875,-609.5,-609.5,-34.875,-34.875
YAL039C,-302.5701754385965,-302.5701754385965,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-495.3571428571428,-302.5701754385965,-302.5701754385965,-308.5,-302.5701754385965,-302.5701754385965,-312.6515151515152,-226.5,-226.5,-226.5,-302.5701754385965,-302.5701754385965,-226.5,-302.5701754385965
YAL060W,-444.0,-444.0,-444.0,-77.1,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-197.91666666666669,-345.1515151515151,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0,-444.0
YAR002C-A,-375.0,-375.0,104.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-375.0,-260.27777777777777,-260.27777777777777,-260.27777777777777,-375.0,-375.0,-260.27777777777777,-375.0
