gene,273614N,378604X,BC187,DBVPG1106,DBVPG1373,DBVPG6765,L_1374,NCYC361,SK1,UWOPS05_217_3,UWOPS05_227_2,UWOPS83_787_3,UWOPS87_2421,Y12,Y55,YJM975,YJM978,YJM981,YPS128,YPS606,YS2,YS9
YAL001C,-1664.632075471698,-1464.632075471698,-1476.1132075471694,-1476.1132075471694,-180.45283018867957,-1476.1132075471694,-1476.1132075471694,-180.45283018867957,-1464.632075471698,-196.69811320754718,-196.69811320754718,-1464.632075471698,-1476.1132075471694,-1464.632075471698,-1649.3490566037735,-180.45283018867957,-180.45283018867957,-180.45283018867957,-1109.1037735849056,-1109.1037735849056,-180.45283018867957,-1476.1132075471694
YAL003W,-997.8888888888886,-966.5566778900106,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-972.58024691358,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886,-997.8888888888886
YAL007C,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,201.71875,201.71875,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375,225.34375
YAL021C,-9423.765809354045,-7074.61234190646,-8865.765809354045,-8865.765809354045,-8123.4803497156445,-8865.765809354045,-8123.4803497156445,-8123.4803497156445,-8909.884050589933,-7541.556998556999,-7541.556998556999,-7884.167388167389,-7618.070197776082,-7486.009591715475,-7884.167388167389,-8123.4803497156445,-7917.624395212631,-8123.4803497156445,-7884.167388167389,-7884.167388167389,-8123.4803497156445,-7161.6209150326795
YAL023C,-725.7539310138274,10.644212050117062,-538.4464882943147,-538.4464882943147,-955.984949832776,-538.4464882943147,-597.5551839464882,-955.984949832776,-955.984949832776,-354.43271102680586,-354.43271102680586,-955.984949832776,-955.984949832776,-725.7539310138274,-955.984949832776,-955.984949832776,-725.7539310138274,-955.984949832776,-955.984949832776,-955.984949832776,-955.984949832776,-725.7539310138274
YAL029C,-10152.864741239033,-10777.277526407754,-10755.953582745784,-9686.790311798932,-10152.864741239033,-10152.864741239033,-10152.864741239033,-10152.864741239033,-8433.274459359809,-10857.315243033656,-10857.315243033656,-9367.25005311026,-8450.648972886516,-10408.036993102894,-9546.311768343616,-10152.864741239033,-10755.953582745784,-10152.864741239033,-5677.1886554262,-5677.1886554262,-10152.864741239033,-10152.864741239033
YAL034C,-5178.906626506023,-5178.906626506023,-5178.906626506023,-5178.906626506023,-5178.906626506023,-2513.75903614458,-5178.906626506023,-5178.906626506023,-7182.656626506022,-6679.195783132528,-6679.195783132528,-6918.656626506022,-5178.906626506023,-5375.8283132530105,-5111.8283132530105,-5178.906626506023,-5178.906626506023,-5178.906626506023,-6918.656626506022,-6918.656626506022,-5178.906626506023,-5178.906626506023
YAL035W,-6650.591677458338,-6651.164516964513,-6648.487973754636,-6648.487973754636,-6648.487973754636,-5969.897850297851,-6648.487973754636,-6648.487973754636,-5971.127479927478,-5363.030959164288,-5492.119537252866,-6296.389208322536,-6651.164516964513,-6210.137356470688,-5967.512665112662,-6648.487973754636,-6648.487973754636,-6648.487973754636,-6524.199084865751,-6524.199084865751,-6648.487973754636,-5543.487973754637
YAL036C,171.93484848484852,171.93484848484852,171.93484848484852,179.6166666666668,171.93484848484852,171.93484848484852,171.93484848484852,171.93484848484852,179.17727272727282,187.63181818181832,187.63181818181832,187.63181818181832,226.07121212121217,187.63181818181832,-16.449999999999992,171.93484848484852,171.93484848484852,171.93484848484852,180.13181818181832,180.13181818181832,171.93484848484852,171.93484848484852
YAL049C,-180.7142857142857,-180.7142857142857,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-238.85714285714283,-180.7142857142857,10.21428571428573,10.21428571428573,-180.7142857142857,-65.39285714285714,-180.7142857142857,-180.7142857142857,-238.85714285714283,-238.85714285714283,-238.85714285714283,10.21428571428573,10.21428571428573,-238.85714285714283,-101.89285714285714
YAL053W,-453.16666666666674,-539.1111111111112,-880.3611111111112,-1042.361111111111,-880.3611111111112,-1306.611111111111,-585.3611111111112,-880.3611111111112,-880.3611111111112,-1697.8333333333335,-1697.8333333333335,-504.11111111111114,-398.36111111111114,-352.27777777777777,-481.9444444444445,-880.3611111111112,-880.3611111111112,-880.3611111111112,-539.1111111111112,-539.1111111111112,-880.3611111111112,-880.3611111111112
YAL060W,-16.491578947368428,89.31789473684209,-16.491578947368428,-276.60526315789474,-16.491578947368428,-16.491578947368428,-16.491578947368428,-16.491578947368428,-16.491578947368428,61.08105263157894,61.08105263157894,-125.17578947368419,188.69894736842102,-107.25157894736843,-84.10315789473684,-16.491578947368428,-16.491578947368428,-16.491578947368428,-64.0705263157895,-64.0705263157895,-30.83894736842105,-125.17578947368419
YAR002C-A,63.949999999999974,63.949999999999974,362.35,19.650000000000013,19.650000000000013,19.650000000000013,19.650000000000013,19.650000000000013,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,63.949999999999974,65.74999999999997,19.650000000000013,19.650000000000013,19.650000000000013,63.949999999999974,63.949999999999974,19.650000000000013,63.949999999999974
YAR007C,-2515.9162359550564,-2135.3646324906367,-3450.187251872659,-3450.187251872659,-3450.187251872659,-3450.187251872659,-3450.187251872659,-3450.187251872659,-2134.1146324906367,-2754.029007490637,-2754.029007490637,-2664.5881109550564,-3450.187251872659,-2134.1146324906367,-2515.9162359550564,-3450.187251872659,-3450.187251872659,-3450.187251872659,-2741.8224859550564,-2741.8224859550564,-3450.187251872659,-2191.6333824906364
YAR008W,-1322.4972375690613,-1789.0773480662995,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1789.0773480662995,-1789.0773480662995,-1789.0773480662995,-1789.0773480662995,-2027.0331491712668,-1789.0773480662995,-1327.9116022099452,-1787.5911602209958,-1787.5911602209958,-1787.5911602209958,-1789.0773480662995,-1789.0773480662995,-1787.5911602209958,-1789.0773480662995
YAR018C,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,544.9565217391304,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,-17.69565217391304,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564,517.3478260869564
YAR042W,-6353.012865057546,-13381.595239057257,-13431.175686114708,-13435.729385398718,-13382.889356704314,-13381.595239057257,-13369.023503045777,-13449.595239057257,-10773.812984389278,-12883.453192166899,-12883.453192166899,-10833.597968963466,-12861.111783025093,-12926.19057809979,-13313.04869967778,-13449.595239057257,-13449.595239057257,-13449.595239057257,-9694.304252798383,-9694.304252798383,-13382.889356704314,-13303.9943018665
YBL004W,-11248.50853658536,-15924.935365853646,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-14657.249999999998,-13445.467073170721,-11737.304878048779,-11737.304878048779,-18340.77073170732,-14659.1,-14266.946341463416,-13445.467073170721,-14657.249999999998,-14657.249999999998,-14657.249999999998,-13704.320731707314,-13704.320731707314,-14657.249999999998,-14652.12317073171
YBL015W,-1322.7090909090907,-2000.176767676768,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-2431.0050505050503,-2366.0050505050503,-2366.0050505050503,-1466.560606060606,-1322.7090909090907,-2431.0050505050503,-2431.0050505050503,-1322.7090909090907,-1322.7090909090907,-1322.7090909090907,-2441.8050505050505,-2441.8050505050505,-1322.7090909090907,-2368.3050505050505
YBL017C,778.7877358490564,-97.68396226415098,778.7877358490564,778.7877358490564,-42.30317324185239,1102.7877358490564,1102.7877358490564,778.7877358490564,-140.06875357347064,378.9519725557462,378.9519725557462,-212.34362492853057,1102.7877358490564,-40.36578044596902,-140.06875357347064,-42.30317324185239,1102.7877358490564,-42.30317324185239,-49.89079473985137,-49.89079473985137,778.7877358490564,-144.77487135506001
YBL020W,423.2352941176471,411.4705882352942,423.2352941176471,423.2352941176471,423.2352941176471,423.2352941176471,423.2352941176471,423.2352941176471,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,477.5882352941177,423.2352941176471,423.2352941176471,423.2352941176471,477.5882352941177,477.5882352941177,423.2352941176471,477.5882352941177
YBL022C,-3659.5700348799255,-3172.3441681998024,-3534.078974829635,-3534.078974829635,-3959.981230468733,-3534.078974829635,-3534.078974829635,-3959.981230468733,-4148.410258840769,-3623.684383378632,-3623.684383378632,-2546.2582176640008,-2591.0287319581907,-3172.3441681998024,-4148.410258840769,-3959.981230468733,-3534.078974829635,-3959.981230468733,-2546.2582176640008,-2546.2582176640008,-3959.981230468733,-3592.5020629366445
YBL024W,-3184.8471337579613,-3010.0191082802544,-3184.8471337579613,-3184.8471337579613,-3184.8471337579613,-3184.8471337579613,-3184.8471337579613,-3184.8471337579613,-1047.7579617834394,-2550.8789808917195,-2550.8789808917195,-2714.796178343949,-1047.7579617834394,-3010.0191082802544,-1047.7579617834394,-3184.8471337579613,-3184.8471337579613,-3184.8471337579613,-3009.222929936305,-3009.222929936305,-3184.8471337579613,-1047.7579617834394
